Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	44	7.042470377799918	110.9702906953236	0.01181754496385845
NP,UP,UP	(0,2,activation)(2,1,activation)	4263	1797.961191726831	577534.8842391167	0.004150100692298153
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	18	0.43912445325779437	1.354500791673635	4.4228206481644605E-6
NP,UP,PP	(0,2,inhibition)(2,1,activation)	215	403.2424043546914	43036.045468884055	0.8142105208028696
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	9	176.8104634182324	9410.93055431097	0.9942182119895572
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	16	1.2187017926806123	3.038279912737952	3.160925928791247E-5
NP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	1	0.09277830762402697	0.12176882498394503	0.013058782855671636
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1161	1743.9451495651663	636918.2091081613	0.7504574443127965
NP,NP,PP	(0,2,activation)(1,2,activation)	2543	12093.408953411204	3.9630157089233875E7	0.9705020728858276
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	6.444524216357376	85.94914310926325	8.748557434046234E-14
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	23	842.9330940733138	1127378.195844168	0.7040140193257323
PP,UP,PP	(0,2,inhibition)(2,1,activation)	30	509.4958313237387	81551.21814666662	0.9922458193377317
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	29.4844297208324	987.6548720271979	0.7832999347047299
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	40	22.453972358389255	187.63797186940752	0.10427051299348145
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	331	28.226777444345384	704.9396715338099	6.384664630321168E-8
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	9	0.834350686755089	55.83650077678797	0.018606842466270423
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.10059415420295086	0.5593705388641371	0.014789664365107535
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	12	0.9418695627188151	4.769980029787061	0.004690283118794825
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	8	10.016028315157287	141.07681026598823	0.42007977346751313
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	23	32.874779904227765	8974.336460480818	0.1838008309016561
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	6	19.056644521093094	457.5620067774251	0.6308356958891359
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	75	28.30675227193075	2615.022511359427	0.13647869710494798
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	14	27.412734679705142	609.4025763018761	0.6287857862209534
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	8	268.44260335239255	78148.58826818371	0.8248605532629879
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	325	1268.3781572602602	536573.8612009406	0.9337495410563905
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,0,activation)(2,1,activation)	1	0.0069046958723990755	0.00882211044988013	7.530236102609722E-4
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	3.801473605491451	34.44633213352325	0.4597460569688383
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	23	48.50229463853519	2641.726720684251	0.5910224727171285
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1896	3070.829977007561	1347210.9799789675	0.8475369209636561
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	2	1.4203613527513392	4.2841715235948215	0.21564697011780576
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3577	5594.172360390074	4968673.483183712	0.8141622917906081
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	3	4.298148277058273	128.66811979537866	0.20402090068016066
UP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	52.04943584225747	6788.397811878777	0.5255675554090657
UP,UP,NP	(0,2,inhibition)(2,1,inhibition)	2640	1690.077339435992	1981906.6150094508	0.21453198894428804
UP,UP,NP	(0,2,inhibition)(2,1,activation)	6415	2735.572826395409	472637.9375891285	9.364185539650904E-6
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	33	8.931129707100974	54.81243741502628	0.00791137611865278
NP,UP,NP	(0,2,activation)(1,2,activation)	37431	48065.4417694378	5.153498570557785E7	0.9374873377034676
NP,UP,NP	(0,2,activation)(2,1,inhibition)	4081	2382.5485085768205	2457634.4914097562	0.1391260619396002
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	9	0.9599370064349394	7.174008831960954	0.023940173766219486
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	2	0.34729896063836935	0.8552985370448176	0.041416361528069934
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	29.046362204965575	1832.1567185766885	0.5734450384877952
NP,NP,PP	(0,2,activation)(2,1,inhibition)	549	1885.9834996225031	3461589.712720288	0.7158802239600333
NP,NP,PP	(0,2,activation)(2,1,activation)	4676	3173.123212277139	1185028.8018612843	0.09248756651086709
UP,UP,NP	(0,2,activation)(2,1,activation)	17061	8579.872682363744	3268983.663548887	4.1259667394766275E-5
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1721	5300.772202367568	1.1372441278755125E7	0.8724217146382063
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	33	15.025187532553977	562.2853330965252	0.16397221422418662
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	3136	67.69601756151633	2594.1027793204976	1.199040866595169E-14
NP,NP,PP	(0,2,inhibition)(2,1,activation)	924	650.2559624855328	103553.7843665508	0.18629882938689235
NP,NP,PP	(0,2,inhibition)(1,2,inhibition)	972	501.93134695111087	130149.8159963938	0.10659997186733905
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	4.951657970837027	78.71027797305449	0.40492058200479364
PP,PP,PP	(0,2,inhibition)(2,1,activation)	109	529.5910622629086	87126.16361707135	0.9599130323082791
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	10	290.6245021344807	138486.51877314184	0.688972202730976
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	32	0.542287309023068	1.1562052952645845	3.1730174043786974E-13
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	19.502764984772295	629.3076349098643	0.6063480035288432
PP,NP,UP	(0,2,activation)(2,1,activation)	5996	1367.9767877763693	244813.23382282793	5.06520381193809E-10
PP,NP,UP	(0,2,activation)(2,1,inhibition)	828	436.16033317987905	48481.79655289944	0.05409356150582212
PP,PP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	2	1.4206161788288065	5.455855498891733	0.2136630563502656
PP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	6	0.8629068617044191	1.9781168019604394	0.007583041846851435
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	12	16.151530846012268	339.28649375346305	0.4533460096676879
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	53	14.776291989236066	1824.3351805061602	0.09870118251312132
PP,NP,UP	(0,2,inhibition)(2,1,activation)	300	2263.243063922359	898266.6038899571	0.997923913546378
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	28	721.6035079308666	99865.9338878034	0.9996990055543029
NP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	27	0.10154809334683101	0.3473771515407747	6.228948579156679E-9
UP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	3	3.7648628493676424	795.3113836414051	0.0338955310507415
