Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	100	6.901768184474078	106.36035037587195	3.847114002675234E-5
NP,UP,UP	(0,2,activation)(2,1,activation)	4769	1764.2460975534993	582396.8990223422	0.0010976447917080412
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	60	0.5685305339751393	1.9971390233767206	4.440892098500626E-15
NP,UP,PP	(0,2,inhibition)(2,1,activation)	231	591.2156246094621	77114.4618434009	0.9256776885993527
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	8	70.34528686074746	2518.7046809218728	0.9357880279400823
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.26517692100356255	1.8098358754142465	0.04934301734900748
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	135	1.3816382680759522	3.2449010760825736	2.220446049250313E-16
NP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.06975272569298337	0.09167416196106905	0.0015145435803251006
PP,NP,NP	(0,2,inhibition)(2,1,activation)	933	1370.1743175249314	551036.0800176286	0.6891379004429344
NP,NP,PP	(0,2,activation)(1,2,activation)	2038	12393.70976086086	5.272648715497649E7	0.9639952130274554
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	6.610686888285341	89.06588059314768	1.3744561044859438E-13
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	50	304.15868048831715	248265.38450954494	0.483287453011219
PP,UP,PP	(0,2,inhibition)(2,1,activation)	39	322.0731000570332	39673.14053632259	0.9671309129221043
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	3	15.491193493946938	1038.6389171653775	0.34085835143907595
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	28	22.664814463950172	185.48963533462768	0.2920900586976358
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	353	32.12210055279975	974.1842758592586	4.844122342140267E-7
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.16251727272151575	0.8744814873187863	0.02395158886700577
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	188	1.4537410899870875	9.934237179142208	5.551115123125783E-16
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	9	8.390371502957139	108.19223417762801	0.3345164819256261
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	39	32.12373733684892	8262.632110968301	0.16863180943502987
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	20	8.841596981327656	195.72149464445192	0.15610825523800498
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	189	31.691776520873688	1207.6377932521607	0.002477601342360969
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	17.733962092263166	1825.5531675713414	0.27087711178387386
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	12	2.969926568854147	23.99879802897589	0.05713071739885145
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	5	261.32287071897787	84327.85365403505	0.7911327010442937
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	416	922.0080960849576	359682.0153755982	0.7898026912828595
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	20	0.2732714734314659	0.9917402333508747	2.9397575345146976E-6
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	260	4.817129116871865	84.50281995310982	4.6956882826520996E-12
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	22	31.150489949899985	1693.7746946224706	0.43062909658542525
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2051	4848.777031654317	2957847.046077665	0.9686267712284763
NP,PP,PP	(0,1,inhibition)(1,2,activation)(2,0,activation)	4	1.5753763680609654	4.351822160756244	0.09486623743524525
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4206	9223.988358860019	1.1849406813899413E7	0.9480621997099823
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	98	2.57795494505573	75.24012524689076	3.225904686825487E-4
UP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	12.42293513626992	290.08610293356963	0.5803213777461536
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	20617	10023.990546658832	4983212.12896426	3.9829518282297194E-5
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.00162849963168352	0.0017064917929016273	3.8397746428553425E-5
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	30	12.919636830050603	97.50908613842896	0.059331802191697536
NP,UP,NP	(0,2,activation)(1,2,activation)	37030	55358.02388275366	6.023286941821194E7	0.9947565632205564
NP,UP,NP	(0,2,activation)(2,1,inhibition)	7093	3879.7657492390404	5587336.367208818	0.09885016655097889
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	2.2572560080499677	27.057633202569605	0.09678065447256157
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	6	0.4008479578653242	1.0564258243466147	0.0032267119790816423
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	24.725420714494216	1367.1256435111816	0.5716144228234221
