Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.02472882768977502	0.03956265787078627	2.5386666284621384E-4
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	125	1.6005286489240458	18.253878210766146	5.833972194224657E-10
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	164	452.8906222649855	245321.53833814437	0.6328119086935543
UP,NP,NP	(0,2,inhibition)(2,1,activation)	22019	8037.226540224627	2913054.09386155	2.636572071779142E-10
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3756	1709.3522366736381	2065410.4535438907	0.09292371315292147
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1194	80.24266187642063	8910.261574188298	2.853715027617554E-7
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	28	1.132006123610215	2.82308193612479	6.423133913635581E-9
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1694	5421.917313500844	1426468.640216861	0.999957652109616
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	144	1.600528648924046	6.33185107492185	4.440892098500626E-16
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	12922	15633.486707724189	8.700289136782154E7	0.5578144189063093
PP,PP,UP	(0,2,activation)(2,1,activation)	555	143.059503032834	4102.637817359966	5.0652450748200906E-6
PP,PP,UP	(0,2,activation)(2,1,inhibition)	460	58.97651508093692	2120.153229041092	1.2400615051477715E-6
PP,NP,UP	(0,2,activation)(2,1,activation)	2445	563.5038529988047	49752.815363920934	1.5084261284492584E-8
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	10	86.66972211523758	1299.5906808098407	0.9984624934979077
NP,NP,UP	(0,2,activation)(1,2,activation)	13590	37205.536813047045	3.488044540680301E8	0.9212838096851992
PP,UP,NP	(0,2,activation)(2,1,activation)	1407	835.3148639067905	58731.572657415294	0.01706805997553995
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.1471468459922483	13.182943562434529	0.12239855306222647
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.007244061749896274	0.035119760176668985	0.0010727073987444324
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	83	4.9704582673860775	118.29047964525476	9.72710046640124E-4
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	188	18.509387666885694	100.94042565055179	2.220446049250313E-16
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	47	11.759959049897578	2710.729400165911	0.06557622204690616
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	50.066697384789805	17109.238760761757	0.24830067877727713
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	4.277724184864902	22.371868350809912	0.44612389062328395
NP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	2	0.8074853130922288	2.5064567364060855	0.11719544587473962
NP,PP,PP	(0,2,activation)(2,1,inhibition)	226	429.23679070878876	215931.279074375	0.5640823538994297
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	6	38.8759659002801	1506.3770023910936	0.7755303018173081
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.812427261092414	5.11913527779145	0.11843654110342472
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	5.868383413956312	24.1946387755605	0.01672922029210555
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	36	0.1250687530716608	0.16994486361627562	0.0
