Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	6	6.019090766184995	857.5593566343043	0.07424044364963278
NP,UP,UP	(0,2,activation)(2,1,activation)	5595	1860.5516585952632	586416.790325325	1.3362256796045635E-4
NP,UP,PP	(0,2,inhibition)(2,1,activation)	296	555.6745534412736	77231.51284559356	0.8238343874085525
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	48	11.924349480172577	376.30283571638074	0.06034735603078001
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.24474950098048961	0.7629610748045192	0.06081584726437528
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.445251510850455	1.994538240968792	0.043805195950820996
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	4	0.31374773232883524	1.794801936049409	0.023422397076112045
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1735	902.2715369480363	192430.68755717133	0.04502929234187303
NP,NP,PP	(0,2,activation)(1,2,activation)	2700	12148.389244393398	3.7906802267109424E7	0.9713825220391391
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	6.392145584797253	95.84110800208592	1.6958656701149266E-12
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	4.068395906951744	116.71235174928003	0.14782229463616814
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	151	451.17573111229154	295424.1554036499	0.5989816622061837
PP,UP,PP	(0,2,inhibition)(2,1,activation)	99	431.06103802423746	48271.725400172174	0.9682017057638448
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	20	28.136964912618676	835.2058525627173	0.4959785456564828
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	52	21.674088275237732	328.3004965124202	0.06669049752756828
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	123	236.5565838999791	7550.71435697686	0.9195748881757063
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.09847342768635689	0.554560748311699	0.014455794811960798
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	1.5513916119257047	136.25620452544243	0.03138854234201982
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	26	0.7079100949550766	2.016507507775307	3.7929873353270693E-8
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	216	127.31060341660978	8669.212527973612	0.16008151308361762
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	71	47.90550379854006	23592.60018622129	0.13588699733193876
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	11	30.303870665091353	1965.4827120263844	0.48877632265207205
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	6	136.83982071861732	26381.115988076835	0.7352676501209967
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	24	0.1861594813021939	0.23109511799963767	0.0
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	36	73.79716620198954	2869.8534346156875	0.7240909406786238
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.01381453101584833	0.015518644442658946	8.300843231553445E-4
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	4.952532168389796E-4	5.11488441199441E-4	7.972753663043619E-6
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	356	1058.3449758977877	428480.35494729714	0.8750890841534997
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	39	121.28126254819385	19363.26711563111	0.6270797453687016
NP,UP,NP	(0,2,inhibition)(2,1,activation)	135	775.8747196940393	150646.57302951266	0.9836323756092847
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	21	2.191970396885214	10.357717719277813	9.003242069973716E-4
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	2395	5387.638351303551	6741234.283927374	0.8914260764123416
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	34	4.064503443252848	145.50682894526923	0.0362457276045941
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	10	0.034815669779545415	0.04340828042606155	2.1888157952787424E-11
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	14106	9553.195120060273	8986079.068318754	0.0745519768569165
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.012115995480968944	0.01779667510749511	0.0018936148146777576
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	31	10.405662263994962	150.3060833938598	0.06870050724322885
NP,UP,NP	(0,2,activation)(2,1,activation)	9341	3837.150601479011	1040550.376198154	9.859098113129683E-6
NP,UP,NP	(0,2,activation)(2,1,inhibition)	12139	2442.223443493393	3671171.8703095503	5.495236586988694E-4
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	0.7516511363469295	6.204087281489842	0.016190969101659625
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	0.21333537934571511	0.4287088387201748	0.007236043832948402
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	12	16.652569956098066	453.05283067428445	0.4317471623461834
NP,NP,PP	(0,2,activation)(2,1,inhibition)	895	1084.1838532332545	1063058.222747419	0.47221571681536667
NP,NP,PP	(0,2,activation)(2,1,activation)	5138	3260.5417758557105	825788.4030861203	0.029059516706711808
UP,UP,NP	(0,2,activation)(2,1,activation)	19002	8833.378090963297	3796411.586482018	9.472493801676585E-6
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1244	5622.162197823621	1.8132401692025445E7	0.8672299435281907
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	14	12.63783711568334	536.6429235668605	0.2708817078621597
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2823	62.50143619702042	2514.2350509507137	1.587618925213974E-14
NP,NP,PP	(0,2,inhibition)(2,1,activation)	997	833.0055669025799	161379.29653441592	0.305967019929002
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	236	276.98807357012595	83665.00221161658	0.4433543739109991
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.20063266383805886	0.3916097703663966	0.046706179003026094
PP,PP,PP	(0,2,inhibition)(2,1,activation)	692	442.7644080434814	50706.30418666924	0.13565737819424595
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	77	186.02068816261954	51977.76687926157	0.5590506012690415
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	12.378405034879478	168.37402500545966	0.5770862115797315
PP,NP,UP	(0,2,activation)(2,1,activation)	3950	1315.7003167896664	205883.57046289206	7.994594702798175E-6
PP,NP,UP	(0,2,activation)(2,1,inhibition)	505	409.828323113855	99185.29362676974	0.31757008518323127
PP,PP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	3	1.4066949808209084	4.673663338147726	0.14013577662430976
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	5	17.1771707720233	1099.9448740508305	0.3645874101621528
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	1	52.874596839000915	7853.168577968244	0.5023317606155127
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	32	20.809777507743597	4480.100903865058	0.1336797707822125
PP,NP,UP	(0,2,inhibition)(2,1,activation)	1042	1377.095121083232	336844.0233697926	0.6924217184046929
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	135	428.95222950078175	45547.96930773044	0.9445247076541917
NP,PP,UP	(0,2,activation)(0,1,inhibition)(1,0,activation)(2,1,inhibition)	2	0.00861152834925909	0.010217254221697008	6.19460688251472E-5
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	61.77506193200968	1258.7920886237666	0.9822434195997739
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	4.739072118363461	10.082015081836648	0.8581360580945637
PP,PP,NP	(0,2,inhibition)(2,1,activation)	369	618.2210591681148	94757.72748284799	0.7788441012031762
PP,PP,NP	(2,1,inhibition)(2,0,inhibition)	406	11614.01691702996	5.077517393443662E7	0.9894456228276912
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	6	90.85708854116224	34346.55729523532	0.37155442674930983
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	6	22.54698267794781	406.082343324619	0.7623115432042629
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	1	14.619092293082451	235.13728980771936	0.7832038837655806
UP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	3	2.9185274364640246	376.7767137201805	0.041926074543295666
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	16	71.70692759307484	15754.397800501087	0.43085327741266577
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	108	293.90589898664877	32363.236715938998	0.8605501046459085
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	75.05300323803004	103684.4399923255	0.10260865490307058
PP,PP,NP	(0,2,activation)(1,2,activation)	3809	2175.8108564193503	302697.61646998394	0.004511491952862157
PP,PP,NP	(0,2,activation)(2,1,inhibition)	888	474.99469977132577	158719.83272386785	0.1446643758674966
NP,UP,PP	(0,1,inhibition)(1,0,activation)(2,1,inhibition)(2,0,activation)	2	0.020460136587588763	0.028899962011995097	5.325838074323741E-4
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	5.7576890078436165	209.0611162814168	0.16608653464460021
UP,NP,UP	(0,2,inhibition)(2,1,inhibition)	786	1960.9696686396362	329876.03457410494	0.992072904307847
UP,NP,UP	(0,2,inhibition)(2,1,activation)	6467	6295.4370616482	868930.6168743223	0.4128805965971405
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	9	5.500994909950277	86.41075492138978	0.21460656253907495
PP,UP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	20	3.817455935783002	42.3546872615446	0.03305411079482401
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	26	12.861988663263118	499.37799314274275	0.18115307813748804
NP,NP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	60	45.19755215013037	1144.8891622544165	0.2752635409493597
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	0.2699782034721174	0.549578869292561	0.0648574829196159
UP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	14	0.6070578448397429	68.23321118006635	0.008312232857757618
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	35	1.7759677485962406	33.1805704724973	0.005388739294530431
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	117	43.460723655809886	1641.2569813469977	0.05858833178954537
UP,PP,NP	(2,1,activation)(2,0,activation)	8143	16437.485992613012	2.4051624888393044E7	0.9710342682774626
NP,UP,NP	(0,2,inhibition)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.036016460348464	0.05115053466478591	0.005450236209478265
NP,PP,NP	(0,2,inhibition)(1,2,activation)	708	548.6644833399953	64651.2222517918	0.24259127906917954
UP,PP,NP	(0,2,activation)(2,1,inhibition)	946	2318.0291156678386	3150222.5746093374	0.7566404548202401
PP,PP,UP	(0,2,activation)(2,1,inhibition)	694	354.8002234630178	75737.66041706994	0.11595977297411264
PP,PP,UP	(0,2,activation)(2,1,activation)	2609	901.4954036396438	109650.61027838523	5.039646580984325E-5
NP,PP,UP	(0,2,inhibition)(2,1,activation)	1318	1216.3322333964325	271556.1979444872	0.382904887428297
PP,PP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	2	1.4066949808209077	7.554776546842348	0.20052029531397397
PP,PP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	4	44.66385339993471	8420.863765855009	0.3635364077519203
PP,PP,PP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.023430996605419595	0.03039803967310369	0.0027920687058241578
PP,PP,PP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	8	0.04251480819053819	0.1355583794079201	1.200750537803108E-4
NP,UP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	3	0.9037764204234717	4.387240317100266	0.09399890516679343
NP,PP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	11.245400421406485	223.55758100679003	0.47111597314389597
PP,PP,UP	(0,2,inhibition)(2,1,inhibition)	55	371.3563419079658	35073.65927089017	0.9871994824883024
PP,PP,UP	(0,2,inhibition)(2,1,activation)	1390	943.5620757926558	169527.13878674642	0.14004238278104109
PP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	31	6.43075382456402	125.0666728185262	0.044282482711283544
UP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	5	9.349069860222963	88.62158563150916	0.5626128969904769
UP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	2	11.5803397626828	425.09801375523864	0.4243228424276282
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	9.051106212727454	111.83262365254052	0.6400108659852337
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.06005345270581443	0.11676926423015202	0.01337051995323546
UP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	53	567.8046455409983	101532.73480688571	0.9868209975240728
UP,PP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	140	2.402198517839974	7.234674902905157	2.220446049250313E-16
NP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	1618	76.67317081239023	4936.92404951475	2.3314683517128287E-15
UP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	3	0.97863750015191	19.64256050219781	0.06671685482671796
NP,PP,NP	(2,1,activation)(2,0,inhibition)	1865	796.9398314350034	710661.6916546836	0.11088325374873831
NP,PP,NP	(2,1,activation)(2,0,activation)	19588	24641.253145267354	4.607344446916711E7	0.7623564649361372
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	21	85.6112492368386	12442.636855473882	0.5912560755643108
UP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	8	2.191717821278801	10.069319116377542	0.053712148130440895
PP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	9	83.82658163031623	25344.23520371458	0.4060846001637337
NP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	894	93.28107435990734	17948.9459389544	9.049746746107035E-4
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	109	235.18074011385795	102587.74206757077	0.4960100098607847
UP,PP,UP	(0,2,inhibition)(1,2,activation)	1460	860.5346631111894	85077.84199945861	0.03138663303023803
UP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	49	14.655841552738044	474.24223374175403	0.07845092593262992
UP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	23	44.347098604325026	15795.590737539735	0.19624076626048115
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	15	47.09066857348072	9610.350845759927	0.3279567874011301
