Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	6	2.4785426641480104	37.075937553213976	0.13525955056517902
NP,UP,UP	(0,2,activation)(2,1,activation)	4191	1460.7217194821644	369037.5810993919	3.1704237531027246E-4
NP,UP,PP	(0,2,inhibition)(2,1,activation)	257	993.3319597827607	190697.17843928828	0.9812218155488615
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	6.772098719098897	147.04423592358302	0.086882871953057
UP,PP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	72	5.520495274071251	145.47729761040802	0.0035596843664714717
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	330	0.27528456970217874	0.4389177243714389	4.440892098500626E-16
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	4169	1310.428316380761	895039.6908375691	0.01054746989415034
NP,NP,PP	(0,2,activation)(1,2,activation)	4734	10009.817164186137	1.7240679086177886E7	0.9162002290628957
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	10	4.736329376700526	73.2497735691061	0.1680754080694994
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	5.531042443932328	153.12810884129962	0.1995469448440509
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	148	71.83747007381392	2527.775299171344	0.08099829720987839
PP,UP,PP	(0,2,inhibition)(2,1,activation)	150	231.17256887716363	7618.170138284455	0.8205401014445969
UP,PP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	158	2.3316705900582413	32.260576627727836	4.217896032443491E-10
UP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	14	0.7533376586333264	102.79638939341417	0.008889065148399045
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	58	18.499111810299436	237.33679982304767	0.02135112497750924
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	144	25.874850175472712	1011.5606514631396	0.007799505645935678
UP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	24	0.3754646789928019	0.7103907060985368	6.498024340828579E-12
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.10846329708032508	0.46040632793299163	0.01590213866069845
