Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.04549534863872402	0.05973776987760985	1.3449614578753266E-4
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.28745277307135725	0.9907083784565991	0.0701822949208788
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	123	1.3348059759512834	3.965634059636911	4.440892098500626E-16
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	103	191.0620392666078	51980.80646473076	0.5228597870977775
UP,NP,NP	(0,2,inhibition)(2,1,activation)	22800	8943.571927708112	3711923.0539174676	1.1887859141523904E-8
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	4023	2696.074989539959	4235977.871098098	0.22459375596247455
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1180	58.51374707249087	1675.6111598528523	1.3655743202889425E-14
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	28	0.7459950435275399	1.5631056025960488	2.886935135393287E-11
NP,NP,UP	(2,1,inhibition)(2,0,activation)	2029	5867.716033496802	1625452.365430735	0.9999008198039163
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	92	1.0562983466733495	8.75676811464192	3.3089386786144814E-10
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	15917	18013.645418447948	1.1546492808356422E8	0.517855832323683
PP,PP,UP	(0,2,activation)(2,1,activation)	492	232.14868369419804	11370.476032283172	0.018622989709462856
PP,PP,UP	(0,2,activation)(2,1,inhibition)	228	101.8844725567586	5766.9297130898085	0.06824783717197458
PP,NP,UP	(0,2,activation)(2,1,activation)	2671	1274.2430983917207	208476.48280598084	0.0050188934276986785
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	65.33271250163624	332.3067947116833	0.9999714978321409
PP,NP,UP	(0,2,activation)(2,1,inhibition)	307	418.2563723110405	80818.09873496517	0.5916544910140205
PP,UP,NP	(0,2,activation)(2,1,activation)	2187	1942.2011458622865	222349.53410999943	0.2864478511792433
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.2933369851825594	16.08210692931486	0.13103205003545115
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	1	0.5759066237642697	8.824485915793876	0.06007556120080104
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	29	0.016423590552477513	0.1285573036642141	2.1929340747739445E-6
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	5	0.42007688180824054	8.363046850392193	0.02407600196032711
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	192	19.093298561957038	98.00218969883122	0.0
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	33	1.6585914044196688	23.559922573257523	0.0030320893840709573
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	1.7146499038213956	52.841787246140164	0.07992964745168984
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	7.117458704914237	47.32643195577	0.6230473679273012
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	5.707142371177789	185.67532203588394	0.26032771146631783
