Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	30	0.17940198366567747	0.31313784544486745	2.220446049250313E-16
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.1832937339645023	0.502279505542896	0.04584546295777425
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	101	0.7283112300835388	1.88366897086062	2.220446049250313E-16
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	169	199.92747151811454	55102.39180040307	0.422232054040265
UP,NP,NP	(0,2,inhibition)(2,1,activation)	18876	6281.0106480259055	1965122.8480601981	1.3834711154459E-11
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2919	2228.9135947058235	2937945.506514079	0.2878857472399231
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1033	37.82406945622469	952.3311466090493	0.0
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	28	1.9197173723963117	6.154521681775944	1.8733494826506103E-6
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1017	4277.083626724762	887420.7712494917	0.9999976084015338
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	92	0.6347794722461125	3.8863294051038433	1.0602629885170245E-13
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	13800	14784.355163177632	7.80015122230778E7	0.48362021869268756
PP,PP,UP	(0,2,activation)(2,1,activation)	1041	582.8354363913614	52741.60466630955	0.03635104683762003
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	34	112.53550555706236	13997.755765721124	0.6781212647799366
PP,NP,UP	(0,2,activation)(2,1,activation)	3122	1241.9527905445348	193596.74169823923	3.6780051296658733E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	15	46.47063387068888	193.94372360344187	0.9965994262677371
PP,NP,UP	(0,2,activation)(2,1,inhibition)	205	459.0050751409466	95658.07228917835	0.7797976514368845
PP,UP,NP	(0,2,activation)(2,1,activation)	3165	1823.8405845080995	197005.8330724598	0.003887807800955101
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	6	3.887880979561007	25.336132288561714	0.22493245607100287
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	0.8987999576377184	8.54784829110362	0.10712022028926782
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	54	0.041156970048774826	0.6043748028843128	3.3789979695386663E-6
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	5	0.5826428214046344	10.717754152342215	0.034421498991421995
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	136	11.474063196980985	43.831144449531934	0.0
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	33	2.050244607271256	32.419532135066326	0.005362943182628754
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	2.1088974035929726	66.32269455738503	0.09608970685978735
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	4.8359499203846195	24.141712798677933	0.5020593487778833
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	3	7.21909337386055	313.5314434519174	0.246915376221012
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	9	35.12205469197273	974.9862090601121	0.7744680888035618
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	10	2.801753325267697	35.57594210189248	0.09423775314459815
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	4.341185910022332	14.493122094660873	0.0032499689354197336
