Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	113	4.481197645375053	61.060250453190605	7.602248227600583E-7
PP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	9	143.34354161455343	42982.57548212388	0.5926989473069364
PP,UP,UP	(0,2,activation)(2,1,activation)	1876	500.5951414839174	49850.251428401796	9.480081536450413E-6
PP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	8	0.11387891922870338	0.1352723118818986	4.382683993497949E-9
PP,UP,NP	(0,2,activation)(2,1,inhibition)	2596	1356.757268368746	772259.2010252005	0.09295644215563303
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	43	4.016107959372361	36.87556201092279	6.021128414244181E-4
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	15	6.21307392997132	1039.7587629997859	0.05986741313071309
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	251	11.517907463627179	305.1402370287386	2.7587119022509654E-7
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.00969595742292148	0.018464506205095117	0.0020873801618931376
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	18	78.7006303452354	11205.791295068597	0.5792597595955462
PP,PP,PP	(0,2,activation)(1,2,activation)	259	724.1377416051727	284431.89005777286	0.8009388376037587
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	89	1.686751745162678	24.114678233061227	2.4962042594056655E-6
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	2.344325636840654	3.8472954936965653	0.6027778280038547
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	292	1426.8590174596613	1960348.817871178	0.7640723109535027
NP,UP,NP	(0,2,inhibition)(2,1,activation)	313	1614.9391437508955	428824.1240757541	0.9954524023944766
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	245	77.41384311312571	2239.783900942277	0.003808037830244082
