Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	153	4.825321274994416	80.09757849628082	1.08498856676853E-7
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	1	2.8782922130979878	86.19737153255156	0.1597555367862219
NP,UP,UP	(0,2,activation)(1,2,activation)	33119	116795.97690045464	3.204796032399685E9	0.9610280653300048
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	19	0.06475450783654957	0.08249244219325115	0.0
NP,UP,PP	(0,2,inhibition)(2,1,activation)	140	518.197675130714	57800.67376336281	0.971649543426031
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	24	4.7269337955465085	255.0763769742237	0.06995678602167688
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	1.0109139251113317	23.88597385804445	0.011234748257778038
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.0024715139230907543	0.0027797591333585106	1.3894455453788979E-4
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	93	0.057036518531701705	0.08813030840931964	1.1102230246251565E-16
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1851	464.8482256654492	35564.964004156995	3.186225063789294E-7
NP,NP,PP	(0,2,activation)(1,2,activation)	2010	1890.2708900198652	327248.78754622536	0.38908398015027335
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	9.5285865576986	141.37798677769416	1.074806910139614E-11
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	71	49.5143009341292	1936.931415580074	0.25383250487483733
PP,UP,PP	(0,2,inhibition)(2,1,activation)	114	73.91852720464055	1437.1433777261745	0.14239815036763637
UP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	5	0.587024938726486	2.082426077772464	0.019486243383402657
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	54	31.183927525251146	662.4576775450905	0.16766847846217448
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	375	55.11341377113555	2232.7701198260247	5.0988879385704955E-5
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.079015835306147	0.29080219811804675	0.011162706280730017
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.005213166430851466	0.006902602705410673	1.7872169204569133E-6
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	180	0.21208079467167631	0.3831414829777279	3.3306690738754696E-16
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	61	41.133966923661916	1026.4208962573387	0.22610167244770352
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,0,activation)(2,1,activation)	1	0.0010701236634697033	0.0010986458195108375	1.4431010275650635E-5
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	36	1.2758103341945404	2.503759671689366	6.272760089132134E-14
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	180	1.4799409665619971	5.775708553628033	0.0
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	0.9452964418906731	10.862266468824687	0.020382008542056185
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	9	1.0165455206683573	3.26996642973289	0.0047907345456484896
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	4.393202420230362	57.896922326301784	0.37239320774728846
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	2.2080055662951215E-4	2.2253114134837253E-4	8.825442029403163E-7
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	488	426.95115959107665	46280.099572813255	0.34476184727254466
