Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	58	2.197707215513921	37.56795617798179	5.104279543309831E-4
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	13	1.0668723110346408	18.844815474069673	0.02697732836582567
NP,UP,UP	(0,2,activation)(1,2,activation)	28126	91425.0362627292	1.9813532041609402E9	0.9520946025834818
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	26	0.5344107712129266	2.2344889060717286	2.171427592623232E-6
NP,UP,PP	(0,2,activation)(1,2,inhibition)	8740	3987.5796489759236	1392475.8697193768	4.696374661654623E-4
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	28	1.1014454743826254	1.741081790701044	7.471800955727304E-14
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	58	5.784603078435875	171.96867520352856	0.012065231738173532
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	5	0.13620079884031192	0.4560671384838481	0.0031713168530010938
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	71	1.9555238495298974	87.29044811619053	0.003900015060749995
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	354	1.4296680473964216	2.9270023996980385	0.0
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	2	0.2858496835436745	1.2680650439462118	0.042307067023052536
NP,NP,UP	(0,2,inhibition)(2,1,inhibition)	30	553.0780293022299	59794.491511155735	0.999413887481363
NP,NP,PP	(0,2,activation)(1,2,activation)	2059	8818.691919287781	3.4673227974509746E7	0.9037907080274136
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	225	5.637778260317347	57.301316122735294	3.3306690738754696E-16
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	173	110.68687242366728	4926.983954582596	0.17408163487629946
PP,UP,PP	(0,2,inhibition)(2,1,activation)	177	251.99593574965652	9488.97312210351	0.7659156523991499
UP,PP,PP	(0,1,activation)(1,2,inhibition)(2,0,inhibition)	8	0.21140510477251648	0.2771181850918762	2.9699202919175605E-7
PP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	0.0020844413225863468	0.00231121544713519	5.448615845726756E-6
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	52	18.950868174479616	262.19974290390775	0.042463923132076586
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1448	93.98563054608395	4685.469254243062	0.0
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.06738595836863695	0.3626393126400786	0.0047337409651385665
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	40	0.8044281541541083	2.2592851826128455	5.165090577463616E-12
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	3	8.111672745016305	109.43043032170269	0.5313733320042435
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	2.750547987231787	13.811359052280466	0.37746480002902494
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,inhibition)	7	0.29737191558565007	2.2546932351811884	0.011228725926876293
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	64	20.501085671098537	320.7603683738002	0.026381517669694765
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	5	1.3264418278386247	20.33309343269181	0.08239399552403259
NP,PP,PP	(0,1,inhibition)(1,2,inhibition)(2,0,activation)	2	0.8639056132676631	1.6956303373426176	0.10751432970852193
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	311	1.6911608465866164	2.9562880069068402	3.3306690738754696E-16
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.0012256010119515515	0.0012495105376290395	1.24467032626141E-5
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	475	1059.1150172049956	240414.76289644814	0.9002773184483458
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)(1,0,activation)	1	0.44071025035496414	1.5993170204415246	0.10537701719435189
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	8	3.679704065140611	22.823970186937864	0.1406177711953519
UP,PP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	3	62.52372883140721	11849.394049085233	0.4706135398690817
NP,UP,NP	(0,2,inhibition)(2,1,activation)	87	794.8468306176377	129223.43294932228	0.9971445011998996
NP,PP,PP	(0,1,inhibition)(1,2,activation)(2,0,activation)	1	2.5555050485257476	10.424350539366682	0.4895640444756012
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	843	3452.5375716442654	2020284.1020438112	0.9895966767426593
NP,PP,PP	(0,1,inhibition)(1,2,activation)(2,0,inhibition)	4	0.20892982159386067	0.5851233638992606	0.006580648832631764
UP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	85	100.59983299837396	5889.976282717076	0.5001936918057018
UP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)(1,0,activation)	1	0.23205867762196186	1.3411531346191303	0.047309176159181066
UP,PP,PP	(0,2,inhibition)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.013343633890241707	0.016631983282349973	1.791365430936498E-5
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	5483	4297.704395127239	1360764.9080043696	0.1541811010692864
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.0039005386072991587	0.004817269007926866	3.718322881987035E-4
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	32	18.204364692910573	305.1934380059142	0.1803090909497942
PP,PP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	28	0.061438674122282884	0.06856162585529299	1.1102230246251565E-16
NP,UP,NP	(0,2,activation)(2,1,activation)	11073	4677.877302176258	1434521.1411820613	1.0300355140269168E-5
NP,UP,NP	(0,2,activation)(2,1,inhibition)	15075	4270.338839348098	7763565.1564928815	0.002459401426525676
NP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	0.9830314469578287	4.149737856713139	0.2147937557158316
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	3	0.5641255168629001	1.4590240705476227	0.03827965064043626
PP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	30	11.269769149125903	2274.7207642914836	0.07940262856951663
PP,NP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	3	0.6744723312524391	2.3302635251494954	0.06033461628203629
NP,NP,PP	(0,2,activation)(2,1,inhibition)	415	225.63504441142518	20969.98115441348	0.10535473288295194
NP,NP,PP	(0,2,activation)(2,1,activation)	4415	2759.8333771547714	863059.4887955012	0.0496043612051319
UP,UP,NP	(0,2,activation)(2,1,activation)	19107	10795.172036616597	5216022.327079728	7.63966399127125E-4
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1480	9854.692512768986	3.853987948128435E7	0.9544761631397606
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	52	33.93852896587004	711.8689234413578	0.21186411629126822
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2416	104.04797699202213	4701.914852930686	0.0
NP,NP,PP	(0,2,inhibition)(2,1,activation)	1243	1939.0247192043623	697997.4453768833	0.789099174429561
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	125	158.52838517504168	8983.334106940198	0.5822611111174305
PP,PP,PP	(0,2,inhibition)(2,1,activation)	994	183.19032890872091	5309.883723597632	7.293166071065116E-12
