Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	25.369410221255652	1018.807063836387	0.6406175756513064
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	12	1.1330691694668416	18.314182308700694	0.03091651935199513
NP,UP,UP	(0,2,activation)(1,2,activation)	26763	100963.79274277869	2.4087203153998756E9	0.9661259691851036
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	36	0.5395608230365032	2.187681063319344	1.625865497789647E-8
NP,UP,PP	(0,2,activation)(1,2,inhibition)	3834	3139.577133708166	1102613.4763796069	0.23928906940296146
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	25	7.294290798699907	381.0586490039319	0.10426789464082842
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	2.6746249871641	64.26163663298601	0.03207824176152274
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.08846504067133157	0.25428345894407905	0.022118302146460045
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	71	0.7340714203081476	26.673575181566203	8.358959275436284E-4
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	34	0.46345027060253824	3.377216403588854	1.519725600684918E-5
NP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.027672290595856793	0.030411829370340034	5.30409790633346E-6
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	4276	1411.687932965169	956980.041203402	0.011649762081806458
NP,NP,PP	(0,2,activation)(1,2,activation)	1894	10353.266220512964	5.101050898199861E7	0.9178055332543616
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	238	8.128310045038019	123.52597196231856	2.0968116132280556E-11
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	80	58.615262419564495	2277.401810184705	0.26927536661344964
PP,UP,PP	(0,2,inhibition)(2,1,activation)	89	132.46806865234174	3434.7743211638444	0.752320356083218
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	3	8.133796797558475	388.99734255463255	0.25500906674874313
PP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	8.415139255958297E-4	9.009334500907078E-4	9.666669400498762E-7
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	48	27.633834575445643	509.76647757163687	0.16451599877397372
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	360	46.54601885430739	1814.0509858360638	2.7828177470046178E-5
NP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,0,inhibition)(2,1,activation)	2	0.042456137143925265	0.15498898195343447	0.005958124482346228
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,activation)	1	0.005009298930941851	0.010321528603937489	0.0011359434469268015
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.04872343636439136	0.2327429092926967	0.00311081107487432
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	58	0.7220940043561513	1.8586682129693195	3.3306690738754696E-16
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	10	6.682189513360593	86.8859100854763	0.2413194952358152
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	1.8144005815940822	6.721986047578845	0.27395406743406536
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	144	21.836056686997505	1696.3284230030063	0.02419053436441787
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	6	0.9993395142485589	11.630420436563623	0.05666180407326449
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.15070569057332503	0.17760141775813193	0.01860309295940643
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	10	1.5260305352082102	5.539692494571428	0.009157273752405604
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	8.440335387020298E-4	8.581798018965929E-4	7.30034265283841E-6
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	302	502.1522579313414	59601.91171174188	0.7827482259464157
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	56	4.488770419941185	90.00451862493186	0.003535568309001258
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	33	49.53629918936665	1711.3968105530098	0.5739811031304185
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1808	5063.841219993459	3639785.5707694255	0.978017871833569
NP,PP,PP	(0,1,inhibition)(1,2,activation)(2,0,activation)	2	1.3948218043689822	4.135706545743928	0.2113903174578391
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3140	8679.745453515541	1.2898439470582217E7	0.9634853558683899
NP,PP,PP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	1	0.1656441830135502	1.4616548985357205	0.02652231647073
