Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	1171	5.556153085189164	947.4225083854004	1.0292454777349747E-7
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	40	2.869456139287213	45.85459963122325	0.004066467529133977
PP,UP,UP	(2,1,activation)(2,0,inhibition)	887	1941.7704597713591	331869.94008145016	0.9818554649075559
PP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	8	0.1757838600712329	0.21186280653294634	2.5023624727893434E-8
PP,UP,NP	(0,2,inhibition)(2,1,activation)	333	200.9825272158147	6728.320910569142	0.06651128189016176
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	138	1.8273897921394067	6.438721532397031	7.771561172376096E-16
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	2	20.262870108330695	494.2034806809899	0.7467652563960174
UP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	56	1.0458822800108356	3.1028031429877294	3.219646771412954E-15
NP,UP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	6	300.71342438812945	26286.770665254386	0.9977203286136684
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.11990894795871414	0.18833003359072814	0.0229542155269431
PP,PP,UP	(0,2,activation)(2,1,activation)	1872	644.098298738283	62347.06533346319	1.0320456927870314E-4
PP,PP,NP	(0,2,activation)(1,2,activation)	2556	2543.1235422702252	346891.32853051834	0.46786677201356786
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	89	3.534758983237759	65.18224109409786	8.041676470871284E-5
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	5	1.5118095881570672	29.730967015239262	0.08498165329822849
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	129	944.0766383401331	1002816.5752177587	0.7588410445468785
NP,UP,NP	(0,2,inhibition)(2,1,activation)	133	1025.4856506759681	200374.1041739292	0.9970304235845647
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	1499	790.2581127002666	32740.07318586239	4.0981300759612704E-4
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	8	17.4270957070152	281.4724334246159	0.6259187838977331
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	296	44.16561114985912	10723.531799965784	0.039297557008781125
UP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	40	0.29245282358105945	1.285698195385586	2.68060507124801E-9
UP,NP,PP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	4	0.012453431491794991	0.013244015156825748	2.055547343449149E-8
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	4	2.107870772647115	10.410009926760544	0.17213409335793017
NP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	283	24.050470541335727	440.80482284449397	6.406880470599674E-9
NP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	8.00077824462587	108.58981996103205	0.5690727744817174
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	21	18.22818716264684	676.4147557937504	0.30792857027356413
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	549	34.300103902212854	767.8981016782118	3.6415315207705135E-14
UP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	8	0.2729200588134816	0.8338464207469479	8.742502428706889E-4
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	639	2.3628236490238734	4.8890277336564205	2.220446049250313E-16
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	14	90.51069931055818	3566.965496970968	0.939898862294688
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.050526085579692764	0.06057149758814474	0.004993056500691595
PP,NP,NP	(0,2,inhibition)(1,2,inhibition)	202	400.49075620473735	33119.33852682848	0.8720131188417474
UP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	17	170.29448849991843	36284.81806545699	0.7456170169331824
PP,UP,PP	(0,2,inhibition)(2,1,activation)	158	151.7060509806816	4108.778788498519	0.41681596150356526
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	62	6.106528385783018	288.4430438039287	0.022067548777214174
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	2504	2013.2438242606954	469550.8985628444	0.2240135697752147
PP,NP,NP	(0,1,inhibition)(1,2,activation)(2,0,inhibition)	3	0.5570477600096571	0.9385993446775254	0.01926277793877451
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)	829	792.2792118790651	188051.5676575658	0.4122182263977494
UP,UP,PP	(0,2,inhibition)(2,1,activation)	4660	1852.426445340881	321489.6091869534	5.003917742785191E-5
PP,UP,PP	(0,2,activation)(2,1,activation)	1142	614.4622892874567	54915.01924522169	0.023383919313612944
PP,UP,PP	(0,2,activation)(2,1,inhibition)	117	262.8043340185025	31127.88494675042	0.7814927517827109
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	16	3.2994599415078056	16.770449658403265	0.013652584780955879
NP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	2	15.217789888434318	4340.554344833664	0.09954313117035274
NP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	1	2.55117828525259	60.430324159891384	0.1731027300901119
PP,PP,NP	(0,2,activation)(2,1,inhibition)	992	935.5509559656623	405011.8528275093	0.39778341959944274
PP,PP,NP	(0,2,activation)(2,1,activation)	2214	1760.4326041370975	172684.2922923388	0.13876658380772555
UP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	28	0.19133109545130705	0.33843390503388404	7.771561172376096E-16
UP,UP,PP	(0,2,activation)(2,1,activation)	9130	3081.097085755518	1034418.9253370166	4.637093384274316E-6
UP,UP,PP	(0,2,activation)(2,1,inhibition)	427	1317.7792710555152	690441.5787662447	0.8755371386891735
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	8	1.721530740317448	82.37317130615791	0.049292981833392036
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	27	4.903798972862032	79.96306528362408	0.03498383627511503
UP,NP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	25	10.843739659856288	279.71947121980804	0.1516670177484004
PP,PP,NP	(0,2,inhibition)(2,1,activation)	932	166.78163909031454	4599.61091626326	6.146971820442104E-12
PP,PP,NP	(0,2,inhibition)(1,2,inhibition)	250	39.24562194290249	452.47147508040007	5.343402831314847E-9
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	71	1.0846745681870433	1.938551256224802	2.220446049250313E-16
NP,NP,NP	(0,2,inhibition)(2,1,activation)	899	1879.9599710007103	618168.2421221421	0.9111673753340116
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	68	383.3697230463275	170070.5327871196	0.7299449277603001
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	14	30.039162733495544	1266.7342497407908	0.547982247624822
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	5	0.008878970551522276	0.010128638436507567	1.337536303935849E-8
NP,PP,UP	(0,2,activation)(2,1,activation)	3741	1526.8032029450376	323128.7271542805	9.308973803106024E-4
NP,PP,UP	(0,2,activation)(2,1,inhibition)	1647	917.9492081058593	500158.24850245647	0.1466285241774593
NP,NP,NP	(0,1,activation)(1,2,activation)(2,0,inhibition)	52	7.789668879602236	43.431128892246484	4.552059033724465E-5
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	4244	222.5357450044536	28651.912019634125	0.0
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	110	0.10308439158284743	0.1915086487567415	0.0
NP,PP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	130	19.957838889497605	290.1377644875749	7.812046921107374E-5
NP,PP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	12.311624377374578	1419.0042573144415	0.18502222121478107
NP,PP,UP	(0,2,inhibition)(2,1,activation)	2576	1405.5966890352488	277219.63841544325	0.024415590450652447
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)	58	845.0770637154421	131141.07923869265	0.9994026173449588
PP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.4789450937022879	2.290559179364261	0.10411187463571758
UP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	7	7.018449603398575	1220.0038349220392	0.07140952712360649
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	13	6.279082555379054	145.00636104580755	0.1720290021927996
NP,NP,PP	(0,2,inhibition)(2,1,activation)	816	1419.035311940454	371469.068399637	0.8413940591067824
NP,NP,PP	(0,2,inhibition)(1,2,inhibition)	1098	2146.203411309396	2460961.446400852	0.7110408459132057
PP,NP,UP	(0,1,inhibition)(1,0,activation)(2,1,inhibition)(2,0,activation)	3	0.03908455873341617	0.08651199976677092	0.001372582384437604
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	50	21.516844681998197	339.04344124524044	0.07796709356758103
UP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	2	10.246375531383588	338.9521828445259	0.4140182213643062
UP,PP,UP	(0,2,activation)(2,1,activation)	6984	3229.7008714463377	1406864.8309361804	0.00416712947924236
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	279	44.41334815358426	1701.2823858001304	3.4572390264231423E-4
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	167	6.820536382800653	77.57706726827675	1.8613810492951188E-10
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1130	91.65193884616632	4549.321906734784	2.258082609785106E-12
UP,UP,NP	(0,1,activation)(1,2,activation)(2,0,activation)	14	5.113464976857289	19.331005874873604	0.03888652787381397
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	161	289.1356958273696	11286.685956228059	0.8976754415203997
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	84.37607514664747	10259.10779923375	0.7362497315005936
NP,NP,PP	(0,2,activation)(2,1,activation)	4215	2670.208408887052	686333.8750014855	0.04248550323793454
NP,NP,PP	(0,2,activation)(2,1,inhibition)	615	252.97289660527184	29728.22794475931	0.037544510516885565
PP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	1	8.386811191102403E-4	0.0012284465063683698	1.2846359594143042E-4
