Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	72	5.764537063755675	995.0604863659387	0.028672938100094414
NP,UP,UP	(0,2,activation)(1,2,activation)	27939	103858.17298523535	2.5537740303696423E9	0.9648123364425846
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	18	0.5742681656457079	2.271250661035003	5.814340171228505E-5
NP,UP,PP	(0,2,inhibition)(2,1,activation)	214	451.91758546097975	46509.455359984044	0.8767256284761329
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	5.84769755007762	188.79474218305705	0.08542997519073314
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.08514155276503585	0.21514150096030035	0.02104581799252081
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	121	0.44776096961443856	2.6565528780743093	0.0
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	1573	752.0275255952444	329708.76337409264	0.09171284962397575
NP,NP,PP	(0,2,activation)(1,2,activation)	2160	10660.265307235524	5.568253439794786E7	0.9039831248228488
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	8.538700927605893	136.2046615173902	2.8474111957166315E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	5.390383007724346	158.7570799235135	0.18982366236506476
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	121	365.26849199201376	238907.2201487744	0.5477317491554505
PP,UP,PP	(0,2,inhibition)(2,1,activation)	100	281.2932217840499	25181.134715492313	0.8928320588440563
UP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	25	1.95483131537629	13.994800803670739	0.0014241922128935824
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	52	30.495955079661822	625.3230783076486	0.17263375820591798
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1512	91.29285679789716	4427.148020299297	0.0
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.11892122505634992	0.6325459850104815	0.017556663131913286
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	1.209257106919386	118.3249436490303	0.022294696976202344
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	188	1.5432145185413264	12.982857466237995	4.440892098500626E-16
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.06081194703785417	0.07738254889821092	1.493739592253185E-4
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	166	74.21956115906455	3091.582263084225	0.06896383678126539
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	1.4349463644922757	4.654705364764862	0.217902726938203
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	451	20.757620089840493	1384.4612222528674	9.220089081662941E-6
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	13.754878805804992	1297.8133434360727	0.20126559880172046
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.14129174592795685	0.16558168500242937	0.016806541264106856
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	8	2.1272177312240697	14.47018315730622	0.07236251382940606
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	118.4125857756432	27058.092825015097	0.6372711120372307
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.006823270032351066	0.007707888724550771	4.080466316186415E-4
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	491	661.1611066100095	190625.0449008905	0.5931894652352345
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.8341754483114987	5.413007209247434	0.08809618592846213
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,0,activation)(2,1,activation)	1	0.009431421234771975	0.01480467679177965	0.0016423150857726165
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	272	4.810402972578409	94.83733094982675	1.9120593997001833E-11
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	23	146.6653340400365	30881.083759772548	0.6771427578378447
NP,UP,NP	(0,2,inhibition)(2,1,activation)	275	994.7830186388244	212487.41842378664	0.9702971109079105
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	62	3.3190140842359472	25.77572215392324	2.70955640913062E-6
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3596	7713.03100153798	1.0977547390216544E7	0.9108477202406582
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	151	1.9476959787896213	48.430451991664164	1.6735799784894922E-6
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	10	0.013809809963481768	0.01617773410207902	2.290390099801698E-13
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	19687	12556.426189970975	1.2089806398078173E7	0.02983864219857124
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.010270575330392811	0.014720073055500084	0.0015258550303819396
NP,UP,NP	(0,2,activation)(2,1,activation)	12335	5400.450008371216	1818732.842888184	1.6928048103714843E-5
NP,UP,NP	(0,2,activation)(2,1,inhibition)	13920	3409.241546928274	5468261.7245485075	9.820884095135263E-4
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	1.2981677235158664	12.84636799965623	0.03566552231094089
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	18	0.22750454804016726	0.4363667274226596	1.1133503008409207E-9
PP,NP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	3	0.41539031369047175	1.179691252639708	0.02925167370487669
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	189	2.5647874257373346	12.126119367552075	0.0
NP,NP,PP	(0,2,activation)(2,1,activation)	4024	2801.553997347494	1014488.8399223592	0.11763399189910839
UP,UP,NP	(0,2,activation)(2,1,activation)	21475	11109.363220345578	5393764.239877433	7.881507561857681E-5
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1814	7013.212341936306	2.181882982498747E7	0.8920855691216945
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	114	45.44061081943928	1292.9624029299907	0.050178765377990264
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1313	119.25844435727616	5828.10935064831	1.155742168634788E-13
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	188	0.10821939563851059	0.20301259319716422	0.0
NP,NP,PP	(0,2,inhibition)(2,1,activation)	839	917.5957509471364	173467.49851076177	0.5297311487695658
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	126	347.6761732998635	142543.50270077767	0.6357479403473142
PP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	105	1.3834548143594003	81.54118011998726	0.0013878477891604568
PP,PP,PP	(0,2,inhibition)(2,1,activation)	322	158.24702228103814	8708.01580601652	0.05771584627908499
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	60	106.61371216538218	21216.32760553715	0.4640758794274831
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	220	0.6854719373617117	1.7264541353623764	0.0
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	16.080449978722378	272.13439773520525	0.7675796372002062
PP,NP,UP	(0,2,activation)(2,1,activation)	2808	1234.7682331206577	190289.32223116746	0.0015970263999595113
PP,NP,UP	(0,2,activation)(2,1,inhibition)	129	359.9942893087146	80437.45352469328	0.7740903525351515
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	12	3.5729914135165814	485.1906483113613	0.04284926195377736
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	120	2.5890092008418355	29.51819328112969	4.9186951178725735E-9
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	0.009310689809078584	0.011093530206301168	1.1102230246251565E-16
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	2	34.005630364217524	4789.186612393636	0.3725858837528401
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	30	17.628484449473326	3667.1995751032355	0.11910869063120322
PP,NP,UP	(0,2,inhibition)(2,1,activation)	356	1603.3871261138236	577995.0449788645	0.9801692649596838
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	96	467.46441434866836	65171.03473400918	0.9637257480828213
NP,PP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	76	5.4812466542888405	119.3854878570572	0.00135077418841556
UP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	3	2.1451263486872234	315.6933635405101	0.02741620170185377
PP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	60	0.001518415412468671	0.02857024058438194	2.589561549637409E-7
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	4.252826018367515	185.06980525704364	0.11467217836165067
PP,PP,NP	(0,2,inhibition)(2,1,activation)	244	348.34105947605076	37968.218835006264	0.6645539935292573
PP,PP,NP	(0,2,inhibition)(1,2,inhibition)	229	458.9064547524458	204578.02643555237	0.6110054864511354
NP,PP,UP	(0,1,inhibition)(1,0,activation)(2,1,inhibition)(2,0,activation)	4	0.09143879970167541	0.13319236577420795	1.5021151441085845E-4
PP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.21537816886717426	5.224338105742472	0.014359402159711654
NP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	36	70.22626797463583	2800.9750374674286	0.6956227074163167
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	6	12.68476251614874	187.41136882365427	0.5719749672676955
UP,UP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	12	3.474825565880097	41.697093070472334	0.09088007139602094
UP,NP,UP	(0,2,activation)(2,1,activation)	25181	8394.015372488053	7635910.7802065015	3.2526536148935747E-6
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	1	6.702994469668198	82.6662691499449	0.5789526394312574
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	9	3.2751008056281696	47.48368707967653	0.12761296892781515
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	16	52.511002913328376	14486.769492390627	0.2869453523660246
UP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	6	1.3535919381126285	2.715215099248266	0.013739056329167165
NP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	601	22.945808298719488	476.510748476658	0.0
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	68.18726283374417	150246.54376574245	0.05988340224571398
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	57	203.37987774168926	27449.944806568164	0.8047197583722449
PP,PP,NP	(0,2,activation)(2,1,activation)	1384	919.3505353614446	63560.93152541167	0.04282883348534483
PP,PP,NP	(0,2,activation)(2,1,inhibition)	677	301.1157899070829	53879.79418907134	0.07264796694119646
NP,UP,PP	(0,1,inhibition)(1,0,activation)(2,1,inhibition)(2,0,activation)	2	0.024752327135455637	0.034721052152936076	6.323515592969731E-4
UP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	13	142.054252296513	10036.670432714294	0.9494234515406254
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	2.681341135152336	5.0663158269278785	0.6428996875395048
UP,NP,UP	(0,2,inhibition)(2,1,inhibition)	1037	2445.2287689055443	501001.60242661834	0.9898094219803568
UP,NP,UP	(0,2,inhibition)(2,1,activation)	7718	8387.05195117163	1465914.5166991055	0.7008227632104961
PP,UP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	6	6.784677187888569	134.57216435592017	0.3122760150949081
PP,UP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	20	3.5171698045404596	39.31413481866771	0.029610579641680013
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	557	15.850287635696342	596.7024452331352	3.0515701077149515E-11
NP,NP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	460	68.59661027967945	14700.214109195636	0.018633926285729796
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.033826503101267814	0.052343557197383817	0.005903842012379146
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	0.3674927532899745	0.9064491923849822	0.04418398193676665
UP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.45748749329525606	40.58732472779179	0.009275890539836573
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	120	0.005355442658257179	0.008039952592508533	1.1102230246251565E-16
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	33	1.576780062648623	25.957756433557726	0.004244712002818618
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	236	31.040627351914907	1017.6766020236386	1.7390550407714311E-4
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,0,activation)(2,1,activation)	112	0.10772012170396564	0.4033883280294272	6.661338147750939E-16
NP,UP,NP	(0,2,inhibition)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.058998976907451026	0.08677707258941768	0.009780462148793467
NP,PP,NP	(0,2,inhibition)(1,2,activation)	798	611.2169920043148	68215.0732059711	0.22072145379594665
PP,PP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	120	0.05845612454997673	0.10319353083552694	0.0
PP,PP,UP	(0,2,activation)(2,1,inhibition)	413	177.35103278422488	20846.035690763816	0.07196520011422869
