Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	40	1.4865257969422678	11.325110701581355	3.600916634949325E-5
NP,UP,UP	(0,2,activation)(2,1,activation)	5794	2031.0226047895815	689859.9794404944	2.8221487630331055E-4
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	62	0.6186947139287154	2.0460479598578116	4.440892098500626E-16
NP,UP,PP	(0,2,inhibition)(2,1,activation)	210	748.7754974861662	106206.96877011226	0.9777693712361226
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	56	0.5945997560252848	0.7784471670863544	0.0
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	10	0.07678649703653204	0.47140422486350525	8.287420540692425E-4
PP,NP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	8	3.9508394144005337	14.965539016047634	0.12271802238234575
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	65	0.4571850139615346	2.214961277034824	1.5220047444586271E-12
NP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.019348888187440523	0.020775105230754935	1.569362801823182E-6
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1065	233.45331564381794	8845.361624897785	5.671244696081601E-9
NP,NP,PP	(0,2,activation)(1,2,activation)	2766	13679.09868026141	5.0014939796367586E7	0.9736014867953999
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	234	7.1921799536116096	112.78824902523138	3.46723760813461E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	6.740728215704756	199.71883484989291	0.2319291711860605
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	44	23.058698798762677	270.88527145995204	0.10676534320837561
PP,UP,PP	(0,2,inhibition)(2,1,activation)	87	79.39927094120026	1374.1397245811786	0.3714397662417235
UP,PP,PP	(0,1,activation)(1,2,inhibition)(2,0,inhibition)	4	0.07024431193080269	0.078256457202927	2.676940519696913E-6
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	38	24.542881417752962	404.34321955657174	0.21087098476894517
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1537	74.12114193872533	3523.2619883608622	5.4067861299245124E-14
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.06516543028047314	0.22471079384612827	0.008955937483103082
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.014903749008707676	0.024051574029357606	3.708683539360713E-5
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	8	1.3682733790742365	7.9744946601337	0.03601941139617093
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	2	0.04997080611781546	0.13581411021387502	0.005839998342153763
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	3	10.010779382965843	140.755014892444	0.6014811181487406
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	1	1.8478662856916732	6.860632220275091	0.39159758090266183
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,inhibition)	1	0.4408730534354808	3.543684958579448	0.07337054690597666
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	106	23.871535214291633	398.32118772937974	0.00252327000054986
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.16885770429550034	0.20473415343286835	0.023112794877154785
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	8	0.7755722942858556	1.8987374040312328	0.001917578873650183
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	8	10.026200159882876	1222.3560263973134	0.1334034286795267
