Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	45	0.033638520697534806	0.043190069946860546	0.0
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.27620648568952894	0.9549631973314275	0.06743409433697911
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	125	1.2833358781862352	3.762732325342149	0.0
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	88	183.88395766534492	49435.784696635325	0.5403157627908375
UP,NP,NP	(0,2,inhibition)(2,1,activation)	23774	8923.638040998581	3554991.478219092	8.009750640525226E-10
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3918	2491.4726313876504	3709659.630081366	0.20231874292589236
UP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	1015	109.25483878393744	8261.458496463134	2.3311508468015774E-7
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	28	0.7199678691001392	1.6980174519477091	3.499539547036079E-10
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1484	6089.333206860563	1724454.08021456	0.9999980778032121
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	1.054562603006297	8.730550907247126	2.0508228448790078E-10
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	15920	17962.95275912639	1.1441511436117685E8	0.51626326425847
PP,PP,UP	(0,2,activation)(2,1,activation)	141	159.38766487923027	6448.381399538717	0.5391004873528988
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	34	114.12079375849004	14433.459240025579	0.6795708118576547
PP,NP,UP	(0,2,activation)(2,1,activation)	3180	1158.705144445947	179650.4698439897	1.2540602895416697E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	67.2668042454829	348.1087896998988	0.9999787249243756
PP,NP,UP	(0,2,activation)(2,1,inhibition)	239	365.45901413350606	63038.074578493106	0.64021697316157
PP,UP,NP	(0,2,activation)(2,1,activation)	2526	1698.0291526220258	182908.80931038642	0.03574309259019315
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.2060125968795685	14.444712864031867	0.12536752295298736
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.5188496453252716	7.3389259686836	0.03836052964739911
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.02073500390685518	0.18883633454278745	0.002637141096611173
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	5	0.6035976805833447	11.993958097473875	0.03447972232598584
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	121	19.061923835141993	96.29005745077046	8.434128950796094E-10
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	33	1.7256325925837794	24.55863159813011	0.0032144252631874926
