Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	113	1.4817654793741588	10.006810733154051	5.0959236830294685E-14
NP,UP,UP	(0,2,activation)(1,2,activation)	29001	101235.7509195074	2.415077482906122E9	0.9598309793619912
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	8	0.22263702429539187	0.31184251706077853	1.0815063326008456E-6
NP,UP,PP	(0,2,inhibition)(2,1,activation)	202	806.4874986865556	121027.54680359142	0.9846764343922603
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	15	0.0810217831914968	0.4886390652028893	1.6088652144574667E-4
PP,NP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	16	4.144121913946552	18.362707585847232	0.01716355805467229
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	80	2.028748555863976	9.451454587423008	3.6648462042876417E-13
NP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	6	0.019888996287684764	0.021106288086912343	5.375933032070179E-11
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1105	310.65705793923007	14705.454922042118	1.994862748544435E-6
NP,NP,PP	(0,2,activation)(1,2,activation)	2456	3759.8555675123857	875724.2057750337	0.9293709262996981
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	234	8.14071456007159	127.56571002844163	6.192879542510354E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	7.488963896175829	271.0079453489394	0.23171464493570182
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	91	32.03443819652561	409.90177596183685	0.010557066552959293
PP,UP,PP	(0,2,inhibition)(2,1,activation)	134	96.88419168786432	1745.3464019085095	0.17707250565166288
UP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	37	2.532540022737722	20.17802590857927	2.951536284390155E-4
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	56	29.021924498158345	585.933936314624	0.12973140099148994
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1537	131.19117227053624	25238.71988603264	1.5956093085578438E-5
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.00549956481284499	0.006166014702168099	6.492375492772595E-8
UP,PP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	2	0.007304144118890255	0.007760975045069703	8.013174839116566E-6
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	196	2.4460764457800215	17.90498583839534	3.3306690738754696E-16
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,inhibition)	1	0.022345896438170167	0.025052182541175035	0.0013968301771085656
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	3	6.709967904285166	84.68673538706938	0.47648339035001075
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	1	1.6831401375598711	5.83838529129266	0.3704575261668174
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	526	8.311819452074626	60.12858413627923	1.1102230246251565E-16
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	21	0.26740034889800796	1.0538331477236313	3.7415313259847593E-6
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.20032536558338807	0.2913828161953096	0.03763221069571776
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	7	1.1741162840132566	3.4988229476489128	0.01423154636188062
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	4.5956080585097403E-4	4.646101165565872E-4	2.600417693177093E-6
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	337	355.0311560436163	25915.200601733188	0.49778694892304176
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	158	3.69961915226285	25.291428166883193	1.1102230246251565E-16
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	30	39.188865871783804	860.4271511743902	0.5438226832459614
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1710	5561.753071740482	4363260.085014015	0.9876635154185496
NP,PP,PP	(0,1,inhibition)(1,2,activation)(2,0,activation)	1	1.453475740712635	3.4746143493481005	0.36114886065936314
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3880	9442.436718108884	1.4340548967062816E7	0.9519954418818558
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	148	0.9785197090785493	2.867465648492461	2.220446049250313E-16
UP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	8	27.79970934671628	482.5193978044474	0.8039909412601276
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	10	0.005174213283102382	0.005688571492371648	6.661338147750939E-16
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	16145	10700.511650335988	9793442.691615134	0.05179746024135523
UP,UP,NP	(0,2,inhibition)(2,1,activation)	5008	2995.847228719292	720349.7101239078	0.01655935143785625
UP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	3	3.934357555831282	65.63879689813314	0.2706715392326713
NP,UP,NP	(0,2,activation)(2,1,activation)	11653	5301.2745592006795	2013969.6247799397	1.2579743655671827E-4
NP,UP,NP	(0,2,activation)(2,1,inhibition)	16428	4876.851225357322	1.1394129869593732E7	0.005523682818377007
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	24	0.08656964518698258	0.12831646673044314	0.0
PP,NP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	3	0.6070297928995161	2.144645131896492	0.05429135311794597
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	149	0.5776627100469244	1.1506210972038535	1.1102230246251565E-16
NP,NP,PP	(0,2,activation)(2,1,activation)	3967	2651.1077221328587	443897.4211295303	0.03331429847334921
UP,UP,NP	(0,2,activation)(2,1,activation)	23267	11401.606709982656	6769873.606674477	7.139217570784062E-5
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1649	10488.786995217448	5.015383275188488E7	0.9351926340443848
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	894	158.26897822440876	31512.59649233112	0.004183987458882932
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	148	0.05681965029375466	0.09519660608269759	0.0
NP,NP,PP	(0,2,inhibition)(2,1,activation)	1278	1577.8088155052878	419573.3657164755	0.6470530618069629
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	252	141.3996286616882	5681.223828210153	0.08413383773747651
PP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	105	0.19217196635420175	0.45323097503585663	5.551115123125783E-16
PP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	3	0.4883628364220544	2.0434115174341603	0.046899857063174455
PP,PP,PP	(0,2,inhibition)(2,1,activation)	312	52.79811568008817	567.149936477585	6.426503773582226E-11
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	102	11.2940682732944	72.31016722469114	2.3218393652157943E-8
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	159	0.9397550502042726	8.162256004884362	9.992007221626409E-16
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	5.19070458042206E-4	5.288872907549039E-4	4.946570456243471E-6
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	6.186071258142421	20.314938735792154	0.8692304366907768
PP,NP,UP	(0,2,activation)(2,1,activation)	2660	1336.0120941823993	215081.5283870506	0.007305314292274212
PP,NP,UP	(0,2,activation)(2,1,inhibition)	272	351.0459737562624	73221.79612518071	0.5387014571543199
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,inhibition)	3	0.1335374591340775	0.6342197034427177	0.013056757720210865
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	210	2.678131510585266	29.171948372156614	1.887379141862766E-15
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	210	0.0054180458537434134	0.005748726774728744	0.0
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	3	32.69500084073178	4353.391417939914	0.3725597861902338
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	30	20.505627057218113	4534.80368713372	0.13167493919508744
PP,NP,UP	(0,2,inhibition)(2,1,activation)	198	441.747989174355	13170.00286567901	0.9930269771420285
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	67	116.07219252718149	3153.2603928466906	0.8000107765742537
NP,PP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	83	2.90973879769352	23.95918723170808	4.24507992091705E-8
UP,UP,PP	(0,1,activation)(1,2,inhibition)(2,0,activation)	4	0.8900783908447459	1.8945969396938689	0.02830161951285437
PP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	84	1.3641468419842682E-4	1.4116486002873374E-4	0.0
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	1.2560160617036835	18.251344962896706	0.04215922147251017
NP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.009242464772318047	0.01245738790164507	0.0011881241748145088
PP,PP,NP	(0,2,inhibition)(1,2,inhibition)	149	30.061745324896002	248.72363037611763	8.702104403734978E-7
