Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	160	8.512027321942833	135.77515029212574	2.338976218263511E-7
NP,UP,UP	(0,2,activation)(2,1,activation)	6044	1945.452026791694	639173.3157882672	7.580809486795737E-5
NP,UP,PP	(0,2,inhibition)(2,1,activation)	214	680.3946426545666	99137.84397020238	0.9591237944265049
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	96	1.5571512111769181	2.8280252326820587	4.440892098500626E-16
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	72	3.0141365833759015	67.5731949775298	7.67986232330764E-4
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.05101288352715083	0.0645237126159599	0.006020476808939912
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	43	0.21078528009349107	0.3378039426226191	0.0
NP,NP,UP	(0,2,activation)(2,1,activation)	9621	3579.305596668318	1436925.3647102471	5.1336798942869244E-5
NP,NP,PP	(0,2,activation)(1,2,activation)	2385	4408.761959411426	1008409.0082150549	0.9879472246600062
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	5	90.99136374782755	1609.66593486101	0.9993268902192861
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	87	69.97967678706856	2542.4683384658238	0.3078740292238419
PP,UP,PP	(0,2,inhibition)(2,1,activation)	128	147.81907138456077	4022.8946324113494	0.5805491650498851
UP,PP,PP	(0,1,activation)(1,2,inhibition)(2,0,inhibition)	3	0.1426604798677576	0.16560523656065912	2.494076347797636E-4
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	2.1784262049049452E-5	2.1840072614057726E-5	2.806998855575671E-8
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	28	28.65970516223939	578.4606221008793	0.4167541985091452
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1267	127.33331799186696	25055.600799462438	1.3800354058146613E-4
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	10	0.9399710323417276	2.8107374846292723	0.0018648834197407815
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.09978932298130254	0.3989741023918827	0.014459147336490119
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.020076057140609806	0.02742414905045111	1.1502669322593917E-5
UP,PP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	4	0.01161897235388512	0.012579061292630936	4.441307022151619E-8
