Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	40	2.0135577633165025	39.02978498856298	0.004254363716019505
NP,UP,UP	(0,2,activation)(2,1,activation)	6163	2123.3752630870777	751485.8171717916	2.1166751880219437E-4
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	62	0.5091927541929332	2.090990779336537	1.0802470029602773E-13
NP,UP,PP	(0,2,inhibition)(2,1,activation)	154	596.8368144631836	77544.92732888198	0.9739555968364068
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.03400221261678525	0.04145961421131447	3.804498628625641E-4
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	15	0.13936113293043856	2.0527711239702637	0.0023284987601926987
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	264	0.8474933176752972	1.3680079137041585	0.0
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.4459815476039172	2.1936175408899183	0.09609699205026978
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	4242	1392.7551803398599	949362.3446739272	0.01181469646717137
NP,NP,PP	(0,2,activation)(1,2,activation)	1843	10960.453164665807	5.6150134597904295E7	0.9270760666959703
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	234	8.886770145426514	140.28154208602683	1.1105538710864948E-10
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	7.434055257558201	237.17063812650184	0.2447546062631396
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	87	60.38866023906765	2276.842321589145	0.24205175301687543
PP,UP,PP	(0,2,inhibition)(2,1,activation)	124	110.5849413546962	2715.7175022227093	0.3540355747238637
UP,PP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	10	0.43552971515563166	3.3830933740367812	0.008171953869640092
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	38	30.123510839044716	590.7140206103454	0.3022103674694503
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	350	47.052094888322166	1837.186481461909	4.227966069070277E-5
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.04448752648198947	0.19180804216154176	0.0025607571807463314
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	10	2.6625538668436475	14.647670517959991	0.05069440322410712
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,inhibition)	1	0.05593260127076199	0.0996966212700806	0.011646960121578731
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	3	6.321654520048528	82.11765748571739	0.4500071935111424
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	1.6141545667601043	5.488668155711542	0.2457076954175047
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	0.35624062302551407	0.5450743345021549	0.0020185078921977073
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	203	17.291061973245547	1162.9987447746362	0.0031580628462610782
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.1407483692245906	0.16487753036566435	0.016701080708200422
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	2	52.293639216006476	1342.5054954391867	0.9681086263169693
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	1	6.235412165879522	96.53538153760488	0.48767719846963475
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.001112638373905102	0.001133820696696704	1.0987840988962994E-5
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	247	421.5914465299544	42587.21167659701	0.7921931142042237
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	56	4.243492806239897	87.00264178449791	0.0034628533797039784
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	31	55.64261425831878	2062.382265384489	0.6415843212457741
NP,UP,NP	(0,2,inhibition)(2,1,activation)	362	1386.9734913045943	361371.56978769647	0.9823318926292153
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	6	1.1093887682546146	3.232577975497291	0.020849540672549183
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3274	9796.42903009238	1.6097411834493741E7	0.9729185221287844
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	6	1.3045818524267767	6.8475064435541775	0.05535325516843559
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	10	0.00644635365324286	0.007214182600469142	3.219646771412954E-15
UP,UP,NP	(0,2,inhibition)(2,1,inhibition)	2814	2782.623358064517	6112097.537307921	0.40416668292728064
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.001695139782773301	0.0019531328459040094	1.1246134080000747E-4
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	32	17.84763044734247	286.158640117566	0.17181872044135227
NP,UP,NP	(0,2,activation)(2,1,activation)	11763	5629.315547138617	1910925.2859699018	1.1668896690686381E-4
NP,UP,NP	(0,2,activation)(2,1,inhibition)	13191	4709.094772885171	8928202.432990048	0.012348625379743572
