Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	200	6.5390814359387734	108.07260104372003	2.257664721838637E-9
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	2	4.163046220946174	153.73475722950673	0.17894503026997932
NP,UP,UP	(0,2,activation)(2,1,activation)	5224	1851.1684928460108	618499.5069052996	5.145290069217268E-4
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	30	0.4767831764993602	1.5299250487046767	6.984596234715923E-9
NP,UP,PP	(0,2,inhibition)(2,1,activation)	175	276.9318333994699	25297.51164031135	0.7077100064064001
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	84	5.122244744592802	51.755844081089734	2.955730686649005E-6
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	54	111.70763619493825	4725.11358139559	0.7860063219551928
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	135	1.2175383997511795	2.8587267137132244	0.0
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	3	0.266147668256206	0.9393471506023271	0.022030019780014953
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	785	465.1823814891939	128376.27477169174	0.17117112596466055
NP,NP,NP	(0,2,activation)(1,2,activation)	16333	12426.808019941936	6056958.766901821	0.06358692530587584
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	7.806775121730927	114.15053655541706	2.5796031977165512E-12
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	18	4.0887950244099285	97.89218522994769	0.07842841028982306
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	76	606.4120906938797	629970.1831242193	0.6369737204012822
PP,UP,PP	(0,2,inhibition)(2,1,activation)	129	362.49548956608334	45436.24085357919	0.8801317224085723
UP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	63	2.115700227957471	5.744671521350137	0.0
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	34	26.922987095792603	391.62761760836315	0.29620644438215815
