Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	46	0.0884018706058962	0.12986592136301	2.220446049250313E-16
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.22017032716662646	0.6562107868996228	0.05496289897777895
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	125	0.9929857176295961	2.749137508294358	1.1102230246251565E-16
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	93	122.08602664532158	26081.013511606023	0.41807616072580145
UP,NP,NP	(0,2,inhibition)(2,1,activation)	21603	7415.743415296147	2482843.470237702	0.0
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3425	2375.769342813401	3102502.4894985706	0.2376037795850111
UP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	985	83.69870801858073	5254.892791675233	5.150142312615458E-9
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	28	1.7283657876668648	5.021159326892267	3.808775506097817E-7
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1192	4752.427329617325	1082973.457807567	0.9999963059590475
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	73	0.9929857176295962	1.8133046438953966	1.1102230246251565E-16
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	12706	15378.455701922743	8.426355336637503E7	0.5579699303159911
PP,PP,UP	(0,2,activation)(2,1,activation)	384	356.4498749778953	22208.926225198054	0.38669454410133663
PP,PP,UP	(0,2,activation)(2,1,inhibition)	370	122.36877942915453	8094.575610113385	0.015673421051896508
PP,NP,UP	(0,2,activation)(2,1,activation)	3109	1022.4121482837043	139410.97382695635	1.7158706293818327E-5
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	53.819124790883905	244.26106465505427	0.9998218330441628
PP,NP,UP	(0,2,activation)(2,1,inhibition)	204	353.7374143674502	58864.49865010787	0.6905723935146664
PP,UP,NP	(0,2,activation)(2,1,activation)	2912	1595.3839228856089	161134.68617912568	0.002219400242551073
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	36	1.5757553446171233	8.001566826626709	4.089237521043287E-6
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.079160830343295	11.719474995207257	0.11914245857356598
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.023555189945994835	0.23361062307529448	0.002875507733772542
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	5	0.30409654608076564	2.104158111547994	0.01837026271660558
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	117	15.37649066476831	68.25327217141239	1.1862955062724723E-11
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	33	1.839915947439504	26.40258387571716	0.0035880758494825082
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	0.42316403080322706	4.023465684893124	0.006854929427855816
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	5.5032927074682885	28.78610990742468	0.5516611433395906
NP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	2	0.21691958938174455	0.30619191015181557	0.009445265700743999
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	10	42.717493644118186	1305.7226390151886	0.809742666625941
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	12	3.1900562481053187	43.740130248702755	0.08703418963911824
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	5.025489621633097	18.29747934008132	0.007285585130378802
NP,PP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.4104191919567297	1.8776468785202158	0.06088318110672275
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4586	13322.579939129106	2.2640331617462993E7	0.9860254560280525
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1252	145.17174017752689	8562.149306356183	3.4547376071003555E-10
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	77.76253757635769	7999.429546120526	0.7570109071542434
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1471	83.10843383382823	3724.8715548501423	2.3092638912203256E-14
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	25	4.178453456672531	94.95064723401997	0.04704937335822512
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4887	2192.2535632756485	519341.8010612065	0.0010801285188335452
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.11279450982841732	0.45778031215538023	0.010063398925614475
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	14	0.9980831835140718	20.522775187346298	0.024137415089802383
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2395	6866.7190377810475	5174407.984457038	0.990964264083939
NP,UP,UP	(0,2,activation)(1,2,activation)	26892	112697.66948651211	2.9834996906136665E9	0.973673753228454
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	108	3.7093005930881584	9.958585045618946	0.0
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	11.349469834708485	199.08835534642586	0.4971049649885819
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	192	12.129705282324453	93.10923014883502	1.3211653993039363E-14
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2372	254.28687615000962	21596.55708491677	4.618527782440651E-13
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	33	81.46546216672947	8801.653318036715	0.588676058418496
NP,UP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	25	9.195613944695596	201.9910094863605	0.11862624123960763
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	56	0.7329201309015142	1.8628234997735418	0.0
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.07124676917469595	0.09999375406524014	4.030618371947403E-4
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	45	11.34934707593825	45.70309321240862	2.452662603865674E-4
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	13	0.08139431255433574	0.3592414333814191	8.251106650547513E-5
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	20	11.013243399498677	239.51502918386626	0.1996365911121133
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	28	13.128619606267904	2282.9193294742463	0.10343865838517918
PP,PP,PP	(0,2,activation)(2,1,activation)	454	263.0947096120055	21250.023723794555	0.10448800103298761
PP,PP,NP	(0,2,activation)(2,1,activation)	1035	1090.629687396376	83788.36960743065	0.5499396567749307
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	591	1335.9114945171136	1493052.9351974654	0.6685098443566797
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)	3253	4733.355432392189	3362494.7711570673	0.780958358437849
NP,UP,PP	(0,2,inhibition)(1,2,activation)	890	2384.2258268872756	1277482.6469560228	0.931652821685936
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	7	13.49558447653941	50.98528556891716	0.7905229381151989
NP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	5	264.2834542306554	74402.15182837559	0.8358234376975207
UP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	3	1.2123085846105133	2.415011046047907	0.08778988926090525
PP,UP,PP	(0,2,activation)(2,1,activation)	390	384.8575504241735	36257.982601313095	0.4387830926753995
