Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.013563018678199026	0.01575069748054023	6.455316646669651E-6
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	4.167942451195518	49.51114096514262	0.4238974191920575
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	204	469.2708406638895	257653.6238433973	0.604694099986115
UP,NP,NP	(0,2,inhibition)(2,1,activation)	22150	8658.412161010849	3274930.679781452	3.800424086541909E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3402	1751.1780416521212	2158936.436572293	0.13136620489802675
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1179	64.35253316003305	1947.625053881071	0.0
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	24	0.7159772708955345	1.749855974972917	1.4201308795591672E-8
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1195	5980.489902204109	1675951.7816080973	0.9999997537953768
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	92	1.2073631939975547	10.808760026494417	1.7797409102016104E-9
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	14941	16350.417345544753	9.487485398031852E7	0.49725605271402706
PP,PP,UP	(0,2,activation)(2,1,activation)	522	114.29205738366242	3202.1941284881523	1.4272350746802331E-6
PP,PP,UP	(0,2,activation)(2,1,inhibition)	432	63.668450845243555	2428.4939716457866	9.877858049400778E-6
PP,NP,UP	(0,2,activation)(2,1,activation)	2246	703.1749140250937	72457.16657603765	1.4276263139323397E-5
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	72.45148977000794	400.83684613677633	0.9999876697831452
PP,NP,UP	(0,2,activation)(2,1,inhibition)	183	205.9181349994827	21724.815003460986	0.48717461642883597
PP,UP,NP	(0,2,activation)(2,1,activation)	1583	1018.0400479681034	73055.37180644157	0.02733920521101041
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.2205425978901254	14.75420570669494	0.12612458926871928
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	3	0.4913716652183245	6.6549471386714	0.042592923993283294
