Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	75	4.1349198198041925	730.6700463283373	0.019842549283192956
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	2	2.8618595168823098	100.9067956366961	0.1315335922757329
NP,UP,UP	(0,2,activation)(1,2,activation)	26937	114902.38536667306	3.1151145432104855E9	0.9743953761477587
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	54	0.4438737949941116	1.4541726142424571	6.661338147750939E-15
NP,UP,PP	(0,2,inhibition)(2,1,activation)	123	273.2165140808305	17934.59768099332	0.8822539202878176
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	12	2.4285394927287554	53.044781105616046	0.0716039065303622
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	99	0.3175097224039106	1.5696778314233453	2.220446049250313E-16
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	2770	1164.3111290275644	647129.3268261389	0.04358543940799331
NP,NP,PP	(0,2,activation)(1,2,activation)	2738	16213.201380303524	9.306624951441473E7	0.959703094423396
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	8.87769749653277	135.70218669749073	1.3991918734745923E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	13	6.218664603420153	172.54281013606942	0.16611080395780398
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	50	210.62731711279957	113277.17091812417	0.4796004255772015
PP,UP,PP	(0,2,inhibition)(2,1,activation)	102	125.53501318959617	6421.556823898414	0.5520706776232496
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	30	132.34840407558264	11700.290670498442	0.8326101021580831
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	40	28.831230781139563	440.60767276496813	0.24855320164290973
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	181	273.9380198003665	10112.527302932242	0.8189192718257896
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	1.250811384214591	85.29172430239214	0.021146136306404495
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.05185809847736975	0.10608276863217399	0.011866922959225201
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.1505281779402324	0.7591463060301419	0.022287046684476675
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.6447574130434982	30.456160634722252	0.024264736415097077
