Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	3	3.0317789911340034	476.1601767711019	0.036252534551911575
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	6	124.84463934225185	51373.65548389717	0.4445609214846038
NP,UP,UP	(0,2,activation)(2,1,activation)	6016	2157.21078536755	812371.5529986946	5.051405085634286E-4
NP,UP,PP	(2,1,inhibition)(2,0,activation)	163	1190.5334661831193	1961392.7411578966	0.6986077080769602
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	1	3.0172842234032533	94.03716579647049	0.161389405500323
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.011554304472164984	0.013334451520976584	8.162497672805635E-4
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	8	1.3986765697330836	8.641335213364702	0.03942988062198116
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	4	0.20730872486530297	0.4975001237233671	0.004525781510844151
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1547	1301.7381062173279	512721.1183269117	0.32216669290231725
NP,NP,NP	(2,1,inhibition)(2,0,inhibition)	1147	38697.83928198888	3.411330639671421E8	0.9993188641562898
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	411	8.933361550328147	117.81961575975741	8.881784197001252E-16
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	5.41334452678275	8.069163615439326	0.9418654947964147
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	1	223.94193722881508	152233.01875221476	0.48105615968057913
PP,UP,PP	(0,2,inhibition)(2,1,activation)	36	169.39267359676214	11596.245703116663	0.9264103283395737
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	10	1.6303443151770138	7.935029221144907	0.01946536813292221
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	537	50.69783731890835	2037.3995715136125	1.0734691191505163E-7
