Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	5.4494486825983754	63.5880699164189	0.467224652810712
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	4	0.5374587089320292	2.5892724111802177	0.03743757751387977
UP,PP,PP	(0,2,inhibition)(2,1,activation)	1098	438.09510894739066	31427.280958914052	0.001518420167702761
UP,PP,PP	(0,2,inhibition)(2,1,inhibition)	242	83.22180965310368	4811.103634016426	0.03164149947113304
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	3	6.173472988823911	360.2446655227512	0.17124303595650636
PP,PP,UP	(2,1,inhibition)(2,0,activation)	400	348.1463525827175	13862.940164683314	0.30465257997669803
PP,PP,UP	(2,1,inhibition)(2,0,inhibition)	1600	1731.708956523525	1250996.4177419264	0.48077520705507093
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	17	14.921861794291528	182.65391322797072	0.3415771057353343
NP,NP,UP	(0,2,activation)(2,1,activation)	12619	4613.328428875183	2401999.3495924175	3.7823459882013744E-5
UP,PP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	14	12.277140626076221	172.5785166552539	0.33282575363757727
NP,PP,UP	(0,2,activation)(2,1,activation)	2677	890.9929066898878	141577.93349383725	1.9011203921059927E-4
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	29.059879552213932	725.4750738382365	0.8189929784123264
NP,PP,UP	(0,2,activation)(2,1,inhibition)	1629	473.8545496300433	108936.70113531777	0.004930175254990843
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	7	18.581345026900106	76.41006908285192	0.9190353864555035
NP,UP,PP	(0,2,activation)(2,1,activation)	1486	1121.1940944718535	317897.9242222819	0.2356124168982373
UP,NP,NP	(0,1,activation)(1,2,activation)(2,0,inhibition)	25	16.840754755993085	132.52589358256006	0.20309023840521268
NP,NP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,activation)	9	0.2616931711111255	0.3245963725291728	2.9006475443793533E-8
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	1	0.3871023059873586	35.77187318771673	0.00807804839623183
NP,UP,PP	(0,2,activation)(2,1,inhibition)	253	404.6778993776145	200756.60130864027	0.5159305236855027
NP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	12	5.946165777173399	63.61264917979024	0.1669173906545045
PP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	38	1.606300039355298	46.7254906157464	0.00852171282019043
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	2.177482497637503	186.99325220234007	0.04464807194642895
NP,NP,NP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	66	0.8933604023717562	4.844725954508648	7.627842801838369E-11
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	103	96.60625752223096	5238.667071570686	0.38888945478288184
PP,NP,UP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,activation)	3	0.17225314948555065	0.6957430861810842	0.015477944536390287
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	826	447.1277175525566	38520.67911793661	0.041573478060977775
UP,PP,NP	(0,2,inhibition)(2,1,inhibition)	1643	768.398692795362	365403.5469311456	0.09002484171217784
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)	83	440.40282514494527	30089.74907855061	0.9967324623158842
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	22	36.18841999502831	12044.530676381935	0.17315537264354408
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	266	17.067588013410145	572.8330503437992	6.011152056895064E-6
PP,UP,UP	(0,2,activation)(1,2,inhibition)	1684	615.8456600996632	47150.17164708831	7.936194568214372E-5
NP,NP,PP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,activation)	4	0.27253201113460324	0.4334874963201615	0.001493906788547772
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	10	15.86270298635804	1120.211722192414	0.285791271692169
PP,UP,PP	(0,2,inhibition)(1,2,activation)	102	156.4827058022409	14927.79140693619	0.6042556059921795
PP,UP,UP	(0,2,activation)(1,2,activation)	7808	31658.915656139332	2.4953146036703753E8	0.9671684006570114
PP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	127	73.4422041339555	904.974119491978	0.050458645168585115
PP,UP,NP	(0,2,activation)(1,2,activation)	27596	24067.80477696089	1.414908574150467E7	0.1726320324837276
UP,NP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	8	21.084229841278045	4102.861160832313	0.18016597013162317
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	262	175.9610554124899	8793.087012265903	0.17042840472087195
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	6	0.603620044469785	3.8769103350735774	0.027016449846832935
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	2	0.11509085116058285	0.25433973014440736	0.01100554540595522
NP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	801	2.130814866618359	9.97473755456608	0.0
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.12461174145593851	0.5426337178514286	0.011648512254426313
PP,NP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	8	0.12463327752595563	0.5674311712381677	0.0013602206095515434
NP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	8.358733784779881	109.42736369061232	0.5948145535030386
NP,PP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	78	10.819205111693964	92.59834708379961	3.9809589982175986E-5
NP,PP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	32	14.95098272185429	1482.0384268348437	0.14828296964945298
NP,NP,NP	(0,2,activation)(2,1,activation)	37473	15322.966874107702	1.1111541516464323E7	8.62249850408503E-8
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.010367614512793874	0.0125963522555901	9.436380544767253E-4
NP,NP,PP	(0,2,activation)(2,1,activation)	3463	2484.996854583662	1379900.0189686697	0.19118335673587894
PP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	62	0.6911283284432569	1.7498296065248635	4.440892098500626E-16
UP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	18	34.79296910457197	792.3181826537268	0.664185842725971
PP,UP,NP	(0,2,inhibition)(1,2,inhibition)	2258	1509.4831056739556	314685.9606309589	0.09931835065195727
PP,UP,NP	(0,2,inhibition)(1,2,activation)	1118	850.6509485392994	94061.59973017627	0.1845437193545063
NP,NP,PP	(0,2,activation)(2,1,inhibition)	662	274.50526630587115	95417.77118634932	0.1118384235705927
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	188	300.5088651167688	11546.381285106225	0.8559922405969398
NP,UP,NP	(0,2,activation)(2,1,activation)	13084	6913.49767197824	2714391.58731921	6.779163326788851E-4
NP,UP,NP	(0,2,activation)(2,1,inhibition)	11107	6425.439850159406	1.3425036677872032E7	0.10946523704307354
NP,PP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	595	5.68577904615197	262.5930477409101	1.3046230762370215E-11
NP,UP,UP	(0,2,inhibition)(2,1,activation)	6986	1934.525119861558	470033.4825014281	1.3403645637843908E-7
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	22	4.538748692323978	251.64914227686947	0.0715100940563872
PP,NP,NP	(0,1,activation)(1,2,activation)(2,0,inhibition)	11	4.7743371725033175	17.12663601019473	0.07302464182674606
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.5013730364220355	26.350048095473646	0.009410879475258538
PP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	238	243.9350413602436	4685.769640181476	0.5036391157713325
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	26	25.535436221507354	394.42462944868396	0.40293489522417547
NP,UP,UP	(0,2,inhibition)(2,1,inhibition)	135	1954.8125399485443	522826.2643092214	0.9999313079530476
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	8	0.9052109606130547	21.74207459593523	0.03674175726847084
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	734	1427.2272638220993	662604.676835825	0.7939644410272672
UP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	87.6415014784002	2652.32490912486	0.9935396594442785
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	127	161.87089128873302	6194.662892691053	0.6301816370761544
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	4	5.721154400731755	54.37431277204982	0.4195845303918049
PP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	6	0.8732792311283286	2.4476775213396174	0.012921404293288141
NP,PP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	425	67.04764429502093	2200.2012795235078	4.279141755936244E-6
NP,PP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	4	3.3063289920324292	41.26992227520854	0.23728277540994414
UP,NP,UP	(0,2,inhibition)(1,2,inhibition)	3074	7476.336971700179	5903396.553995892	0.9824138951429676
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	32	4.0839499817516245	31.15855591021569	0.002051006970868574
UP,NP,PP	(2,1,inhibition)(2,0,activation)	497	187.76626888788616	20458.45879836099	0.03605705144993221
UP,NP,NP	(2,1,activation)(2,0,inhibition)	131979	6425.439850159406	2.3584835951678894E7	0.0
NP,UP,UP	(0,2,activation)(2,1,inhibition)	776	2103.2944450881214	1822343.1592553705	0.8444892559868014
PP,NP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	12	0.08531312768054315	0.13762100385477144	5.016526860579518E-9
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	74	18.16518397104562	252.23716024367974	0.00622527776288595
NP,NP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	89	43.229024434136356	1828.2832169203102	0.1358478298492144
UP,UP,NP	(0,1,activation)(1,2,inhibition)(2,0,activation)	4	1.6871547377851117	4.599578844118245	0.10422900196096241
PP,NP,PP	(0,2,inhibition)(2,1,activation)	182	138.21857286341697	5946.7018242277845	0.2527225726161465
PP,NP,PP	(0,2,inhibition)(1,2,inhibition)	225	239.60397085463129	16665.46478108858	0.48898951958823345
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	91	1.2830607651382515	2.4994486919296786	0.0
UP,PP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	2	1.6407983675412097	8.946760877590332	0.23096788994571715
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.12695920459111698	0.16037453960837791	0.0028051847565014887
PP,UP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	3	0.8940086987827905	5.480085606666275	0.09459577631429394
PP,NP,UP	(0,2,activation)(2,1,activation)	2512	1350.7848595198213	231942.35222216276	0.017119747146754904
UP,UP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	35	1.6597026020974002	13.198674266202856	1.8348213327945562E-4
