Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.01010190895364557	0.011471308391162706	2.9354392134806062E-6
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	4.421263770554469	54.56205011564185	0.43338927298956975
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	158	414.41715659048316	209166.05833708245	0.6199943668272501
UP,NP,NP	(0,2,inhibition)(2,1,activation)	22148	8551.896882552774	3224307.4414273947	2.5676106796268527E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3287	1734.0948811558678	1937088.871763729	0.13283134306189048
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1113	67.9759451749869	2096.7434743160775	1.865174681370263E-14
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	28	0.7942962406600642	1.9409684750326381	1.0400051930758991E-9
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1205	5795.389975155381	1582910.750419274	0.9999995936220897
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	92	1.280939556473211	11.90893636585402	3.8209888586493435E-9
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	12632	15034.41513796178	8.046097349239051E7	0.5481697190184395
PP,PP,UP	(0,2,activation)(2,1,activation)	149	99.96056414446112	2543.6529399218452	0.15898272021939985
PP,PP,UP	(0,2,activation)(2,1,inhibition)	565	67.4731316603939	2696.246007626817	2.399978494826982E-7
PP,NP,UP	(0,2,activation)(2,1,activation)	2574	664.7377515606662	65509.11255244841	1.7380618944073944E-7
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	74.4466818167722	419.06076157274583	0.999990584480505
PP,NP,UP	(0,2,activation)(2,1,inhibition)	181	184.71125662980407	17731.12815958252	0.4360225457906072
PP,UP,NP	(0,2,activation)(2,1,activation)	1921	980.9121956688314	68371.34939011512	0.0011276961227311144
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.2285404056465876	15.080332266551215	0.12579192722112176
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	1	0.47023199382948044	6.1548762773297385	0.055708606130487226
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	29	0.009176339861994925	0.05069948970285678	7.021507453242037E-8
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	38	6.92270344745614	180.31720495112796	0.04117051934571969
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	780	1613.131699342271	823784.6958910497	0.8188809100511092
