Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	75	4.23584722352043	813.28987101796	0.019999956089749804
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	2	3.1706876044777133	139.08189452458694	0.12109514152303713
NP,UP,UP	(0,2,activation)(1,2,activation)	31281	120672.13160063946	3.4277672871582413E9	0.9680958757538382
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	36	0.39043612465574046	1.3987134676674513	9.938301293033192E-10
NP,UP,PP	(0,2,inhibition)(2,1,activation)	171	207.7258267577377	13365.336758240417	0.5715428233214865
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	1	2.735991538404057	20.753640031162917	0.39281590700859426
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	12	2.124820602570982	49.12446265141208	0.06262914726515367
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	96	0.35527147472075804	2.142408758169073	3.885780586188048E-15
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	2770	1171.1672049831295	650804.0343445784	0.04438192412017694
NP,NP,PP	(0,2,activation)(1,2,activation)	2565	16530.661203759784	1.1130804452932066E8	0.9498165538269467
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	9.164474224880022	135.72561977677893	8.288925101851419E-12
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	13	6.1305767414741	164.00264163183442	0.16487878032890668
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	50	213.52911570341573	121702.9215531282	0.4678949898907391
PP,UP,PP	(0,2,inhibition)(2,1,activation)	60	94.55526536250454	4441.490221703798	0.642742124016903
UP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	1	0.3736889257301471	0.5778135347619331	0.08245919609617303
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	52	30.45020666808837	483.7688233329161	0.15226442979680122
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	166	291.1587781964614	11257.0594212578	0.8911815034785171
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	1.2411981939208057	84.57994118244571	0.020991379417688028
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.05477011467311261	0.11522722964153731	0.012724134553950717
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.14553069457335582	0.7245719374499103	0.0215563671356932
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.5786888896765936	24.065255483589212	0.024384804273944072
UP,PP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	2	0.08030405050197958	0.40763337958404366	0.01189156501994515
