Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.05006323264388249	0.06727353488256445	1.8492569034700423E-4
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.26366271855199946	0.9034604847643649	0.06452613612399793
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	125	1.2403263313480706	3.6392755198864797	0.0
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	72	100.29597829654038	19857.898101248844	0.41226921838265596
UP,NP,NP	(0,2,inhibition)(2,1,activation)	21977	8360.046567891628	3202384.939960867	2.5012967252990848E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	4363	2533.188475133425	3463558.8007402793	0.1554295330333234
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1205	56.508730790989304	1589.8895040880443	1.609823385706477E-14
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	28	0.9071965368358123	2.222952394499936	1.8554485725630343E-9
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1281	5674.8146361208155	1514442.0064410903	0.9999990454396744
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	92	1.0002760968526172	8.016348541087245	1.5279666421008642E-10
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	15139	16621.250852081204	9.820349755863649E7	0.4991907074523204
PP,PP,UP	(0,2,activation)(2,1,activation)	646	231.20409240932742	11567.687488189142	0.0014434611911159356
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	39	120.62384786604864	15022.09450665846	0.6836894199715438
PP,NP,UP	(0,2,activation)(2,1,activation)	3109	1327.397859396614	227474.21615693066	0.0012412315325242007
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	65.89223919909443	336.85063323122176	0.9999738201316782
PP,NP,UP	(0,2,activation)(2,1,inhibition)	251	415.69125805156335	79935.29831725243	0.6757998017543476
PP,UP,NP	(0,2,activation)(2,1,activation)	1979	1955.5013917178985	229971.30238595651	0.45574287920973644
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.144608558545673	13.346315597830895	0.12116025085252657
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	1	0.4941848719970921	6.76958522050929	0.056477359071370525
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	29	0.02757431335811009	0.3045257615154008	2.3900440065172113E-5
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	5	0.3228105758381082	1.3851805662970451	0.012733707923281101
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	190	18.08065895562943	89.25233321927226	0.0
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	33	2.1295988128840566	31.421909959531185	0.004724511010572141
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.17761926285886842	0.9274079049488294	0.02623999471029992
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	6.5688322527626655	38.88648371706631	0.6092997319671853
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	6.4859433291706745	240.65802725223193	0.2636633574885111
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	10	55.59547280764928	1992.5941372924035	0.862418383380277
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	12	3.7579135743410412	58.705229103009096	0.10798499277635532
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	5.449502964926959	20.92608707499632	0.01109780256992432
NP,PP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.31205250011114744	1.3535190561435462	0.04614485824962011
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	5130	14298.019189271354	2.5047953856677234E7	0.98530962777209
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	642	115.71296793720589	4240.731594559771	4.5518570035429917E-7
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	93.92480696756074	9406.918036609102	0.8266974820032607
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1471	96.06397204234399	4410.965880123074	0.0
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	8	0.10055446619762719	0.39605435148469026	6.984202684224838E-4
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4419	2123.571891145575	488391.7152148811	0.002905019235569628
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.12188927145544838	0.5225705567587023	0.011285714913040534
UP,UP,PP	(0,1,inhibition)(1,2,inhibition)(2,0,inhibition)	1	0.0770179075591242	0.08670956631847335	0.006491047019641538
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2426	8089.053821101004	6943095.539572522	0.9961825905024361
UP,UP,UP	(0,2,activation)(2,1,inhibition)	337	3610.0395093893185	5276742.289368883	0.9709491851840961
NP,UP,UP	(0,2,activation)(1,2,activation)	26976	109166.93539846696	2.802010170771923E9	0.971452983022188
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	39	2.820278745295507	8.123042092496375	8.852689248328716E-9
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	15.495295659352058	294.62005465129556	0.6020440240823215
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	101	15.848205570674788	138.15416413776572	1.0844382817953857E-5
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2474	318.7262999211933	28721.140133592533	5.168199201932566E-12
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	33	96.57766653875326	10073.912134411203	0.6637754556088413
NP,UP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	25	10.629092140776969	249.5188510242896	0.14473536574444623
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	44	0.6419055117585759	1.6160344112515261	5.440092820663267E-15
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.05855065913475989	0.08508239300692817	3.924634991372411E-4
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	127	469.3779110299341	185852.26716502607	0.7592947421600729
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	4	0.06121303780054639	0.263863852807926	0.0035379552934287073
