Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	70	7.136292735625093	1097.4859694715049	0.03693795330992178
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	4	206.29619827008256	133675.4873779579	0.4663284676841667
NP,UP,UP	(0,2,activation)(1,2,activation)	24637	97206.73940263162	2.2320670753236027E9	0.9694141457415781
NP,PP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.5925428776928225	2.9879392148108037	0.08730955215203773
NP,UP,PP	(0,2,inhibition)(2,1,activation)	184	497.7728237095388	55756.47547059844	0.9327489697369764
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	78	87.17851869211906	4402.47323853495	0.47349971749952735
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	120	0.4326058186569764	0.6792719773380751	5.551115123125783E-16
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1294	972.1272131230346	252970.65153644222	0.23679077993958375
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	287	344.92171567537605	193138.07294249092	0.40855276202596225
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	7.070803440174339	115.69839609087592	1.960231976738669E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	4.5548464714592205	134.7274827544344	0.1621340789915383
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	133	365.06167059533107	223865.93064181	0.5519472449979745
PP,UP,PP	(0,2,inhibition)(2,1,activation)	103	331.489211241328	31802.77295676191	0.9277334860010708
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	911	369.2615192509667	51377.248702101875	0.02365211549944568
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	38	25.37549044357241	427.50607185049466	0.22466023211732367
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	141	237.942279396521	7575.148926679729	0.8742382008347145
UP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.040940626714641555	0.058893465564655995	0.0063901976041693676
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	148	1.4505911361768191	7.501274641453518	1.1102230246251565E-16
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	6	0.2632931034113784	0.9477281684298607	0.004507698806310856
NP,NP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	10	116.98885803537162	43432.01698044253	0.44892005361919995
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	8	12.057249743133504	176.19424898524045	0.48742144051397274
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	66	40.48406558326169	18252.600815291116	0.12556279838251938
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	4	23.82633410041769	734.1004968389198	0.6942329927433548
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	529	28.959401403633507	1454.0500652920255	1.4871946141248316E-7
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	21	13.866639786282526	1382.7023743667473	0.16695354810133567
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.1819219415637271	0.22482217598741513	0.026474884240273888
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	1	57.218128559158046	1727.4686324524014	0.9684952986766954
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	107	77.88549230085562	3776.688469749689	0.264554833157596
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	27.63864594872446	5516.601290755505	0.21697772479414434
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.01646129142880977	0.018965261020609355	0.0011806671495575571
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	351	664.31752666443	186124.5915180687	0.7405909908377786
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.0660155095453458	0.08124485832445295	1.206091129014597E-4
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	33	141.35238859708898	27579.307059638584	0.6540568485499421
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1430	3269.70202471175	1887834.7687183358	0.9307910036757817
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	8	5.253834964646166	66.47655710105502	0.23159420937238928
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3657	7489.8793524192215	1.0936551427711107E7	0.8909253650276147
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	147	2.9205598537754347	73.71130683503748	5.217968505388804E-6
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	19167	12623.711112117511	1.2414991993471205E7	0.04209285847330557
