Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	5.432581403614325	62.97350588554596	0.4676165125777917
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	24	36.69440829995864	333.8060605066205	0.7243278627373663
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)	93	154.933014404389	19887.43561098072	0.5868588460948883
UP,PP,PP	(0,2,inhibition)(2,1,activation)	750	572.1948962493311	50812.38486255368	0.2032861588528917
UP,PP,PP	(0,2,inhibition)(2,1,inhibition)	181	54.355851492058314	2690.167134872441	0.02793464759551889
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	2	7.40756016849486	258.3792697145633	0.30848664993376496
PP,PP,UP	(2,1,inhibition)(2,0,activation)	459	556.2980049714731	27897.445561934437	0.7013175031420391
UP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	10	6.154242780565625	811.2383994778922	0.07657921288130487
PP,PP,UP	(2,1,inhibition)(2,0,inhibition)	719	1211.8367182893496	635694.6275883694	0.6936023426258537
UP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	51	367.6819187779861	50831.89242022674	0.9632715453090712
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	12	7.84803197529283	58.926280142606714	0.2234963312869288
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	66	0.00763453716385982	0.008070971810441181	0.0
NP,NP,UP	(0,2,activation)(2,1,activation)	11559	3881.9564995578817	1754257.210115863	7.880517603808812E-6
UP,PP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	8	9.576445716796341	126.67407896712491	0.40978175187500576
NP,PP,UP	(0,2,activation)(2,1,activation)	3238	1615.8219175642369	368694.73764469055	0.010969901455189612
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	49.24112068108227	970.3409566817095	0.9724479779775759
NP,PP,UP	(0,2,activation)(2,1,inhibition)	1195	377.02421638062714	72210.52987714566	0.010059474646739508
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	0.4817452833282283	0.7341496787483414	0.1108224031170808
UP,PP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	6	1.2163846033712442	39.19618127549453	0.04932728357636973
NP,UP,PP	(0,2,activation)(2,1,activation)	2268	1661.9959917445237	382207.16265901364	0.160775174286793
UP,NP,NP	(0,1,activation)(1,2,activation)(2,0,inhibition)	27	12.126478824140401	78.29938049754901	0.06204232064957904
PP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	1	0.018555750798308963	0.03441831669494975	0.003926037259732951
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	25	0.397492475298179	37.67902113355766	0.004887672949236421
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	15	0.7819142513751083	122.00830273660505	0.008183564878388339
PP,PP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	1	1.21026182047696	2.313291060411078	0.31586470244688425
NP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	15	8.436006199208041	88.53021934070341	0.1875668628973577
PP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	19	1.337088064891585	36.92637940542175	0.024031620784979446
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	1.795949473929941	161.94814141997247	0.03541253573811598
PP,NP,NP	(0,2,activation)(2,1,inhibition)	467	999.5125315420707	441903.9974078913	0.7718795514937727
PP,PP,UP	(0,2,inhibition)(1,2,activation)(2,0,activation)	1	0.08376531690753757	0.8559985222853352	0.01219921971191018
PP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	3	1.5005902548090881	3.153178442155687	0.1269034934506419
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)(1,0,activation)	2	0.12349793246886336	0.5929657585938053	0.01829593032201393
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	550	340.7322369842778	26757.87792402158	0.10816365717525489
PP,NP,NP	(0,2,activation)(2,1,activation)	9435	2665.8788702528454	369002.94759744406	1.5475398740250057E-12
UP,PP,NP	(0,2,inhibition)(2,1,inhibition)	1426	685.5097926987249	274580.37122111546	0.09357463908442354
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)	80	369.98227704795227	21659.19673230592	0.9944340437083098
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	22	52.30967549998781	12326.923142084614	0.3079753350015403
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	466	17.219129100794603	571.6377317657829	2.8924163064658615E-10
PP,UP,UP	(0,2,activation)(1,2,inhibition)	884	531.6744921671974	36070.30163264129	0.04443553398871003
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	10	16.89751564144355	1159.0753817641917	0.3067554948131611
PP,UP,PP	(0,2,inhibition)(2,1,activation)	28	42.07101404543054	745.3377954670095	0.6416824913501715
PP,UP,UP	(0,2,activation)(1,2,activation)	10694	28813.549790356778	2.08434644930673E8	0.9189776803871981
PP,UP,NP	(0,1,activation)(1,2,activation)(2,0,activation)	5	3.8672405367575284	8.945636671034775	0.250418526601618
UP,NP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	1	10.958054492900608	2039.9280058670774	0.10939032838300133
UP,NP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	9	27.79870107187906	3500.12174054193	0.31655577713261895
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	275	198.62025043777325	7096.654855495035	0.174542281342418
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	6	0.5637268921283718	3.34730182275715	0.0234482401420415
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	2.357436837441908	12.461678408399608	0.4149367316348094
NP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	879	1.0101543890577518	3.7971508114224264	2.220446049250313E-16
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.11621058001035453	0.4646389780681172	0.01026473824380092
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	10.650937377875206	33.680107142944706	0.7421021022097802
PP,NP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	4	0.09979119206302832	0.4460373738742212	0.006047076418755792
NP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	7.838604191130109	98.67727805421896	0.5807339042392812
NP,PP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	130	17.556645448562147	235.5816581334015	2.2487013418892587E-5
NP,PP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	51	13.18041221518748	1152.8681762649576	0.09446044561621358
NP,NP,NP	(0,2,activation)(1,2,activation)	20532	16656.17215382965	1.0894765133066714E7	0.12300783417737027
PP,NP,PP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,activation)	1	0.006881245472098052	0.007386001049468364	2.552154109002336E-4
PP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	26	0.6322602787407008	1.589617772049637	3.430676631666074E-9
UP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	16	32.87595527596985	755.420618146851	0.6696858225429267
PP,UP,NP	(0,2,inhibition)(1,2,inhibition)	2528	1512.3598154613856	327999.42961708223	0.051449018649010636
PP,UP,NP	(0,2,inhibition)(1,2,activation)	1262	755.5149167118144	79950.9592709589	0.04982311340664103
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	3	48.48452534592155	1019.7968102244081	0.9714408871897958
UP,UP,NP	(0,1,activation)(1,2,activation)(2,0,activation)	19	4.794948798908666	17.195607341153966	0.005920262625264461
NP,UP,NP	(0,2,activation)(2,1,activation)	11824	5310.700678527526	1701679.0624492615	2.482094355160669E-5
NP,UP,NP	(0,2,activation)(2,1,inhibition)	15706	5211.509087198998	9416464.496076964	0.0045091835373076705
NP,PP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	592	3.134801010048859	113.78082117437695	7.66053886991358E-15
NP,UP,UP	(0,2,inhibition)(2,1,activation)	7004	2022.20153485895	510631.3976953728	3.951723547279684E-7
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	11	5.208711233176489	253.41424921332904	0.12611558306945903
PP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	32	13.202437007912419	106.28536396031936	0.053098941857191995
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	13	0.7844682836958331	36.97580185313369	0.018640206906335388
PP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	938	117.25240014099364	1370.4025244473833	0.0
NP,UP,UP	(0,2,inhibition)(2,1,inhibition)	144	1957.9735269616938	520923.89613398584	0.9999227853800382
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	63	2.8245084608296995	64.38332845828498	0.0015248603557547202
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	4	0.6679561091582837	14.971051815237514	0.03921406390855531
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	578	1094.7847525651266	402947.1989616004	0.7791427956947508
UP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	93.07559712641853	2978.8195458072023	0.9938858379396741
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	224	213.1517539821355	5901.588369019511	0.4070311956334184
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	109	9.640921589430812	81.87224926489142	1.1061122351385677E-7
PP,UP,NP	(0,1,inhibition)(1,2,activation)(2,0,inhibition)	4	0.3605082303223704	0.5530616596204305	0.0020913569887059946
NP,PP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	485	79.33644557624993	3861.3668180668574	5.1141411751221E-5
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	49	8.983657064835466	78.22572802777886	0.0018704668239273303
UP,NP,UP	(0,2,inhibition)(1,2,inhibition)	3051	7514.344683826803	5907103.081104003	0.9839012449856831
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	2.875142404066302	145.70828635392434	0.0941618810383944
UP,NP,PP	(0,2,inhibition)(1,2,activation)	3410	2147.3028249356757	624508.4018844021	0.06725431938946502
UP,NP,NP	(2,1,activation)(2,0,inhibition)	134527	5211.509087198999	1.6059960158250269E7	0.0
NP,UP,UP	(0,2,activation)(2,1,inhibition)	823	1995.2399898362407	1658251.200497686	0.8166719824585388
PP,NP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.07119151925795719	0.10672277201235557	0.012310767630283714
NP,NP,PP	(0,2,activation)(2,1,activation)(2,0,inhibition)	18	1.128549661622529	20.352169319236634	0.01709552080461696
NP,NP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	41	41.3555438377013	1196.2516985908426	0.4130181895292918
UP,UP,NP	(0,1,activation)(1,2,inhibition)(2,0,activation)	4	1.7737912576110526	4.973058671848438	0.11424697344215329
PP,NP,PP	(0,2,inhibition)(2,1,activation)	356	79.25394401014674	2416.0849193427575	9.969384767105627E-5
PP,NP,PP	(0,2,inhibition)(2,1,inhibition)	91	11.93619739135553	285.2816212548157	0.0033491851574661835
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	162	0.7839325315635165	1.415414145950416	1.1102230246251565E-16
UP,PP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	4	1.218126126463056	5.4549714514068555	0.08951184007914303
UP,PP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	3	4.132889615806919	20.835724231596792	0.4364074044129129
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.08709270003294943	0.10661534783462458	0.001353822562803031
PP,UP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	3	1.4529293658843128	9.248123225543836	0.1532415140991631
PP,NP,UP	(0,2,activation)(2,1,activation)	3902	1034.4305752848238	141704.60438257759	7.889958719697887E-8
UP,UP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	35	1.801471062280323	14.577095438682251	2.381242324952515E-4
UP,UP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	2	32.56870717967087	22146.661741065607	0.09070802347090434
PP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	1	5.2033831762721805	106.42650656047552	0.35651636757875604
PP,UP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	36	6.330107744138896	1453.4911373333844	0.039374868405027574
UP,NP,NP	(0,1,inhibition)(1,2,activation)(2,0,activation)	4	4.571319474583887	17.822641889920565	0.4129543618148648
UP,UP,UP	(0,2,inhibition)(2,1,inhibition)	609	3635.256360348121	806411.247393487	0.9999986152954085
UP,UP,UP	(0,2,activation)(2,1,activation)	10218	3877.6649686254627	2703248.478093788	0.0012513547860318885
UP,UP,UP	(0,2,activation)(2,1,inhibition)	337	3754.5047929780053	5757745.500457328	0.9712773806740321
PP,NP,PP	(0,2,activation)(1,2,inhibition)	258	308.1880197883751	24918.576952023534	0.5765964289490024
PP,NP,PP	(0,2,activation)(1,2,activation)	1041	7976.39331427793	2.1289084669313848E7	0.9755158297314673
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	3130	634.6662109948891	50782.905883086205	1.762034962382586E-12
NP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	297	12.88354142571785	635.8013946946311	2.0736869618565024E-5
PP,UP,UP	(0,2,inhibition)(1,2,inhibition)	531	804.3389021235444	73835.62387504522	0.8446311731538589
UP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	94.5280309102025	57120.21380264213	0.26676721519819613
UP,UP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	67	97.62886298592204	42626.43049591923	0.2820050312600345
NP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,activation)	42	3.420891394379449	15.535843407307727	2.6337165016654396E-6
NP,PP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	1	108.41462055713377	11431.780000140554	0.8645900005638812
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	119	76.69077484697745	2253.1041439985765	0.17299905698286522
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	131	8.482335031187745	190.52604731782733	7.024175623737694E-5
NP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	774	3.363591324167731	13.941099081043077	0.0
UP,UP,UP	(0,2,inhibition)(1,2,inhibition)	5375	6975.724883297644	1686955.782774344	0.8966110696451011
UP,UP,UP	(0,2,inhibition)(2,1,activation)	3669	3754.5047929780044	534270.450451348	0.5270807886261831
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	1538	681.0998161999564	23417.914763016335	3.051603381654111E-6
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.0852739499800342	0.1871123969081759	0.0030891415801358457
PP,NP,UP	(0,2,inhibition)(1,2,activation)	220	115.03099460963911	6424.343956582841	0.1050256616329256
UP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	234	14.523506306796754	485.7388992112533	1.6041123741428187E-5
PP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	45	5.653989087576048	155.83284241211587	0.022108955248810958
PP,NP,UP	(0,2,inhibition)(1,2,inhibition)	111	433.22234278754394	39049.23833922873	0.9772804317678588
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1495	77.42764116729903	3617.4152249892595	3.3306690738754696E-15
UP,UP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	9	5.347707305012578	491.444345529637	0.09040798330123434
PP,PP,PP	(2,1,activation)(2,0,activation)	560	958.2736902236828	118745.16145969008	0.8858919231405017
UP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	6	0.5637268921283718	2.496402875265369	0.01650983505846848
PP,PP,PP	(0,2,activation)(1,2,inhibition)	116	32.98858701780631	507.4648639888246	0.003469365115065459
NP,NP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	22.649648892925068	2878.22338218336	0.2902025692012039
NP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	3	118.30883086356783	4825.060776214308	0.993455047128576
NP,NP,UP	(0,2,inhibition)(2,1,activation)	1483	3809.45054112265	1547040.4699086975	0.9860917804382021
UP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	6	23.440916041502952	11498.85694844863	0.08887292952176462
NP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	16	8.311625962556244	235.66681771827766	0.18609692439373948
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	957	207.0361857048215	30438.935893701404	0.0020328946560924654
UP,NP,PP	(0,2,inhibition)(2,1,activation)	3346	1374.6785288426643	234300.08045602683	5.72263337509038E-4
PP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	24	0.2919464559530876	0.39868239817301016	0.0
UP,UP,UP	(0,2,activation)(1,2,activation)	227683	101735.75409800265	2.4597144967173557E9	0.016399542267137912
UP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	23	51.161805404217624	3094.780794356368	0.5920992590269057
UP,NP,UP	(0,1,inhibition)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	4	0.1493685064996038	0.34460880350095224	0.00272192626793033
PP,PP,PP	(2,1,inhibition)(2,0,inhibition)	213	51.93235987009138	1445.4843933777934	0.0016679042932620236
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,0,activation)(2,1,activation)	84	0.07461857528460471	0.24183922289884932	0.0
PP,PP,PP	(2,1,inhibition)(2,0,activation)	47	32.98858701780631	934.2883432813078	0.25786598155479046
NP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	20	37.93497798832483	1729.3208346407362	0.5542055719033729
NP,NP,UP	(0,2,activation)(1,2,activation)	9932	28731.51744052653	2.1163650217151105E8	0.9280545690336899
NP,NP,UP	(0,2,activation)(2,1,inhibition)	2051	1436.0488068004786	883899.0429689896	0.2271335634399798
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	5	74.81400828968084	8702.649105180735	0.690675334078394
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	1056	246.2670532705092	10809.259472000274	1.322440166262595E-7
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)	390	287.6551793401653	57237.614911174314	0.2759751473325178
NP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	1	10.594393151076096	202.60437896203922	0.6145720392352289
NP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	962	28.257143310680366	381.40675811590177	3.219646771412954E-15
PP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	330	45.49699128673117	396.85233636681596	6.439293542825908E-15
NP,NP,PP	(0,2,activation)(1,2,inhibition)	738	1156.5517445904406	311246.72242382145	0.7570193684217872
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.01109651168366934	0.01357445925426517	0.001042119803167929
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	15	1.1474084976327794	25.122286064430014	0.025958578256821907
NP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	1	129.31237782087095	5431.60960613293	0.9968720478441918
UP,UP,UP	(2,1,inhibition)(2,0,activation)	333	3754.5047929780053	897858.9778115358	0.9999999752551588
UP,UP,UP	(2,1,inhibition)(2,0,inhibition)	77970	33938.754212456995	3.891641708990021E8	0.02919027525668727
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	49	22.03460395280478	314.6843066356541	0.0798689975715906
UP,UP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.1093703730943653	0.34842837735172744	0.0077737732565931195
UP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.056108507704715364	0.10590369267759447	0.003918752906980072
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)	15	29.276427219212604	910.446129282933	0.5810585141103619
PP,PP,NP	(0,2,activation)(2,1,activation)	1175	1109.6429103769005	82639.61812015087	0.3859849866235846
UP,UP,NP	(0,2,activation)(2,1,activation)	17614	9993.30970368113	4380485.400657758	7.514049046587479E-4
UP,PP,NP	(0,2,activation)(2,1,activation)	3649	7835.9215777348045	2488597.355187401	0.9990124914424003
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	6.075539251853544	35.2140712780672	0.5041189939542055
PP,NP,NP	(2,1,inhibition)(2,0,activation)	1548	1561.2785371324742	1589669.529127276	0.42142198071626147
PP,NP,NP	(2,1,inhibition)(2,0,inhibition)	819	34057.712954960436	2.2341936194102192E8	0.9998392085954673
UP,PP,PP	(0,2,activation)(2,1,inhibition)	1294	232.95420392855047	43342.92284598036	7.339858164544522E-4
NP,NP,NP	(0,2,activation)(1,2,inhibition)	3022	3750.9179068309572	1767989.1203584485	0.6855678661764506
NP,PP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	188	1.2780795743412512	3.0039274832415535	0.0
