Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	160	6.5752130364937384	102.68770916485596	6.585693146377025E-8
PP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	3	282.45337780831983	113296.18302259219	0.7494571655529365
PP,UP,UP	(0,2,activation)(2,1,activation)	2204	846.9952964176833	126693.6822770657	0.0013448471390303807
PP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	2	0.22822158034263204	0.28718638663885027	0.006944338979278153
PP,UP,NP	(0,2,inhibition)(2,1,activation)	255	266.06471321737547	11223.107092132108	0.49980337284031195
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	24	2.1123010057008056	8.836357102383934	1.4413903157295405E-4
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	56	28.24746027590047	1377.113525704152	0.17779984314794162
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	242	7.8439506450816605	161.2232490596193	3.4825495820456354E-9
NP,UP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	481.20883704091483	75681.48675097286	0.9973575508461276
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	11	0.15646387586592508	0.267567967626523	1.7240668659379565E-7
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	3	0.04632614844431711	0.09328793425579544	0.0012586429423786516
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	268	78.93004609083913	1164.5465946325803	3.359272482861275E-5
PP,PP,PP	(0,2,inhibition)(2,1,activation)	680	165.78230140437006	4300.604168064718	7.342274810362426E-8
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	34	4.8376327593133155	72.83748980137086	0.014970438315695223
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	2.415150928619941	37.67943352687818	0.08398619630421789
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	115	947.9342789276488	1303300.681124508	0.6913404367365855
NP,UP,NP	(0,2,inhibition)(2,1,activation)	255	1058.6620223325667	243699.0019496677	0.9781123880944783
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	32	0.7353665631405136	59.68193848380338	0.008120746910450283
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	12	0.8092289886443478	119.12515030103549	0.009235118825503874
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	0.0017976897720457694	0.0018902660095530632	4.545032070457644E-5
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	32	19.949451808305362	333.98797137526157	0.20844667968762376
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	41	11.337263936460241	184.3519806886244	0.0403923637740351
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	2	0.18723960434707812	0.22741273903232	0.004276617980239927
PP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.5063374599032378	33.35721893221565	0.008737202712863823
