Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	40	1.8536890541175686	15.080465505381346	9.012466572966282E-5
NP,UP,UP	(0,2,activation)(2,1,activation)	5266	1934.622618837611	628592.4121870673	5.748691985543175E-4
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	134	0.37472499537968335	0.5593951851713961	3.3306690738754696E-16
NP,UP,PP	(0,2,inhibition)(2,1,activation)	166	755.4467140554978	109629.77633131703	0.9881585409855466
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	15	0.12132741367462294	0.87930233924365	4.821232687430843E-4
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	77	0.24904690859640113	0.39871441619921105	2.220446049250313E-16
NP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.02400513000363982	0.026152697964109545	3.3953806415354393E-6
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	4085	1493.2204704134008	1025309.5973141612	0.019639649396665848
NP,NP,PP	(0,2,activation)(1,2,activation)	2748	7537.09715202254	2539487.024768725	0.9998831988189396
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	234	7.108991497620301	115.91766816305022	7.304146176778659E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	6.7584157010096515	261.7153267764131	0.20403975929355533
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	23	36.76728724886328	581.0380925536947	0.664472854505909
PP,UP,PP	(0,2,inhibition)(2,1,activation)	159	109.32617997306122	2153.2568032559357	0.14085097840907512
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	177	8.363944689095472	26.33415986343266	1.2212453270876722E-15
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	20	24.169897554457684	430.8970024621892	0.4809373617164645
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1537	108.45284530892606	24904.17384023054	3.445921421585396E-5
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.08136755730265009	0.2955354897306024	0.01144382310613723
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.013531735802389979	0.015553068596189401	3.98609700691388E-7
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	8	0.7908583280361869	1.634098166693775	9.166849127727472E-4
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	3	11.085624864504627	155.98668714621795	0.6406270157052747
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	2.033957942637015	8.059636199919302	0.3029761018467535
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	1	0.6176702148678811	0.7840665323401724	0.14143124310038602
