Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	60	12.261068715492247	188.42445602329633	0.008881283253315941
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	65	3.5071297176706904	76.93243878486386	0.0015542607307943435
NP,UP,UP	(0,2,activation)(2,1,activation)	4472	1727.4730307041825	506351.77561804885	0.0011910996662763962
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	55	0.42652420173015104	0.6634719438924814	0.0
NP,UP,PP	(0,2,inhibition)(2,1,activation)	157	642.8733438008601	94745.82774781011	0.9737974045499821
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	72	2.5953808642430083	11.801959834796236	1.484745659752207E-11
PP,UP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	60	93.53998338456607	4747.597740131323	0.6256728099119464
UP,PP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	12	1.4964520122568354	8.756125539683424	0.01333213208620787
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	330	1.3980475887616841	18.78656153745713	2.220446049250313E-16
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1787	824.7285729574647	179178.78596324672	0.02582919096211711
NP,NP,PP	(0,2,activation)(1,2,activation)	2877	6052.692894965116	1886730.5588227734	0.9961883224897393
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	238	6.3046972838652735	102.8165103155807	2.8207214342046427E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	4.447549451192217	167.27129319281545	0.14106106207003677
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	107	415.4223732511157	267865.6792591384	0.6128993847717574
PP,UP,PP	(0,2,inhibition)(2,1,activation)	91	467.80676786407327	56595.173880130606	0.9774207068121069
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	51	11.433952598727503	117.856892100193	0.0057328510523353415
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	38	23.203689176096002	403.09928192684777	0.1945764470302681
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1404	99.83767995089073	23308.80728027619	7.621190716644577E-5
UP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	3	0.2231056533692709	0.2938026097894592	0.0015860502688991307
UP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.03360379098374199	0.05186056820351908	0.0058408000721673625
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	8	0.8214672048582677	1.7554426166874122	0.0011850332375333839
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	6	0.3286120757814497	1.5211102638834793	0.009491014470827785
NP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	17	0.7761494859655917	3.661439420399126	4.300251698978741E-4
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	49	13.374592831804396	197.6624483367727	0.02561874285532617
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	1	2.5570856890644724	11.874515237678299	0.4661726796538025
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,inhibition)	3	2.0601277249584546	27.420363982556374	0.17006558155902896
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	33	29.61698359516583	434.3606126971498	0.36148256907442955
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	2	0.3038686791816214	0.6039698360282983	0.028658659619510307
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	1	3.024873207099145	26.02701407871858	0.3974867486960343
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	436	59.00935223593376	2354.2128027751123	8.373777280579198E-6
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	3	87.08501067895634	16716.42748471384	0.5831872711834065
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.013169873882587486	0.014406407845697907	6.354716064067567E-4
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	297	961.2074273329335	365825.11081482994	0.884138436626797
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.07563184024431864	0.09985666551693834	2.802706328189908E-4
