Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	43	2.0392990655315804	40.640397007887444	0.0035205101596903488
NP,UP,UP	(0,2,activation)(2,1,activation)	6230	2156.8577009558903	774483.1043027425	2.2662034992426694E-4
NP,UP,PP	(0,2,inhibition)(2,1,activation)	165	598.3197077566418	77591.49700466497	0.9696837225120838
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	12	9.485249459387038	422.99437939968203	0.22059784095532753
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	10	0.1488333584933706	2.3820656600989527	0.005023322236383465
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	62	0.43975160682153414	2.1796118005511302	7.581824057467657E-12
NP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	6	0.030807512976097528	0.03396915606628819	1.4374696988284086E-9
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	4258	1457.8792262865534	992515.8773528836	0.013688884435404503
NP,NP,PP	(0,2,activation)(1,2,activation)	2495	15797.367891328631	6.3312932868070275E7	0.9859130412563742
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	234	7.432021662791164	113.21895911383889	2.201994142581043E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	6.262063210587837	181.18357267172576	0.21929894763621038
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	83	47.996253566917666	1849.279860824964	0.18087429132321464
PP,UP,PP	(0,2,inhibition)(2,1,activation)	81	94.83908018281109	2266.447804452606	0.5631839890447689
UP,PP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	10	0.591501507840419	4.157514049064636	0.009808431700844222
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	44	24.50375990062147	400.9373750973714	0.15147249201695978
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1537	74.56599539216253	3522.980664077766	2.120525977034049E-14
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.08717718388754363	0.3358586125820674	0.012502521349672113
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.05627755615134077	0.20029937495089953	0.002514824772501978
UP,PP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	4	0.03448548263533552	0.05447834798849119	8.02231707429657E-5
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	2.3525081430451524	10.080223287783603	0.3418672596575172
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	2	0.06714703010151843	0.1852209239742405	0.007995879058370292
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	3	8.762227015478269	119.98255592452526	0.5569065974318694
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	1.5309638198302553	5.03333675942684	0.2331004291724491
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	4	3.071139361312955	107.67416356054666	0.1270918250535672
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	191	17.98611255390398	793.9919618454601	9.619167610297463E-4
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.1486846753685373	0.17714762498516404	0.018764322493064922
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	3	80.535399846182	2754.4042747352514	0.9810818184386874
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	5.5589020375601015	80.01621701622288	0.42696173227533296
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.0018358733886785058	0.0018806382804427285	2.344979354806931E-5
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	262	417.4175396412665	42715.714852724486	0.7566581619840547
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	8	1.273071098866021	7.386456730485604	0.03267370982990392
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	35	47.55323448410186	1699.512954695726	0.5283923209720475
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1890	4540.332255107082	2880419.8709276244	0.9625863273847558
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	6	2.5403237825740717	10.825116238640854	0.11618951339956896
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3394	9432.977316664932	1.4811820543561414E7	0.966350777948131
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	8	1.948917432488055	11.985997080177391	0.06001427412588889
NP,PP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	4	2.157885092581232	13.921715876747026	0.17938631134176453
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	10	0.008418209102571333	0.009500129534596523	9.103828801926284E-15
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	17098	11056.046079359163	1.0385498110793501E7	0.04120889234150382
UP,UP,NP	(0,2,inhibition)(2,1,activation)	6671	3281.3851579871402	807130.7925458774	7.669924089989122E-4
NP,UP,NP	(0,2,activation)(2,1,activation)	12092	4924.061539031063	1471120.4032180049	1.632324873712676E-6
NP,UP,NP	(0,2,activation)(2,1,inhibition)	14293	4148.909409752268	6981301.540249765	0.002517822276163928
PP,NP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	3	0.7664317298848364	2.765078408087364	0.07140940427683018
