Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.01741529323602433	0.020759594017232978	0.0014949740572094417
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.25391967714473657	0.9369492016848034	0.061188454146228644
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	30	4.559196417175994	26.382389077086103	0.0013625638231211656
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	190	162.63433508911808	44096.84377814441	0.3209828863210539
UP,NP,NP	(0,2,inhibition)(2,1,activation)	17444	7759.211217072219	3107442.082794249	4.443902902995234E-6
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	1895	1598.4695508019624	1900844.6244778377	0.33744163322667187
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1166	62.366458757145544	1811.8341701674435	0.0
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	2	1.2668951450462622	3.858174441830097	0.19061124251782824
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1413	5403.78014634497	1830230.5146444663	0.9999323481468337
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	66	16.131327854160393	371.39164118042504	0.02633193445567572
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	9915	18867.46594336912	1.0492939725896782E8	0.802842425176673
PP,PP,UP	(0,2,activation)(2,1,activation)	272	119.12899081335995	3498.254338538729	0.015183734347216205
PP,PP,UP	(0,2,activation)(2,1,inhibition)	377	106.5744306237386	7903.591103175277	0.011697928141293668
PP,NP,UP	(0,2,activation)(2,1,activation)	2180	781.0216026254977	84618.60093369987	1.1936072181184532E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	7	76.32081987892116	529.001252611667	0.9999945747644609
PP,NP,UP	(0,2,activation)(2,1,inhibition)	122	206.9427197051312	27905.622910412552	0.6304277385949542
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	5	28.66830109681361	772.8100063966441	0.7770079750964602
PP,UP,NP	(0,2,activation)(2,1,activation)	1558	1121.457834284107	85841.98373399535	0.07643554848742828
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	6	1.975631979138769	22.52695576036343	0.11235071687004261
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.041489653369752584	0.5552888533021233	0.00367613289369495
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	45	13.683326004382101	416.4658516694017	0.08152054977178425
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	223	20.319505176098264	105.47305143809211	1.7763568394002505E-15
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	1.8178818836713777	27.43954375920549	0.007370903325975897
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	3.002572110042378	91.18492169486993	0.08515408446915529
NP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	5	225.09544277651779	70334.3471243392	0.7513075267743157
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	10	51.55049685287062	2016.554965925482	0.8204343945089121
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	4	2.871051018600233	47.995257218905714	0.1850922052930749
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	6.441340612048751	26.925470679483347	0.022939362860420864
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.021438832472465037	0.026849930922887094	2.7327293494727734E-4
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3139	9973.52438983342	1.5671853340976492E7	0.9812187266760186
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	2390	444.4594268611364	70599.62656173945	3.2536070055932953E-6
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	98	145.67755642091794	5645.474151282051	0.7072017118704511
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1506	111.2761364966385	5527.969805588122	4.873879078104437E-14
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	51	5.578984099057253	149.67277963116913	0.01434320125015276
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4807	2332.3116572560516	573884.8361636857	0.002975258531874858
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.1447260805913121	0.6783059302402317	0.014082658375589752
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	14	3.9273320270452863	103.01527564755894	0.09989551919424766
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2426	6032.776857742502	4725781.626791649	0.9723910237585065
NP,UP,UP	(0,2,activation)(1,2,activation)	29835	118248.30636452255	3.2824918733420143E9	0.9701958028741433
NP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	81	155.9389229758169	24340.291114472082	0.5947901886580358
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	7.168562213898511	87.02811870938109	0.3843509681023606
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	119	9.362061284241703	50.47579876719941	2.5474067300024217E-12
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2523	351.0256897904517	33738.349859405265	3.906097667538688E-11
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	9	30.416401107325225	653.2376856692125	0.7751828727046502
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	27	1.087466997942892	3.5652141986498047	5.358743554451095E-7
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	4	1.3489325739895905	7.062192491829299	0.1060041770776795
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	6	0.04324890149577744	0.14665710895276118	5.338719089222899E-4
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	6	5.7417909407629875	24.584465002414838	0.35893456834538606
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	13	0.30711508084242173	2.436061388449311	0.0027890249707727133
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	0.8427843791160307	1.9695538470313485	0.11303584674672884
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	1	6.030726893989202	148.811390971437	0.3519748286183305
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	30	14.445330822590712	2925.5737325570744	0.1004476973829378
PP,PP,PP	(0,2,activation)(2,1,activation)	101	33.66291424453531	967.5185906336426	0.03826171660701261
NP,UP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	24	4.809928523492822	65.91981559552843	0.03731041924604073
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)	2632	5965.931043004067	5688443.931797445	0.9402188164054804
NP,UP,PP	(0,2,inhibition)(1,2,activation)	988	1853.946173351617	1193793.1388016935	0.7704726026084052
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	1.208878615453688	2.0432458640874254	0.32091764833724556
UP,PP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	9	2.1557718174864435	109.72643486365992	0.056800673331631635
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	1	2.874222553646717	37.078763463152335	0.2993494265110891
PP,UP,PP	(0,2,activation)(2,1,activation)	255	100.45703003584364	5519.2614110952545	0.039547631529191496
PP,UP,PP	(0,2,activation)(2,1,inhibition)	37	70.71683740204371	7721.681563302023	0.5118114030010515
PP,UP,UP	(0,2,inhibition)(2,1,activation)	205	250.25835291683097	8499.445987626845	0.6598639366834946
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	56	1.940291761151478	49.38373949059892	0.0022810157139886433
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	12	1.3495913485787536	35.26542569868361	0.039571345854443996
NP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	10	6.9204018516546	136.95009338298559	0.23837234964431575
PP,UP,UP	(0,2,inhibition)(2,1,inhibition)	10	246.4617190327007	15815.932899164996	0.9977729850022893
NP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	156	4.18600672190641	22.38201500280288	5.551115123125783E-16
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	11	4.252169477267889	302.5541870904807	0.08309892694943766
NP,UP,PP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	23	0.8053400104418363	55.26311794675619	0.011789771450775866
