Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	81	1.4595156372172646	22.40150850439688	9.889308470345526E-6
NP,UP,UP	(0,2,activation)(1,2,activation)	28948	104151.65781203768	2.550804624158863E9	0.9626971143803388
NP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	36	3.0241775575966714	20.773585209947637	2.442553751833554E-4
NP,UP,PP	(0,2,inhibition)(2,1,activation)	136	651.0788618091794	86991.21079203032	0.9870385717223795
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	48	1.7040302890337466	37.379876619021985	0.00237214328890889
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.010855489367354794	0.012553680294329224	7.733974858189496E-4
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	181	1.962124236093269	15.31703726324264	0.0
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	4	0.09389007298558875	0.1698549108136069	6.027118100223605E-4
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1173	507.28895852621747	37995.22562497863	0.0026418679723602123
NP,NP,PP	(0,2,activation)(1,2,activation)	1578	2157.5021880167806	325159.677720543	0.8468309626073489
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	9.123783038963046	146.35164671433552	4.492961558355546E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	7.742394081380272	293.95488759185116	0.23283641142925138
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	102	59.79294898889987	2186.735898216849	0.16727894678453192
PP,UP,PP	(0,2,inhibition)(2,1,activation)	103	118.51321246945457	2847.72197127622	0.5688406476981323
UP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	5	2.1772075789144765	12.068436698607666	0.1396349000292031
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	3.110606800396033E-6	3.112547938471111E-6	9.747955775907258E-10
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	58	30.680417284434757	650.9041112541618	0.13648227938561175
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	169	489.34923307562156	49259.05744819337	0.9521674767064342
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.09194299969546314	0.3568639035994154	0.013217674717661887
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.00848359520279616	0.01105997924390552	2.4362035960789896E-6
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	180	0.32449538642976067	0.5749709192660557	0.0
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	92	82.64097064646792	3750.062900018762	0.3666427837411791
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	71	37.36329808771274	16034.868568334672	0.11777728451242309
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	360	4.020603447348875	22.070753891668478	0.0
