Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	6	1.687828844609794	30.585894133549825	0.08849708360243869
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	18	0.9153751741032606	12.169683453398981	0.009525930540827954
NP,UP,UP	(0,2,activation)(2,1,activation)	5760	2070.7614198781753	764275.357147268	5.86819357600743E-4
NP,UP,PP	(2,1,inhibition)(2,0,activation)	608	560.032200925322	107543.14552946272	0.3858413682381072
PP,NP,NP	(0,2,inhibition)(2,1,activation)(2,0,activation)	6	9.917514342950502	515.3391109653744	0.25832684980730924
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	19	1.2267067411051833	23.578753328509826	0.017831582722263484
UP,PP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	2	0.6680048266320882	8.3638279877372	0.06946691103800207
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	6	0.36527252188539233	2.7419662242986815	0.01779511331873218
NP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	6	0.035190558424697545	0.038865500389412416	2.046345648487602E-9
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	8271	2360.800281988671	2162183.62280818	0.001793081358417714
NP,NP,NP	(2,1,inhibition)(2,0,inhibition)	1343	62746.81699331351	6.737354932378798E8	0.9999488195977565
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	258	8.320712396037433	116.75069058071954	3.6770586575585185E-13
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	5.3932330339208985	7.8622432911353215	0.9432381273646057
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	43	38.662703485898774	1251.0731895605506	0.35827380093915473
PP,UP,PP	(0,2,inhibition)(2,1,activation)	32	69.07194811006396	1300.1419167594067	0.8517416778433337
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	9	2.9526233240830235	153.53882284810902	0.07603004828803306
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1500	94.76151130570148	4699.512671644205	2.930988785010413E-14
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	72	1.5151392839388653	171.66582572998394	0.007465082538884338
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	9	0.46598564243188306	1.1623725569174392	3.822081976002645E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.02150984374428495	0.02497718653729997	0.0016509396761290596
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.14918527495105333	0.6366374280542388	0.021921908293308645
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,activation)	1	0.0023120275789519818	0.004003557512582086	4.5405074586768457E-4
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.026048284060404735	0.10232869604642446	0.002229800513241509
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	44	0.6393425776990752	1.574868928295882	2.7755575615628914E-15
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	20	5.3954208273282305	65.04343833790342	0.06059175178099807
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	1.1538039254186807	2.963361362828933	0.1685279997027106
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	32	3.1670223652599345	19.15919175608883	3.5455564021336095E-4
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	9	1.9493351446203213	4.486062694964469	0.007315970997689547
NP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	65	8.069349215837027	225.48096279859507	0.0116256131427378
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	272	36.290966948777694	683.9579868175672	3.980198959308012E-7
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	4	9.73861634489889	188.44956835798158	0.4823405192146608
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	9.490384053648275E-4	9.653997676146248E-4	6.867015844846946E-10
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	320	372.7428829558984	34067.81046777463	0.5650348810351411
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	7	2.325126493727246	12.290814883432606	0.08788157186883816
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	28	12.152340141289532	77.6020894400144	0.053129432173386726
NP,UP,NP	(0,2,inhibition)(2,1,activation)	499	2008.2050964334699	638324.978103146	0.9913480695009456
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	3	0.9985672589504594	2.488797965650271	0.0784682644576955
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3796	13058.246516459525	2.1928011987270594E7	0.9928308973898189
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	36	1.1233750281439068	4.810851907668402	2.3622467126838131E-7
UP,UP,NP	(0,2,inhibition)(2,1,inhibition)	3405	3455.4311100984705	6914913.575095406	0.4297711108786011
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	2.2138456090651213E-4	2.2410840481935958E-4	1.3692259607234192E-6
NP,UP,NP	(0,2,activation)(2,1,activation)	12468	5723.3243473438915	2019299.7149925455	5.11522312396373E-5
NP,UP,NP	(0,2,activation)(2,1,inhibition)	13426	6121.749684417067	1.2783758468714364E7	0.03857880804829383
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	12	5.016161904840212	98.378616986691	0.14901720725255885
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	3	0.2859246655527975	0.621940249000754	0.012467078427914946
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	9	0.1309212292541533	0.20384835227907494	3.876609292463584E-7
PP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,activation)	2	0.685602198804708	5.836501202510761	0.08687997137357051
NP,NP,PP	(0,2,activation)(2,1,inhibition)	905	461.17845776824424	103972.74236178561	0.09731308335098854
NP,NP,PP	(0,2,activation)(2,1,activation)	2673	2511.5741330435208	834616.2394006196	0.3957019198908611
UP,UP,NP	(0,2,activation)(2,1,activation)	21116	11028.48907477324	5405586.851176918	1.1429317259281646E-4
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1860	11796.229850999489	4.487806628790751E7	0.9711799131281864
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	50	47.69164686471282	3041.4366642796904	0.3612851329831912
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	3215	246.92362055335423	33069.20892956506	5.269118474870993E-13
NP,NP,PP	(0,2,inhibition)(2,1,activation)	392	1028.2382321482933	201460.55285352003	0.9464910959403728
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	336	188.80642059562052	16711.82501781395	0.12954356854227767
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	3	1.2113559969114842	15.853313213311681	0.10398603022386899
PP,PP,PP	(0,2,inhibition)(2,1,activation)	235	44.6529675871969	594.2274218405967	6.47927976937801E-7
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	9	9.566682878116701	97.31376310639052	0.3956363933978684
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.18709236149944675	0.39814078530203256	0.04488397726031301
PP,NP,UP	(0,2,activation)(2,1,activation)	3415	1069.88136647391	148065.59335994255	4.468094530141187E-6
PP,NP,UP	(0,2,activation)(2,1,inhibition)	346	313.39685683687946	25338.47461509383	0.3715039948162565
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	0.6832254995181801	20.821582974518563	0.028904348412668313
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	1320	2.284376262254828	31.13535325943979	3.3306690738754696E-16
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	44	10.824448466151702	242.52106360682967	0.04555372420536141
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	19	10.81493395882684	1400.8561800385514	0.11661320788811569
PP,NP,UP	(0,2,inhibition)(2,1,activation)	935	598.86114651285	30268.943655896233	0.03712350910462625
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	51	175.4224411042997	3648.937649642623	0.9945255825462604
NP,PP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.3769249519426282	1.6525419756807613	0.03648386990355368
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	37.68770913482515	774.4604815705852	0.8306300625866168
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	18	1.0095976683175112	13.621403616634186	0.010852607402215053
PP,PP,NP	(0,2,inhibition)(2,1,activation)	428	174.96254892650919	5034.7989222431315	0.0020715342534152192
PP,PP,NP	(2,1,inhibition)(2,0,inhibition)	256	8869.601692328417	1.6349050209935173E7	0.9996465250197513
NP,NP,PP	(0,1,inhibition)(1,2,inhibition)(2,0,activation)	1	1.28019691255781	4.478787185772521	0.2907784790323136
