Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	6.244706807834483	30.46974748545037	0.7059240718968631
PP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	4	262.02012616130764	110698.39011474028	0.7031160662425122
PP,UP,UP	(0,2,activation)(1,2,activation)	17944	49876.98824056438	6.00024656497714E8	0.9292602458977502
PP,UP,NP	(0,2,activation)(2,1,inhibition)	2183	2590.3244310541927	3668609.2478448823	0.5093420876595113
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	15	6.2274387111748295	1153.8106186294774	0.05530351701707836
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	156	10.722694155565241	627.3481527473231	0.0032984035741050466
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	0.922701593689103	2.698882766576022	0.22539192628793736
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	100	43.97810554276746	528.9706721475559	0.019511534579259804
PP,PP,NP	(0,2,activation)(1,2,activation)	2543	5041.83229232401	4935853.040605221	0.881690919665572
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	90	3.4739730168951186	48.37434995007475	8.185216798795025E-6
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	2.9313990371945553	4.550588122024903	0.7184436692640587
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	168	1690.0160431516128	2738426.829120944	0.821831035607946
NP,UP,NP	(0,2,inhibition)(2,1,activation)	293	1563.9398263446137	429893.51766058523	0.994564329824794
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	245	56.19731033066813	1871.6994508780417	0.0015178693266137966
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	0.0170313045804893	0.02753297086288135	7.486938372516239E-4
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	8	13.206562743806408	118.98955213159061	0.5950185496549989
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	33	139.5564415681942	2922.404489874978	0.9937135148571915
