Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,inhibition)(2,1,activation)	116	211.64034500622424	9215.862391754046	0.8425998171442662
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	124	0.6830164115358861	1.7759632652174189	4.440892098500626E-16
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	186	202.00397217897887	55926.021179218464	0.39935097177073564
UP,NP,NP	(0,2,inhibition)(2,1,activation)	20152	6335.684755386233	2037150.5566702038	0.0
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3476	2479.396545720627	3627331.2279198924	0.25472596723587304
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1111	37.01902662255636	944.5551529074501	9.43689570931383E-15
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1917	4746.164387351754	1083637.222735595	0.9994315832058142
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	35.333482487641135	2254.9770977979497	0.6413967465488215
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	15104	17052.412634810385	1.0336506370593119E8	0.516451875337907
PP,PP,UP	(0,2,activation)(2,1,activation)	1209	465.51118444123927	33370.308576701646	6.979324446679813E-4
PP,PP,UP	(0,2,activation)(2,1,inhibition)	197	105.53371115797816	5910.959749100473	0.1213780038232809
PP,NP,UP	(0,2,activation)(2,1,activation)	2740	968.2962128921499	116384.58235776355	4.062012468786236E-5
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	14	49.01458433070082	216.72496297809175	0.998245733798561
NP,NP,UP	(0,2,activation)(1,2,activation)	10620	28769.62674241665	2.1175932733647883E8	0.9174765673063807
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	5	51.84204061338908	1008.2255249670525	0.9734240469897348
PP,UP,NP	(0,2,activation)(2,1,activation)	2589	1292.5847176865486	104218.46730131912	3.640276156363642E-4
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	0.8755580872190346	8.006516309120013	0.10642637632217256
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	3	0.41327741759841335	4.65979662075095	0.03893905522302754
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.019982642822206183	0.1774094890756839	0.0025708177601148074
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	35	7.901144173027908	172.31769711008954	0.049715567476543154
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	208	10.88475012966973	40.08377780827199	9.992007221626409E-16
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	46	14.805870002221571	789.136629011636	0.11267323202267243
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	10	2.0873612756242323	64.24818262283844	0.06707366023698402
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	5.3489161534527465	28.760703338198887	0.5352122094977272
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	8	36.16629164796002	1042.0951716178522	0.7923219956949625
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.7989110101653079	4.963031078536482	0.11560267747584785
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	4.705598636422164	16.142888825970566	0.0047845432551199
NP,PP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	2	0.1011443434458392	0.20055456772354832	0.008112384831558517
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4570	13971.236303864924	2.5568204895847887E7	0.9876547456010323
NP,PP,PP	(0,2,activation)(2,1,activation)	1239	1652.0100457500125	366316.5669483566	0.736132328459451
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1257	241.79016356569863	34236.39498120879	2.5895031525813295E-4
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	66.97824147779396	7913.855805062042	0.6628756850231341
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1514	70.17336333223669	3254.31133707171	0.0
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	8	0.18273931633489293	3.2348526886531404	0.007903597653140637
NP,UP,UP	(0,2,activation)(1,2,inhibition)	3790	2033.7562389420864	439767.3460211097	0.010450339318257784
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.11320009467629895	0.440035277929919	0.009784171226491667
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	24	1.3325307240182067	26.379531162954823	0.012414913120922355
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2412	6485.615429982097	4910384.05741252	0.9851625379567245
UP,UP,UP	(0,2,activation)(2,1,inhibition)	363	3855.1936262291433	5800592.6117238775	0.9736712829286195
NP,UP,UP	(0,2,activation)(1,2,activation)	28746	109071.55884527275	2.7949010308640804E9	0.9670319397300529
NP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	210	264.49822094572835	30937.868204634622	0.5575392144278983
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	8	9.052046897892422	168.1200234421117	0.35653443104339966
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	154	9.483864637993667	69.50438384546233	1.0644818360106E-12
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2548	162.3214355167962	13313.692455652654	7.782663402622347E-14
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	50	63.52260600949415	7337.629098225392	0.4051343535575598
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	24	0.6209749119444465	1.5518674947580617	1.2780905556120103E-8
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.06500776406229701	0.08382456696440305	1.8535446019041224E-4
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	15	9.896038571181291	30.22113755959812	0.15129741952065368
