Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	9	2.0418747331575657	33.2057383740635	0.07925400440016894
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	2	5.511025348460734	156.5657580444025	0.2784848866373303
NP,UP,UP	(0,2,activation)(2,1,activation)	5506	1913.886505282768	618747.1968446295	2.6390806583131976E-4
NP,UP,PP	(0,2,inhibition)(2,1,activation)	175	732.3625654861104	113824.42719082406	0.9799285771380081
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	3.213192190047324	72.95659972372512	0.03763122923881346
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.07942966388544763	0.10553894858541014	0.011217976458760104
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.25903422750794913	0.43060110092355663	0.005513662991451951
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	6	0.2332670718198564	0.7474440995843346	0.002883808249474762
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1455	420.5371594013732	26052.568941350066	2.645170055104451E-6
NP,NP,PP	(0,2,activation)(1,2,activation)	1731	5316.271304606347	1407744.4281876646	0.9999196666107685
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	237	7.903132879035468	120.81128038241576	2.3026469619935597E-11
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	67	56.524570138593354	2112.0093443328165	0.3343218459069499
PP,UP,PP	(0,2,inhibition)(2,1,activation)	54	138.94958601595425	3952.760123136133	0.9342572931610358
UP,PP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	2	0.5794012494422749	0.8022050196431294	0.04265664068934616
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	52	26.90221260262734	517.2198853890376	0.13105731487684835
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	310	42.26239162097993	1815.9140235484176	1.9807648741609896E-4
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.08775356226743151	0.3387738882513976	0.012592949500605966
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.024939834442434586	0.03529234157712528	2.1556199686467714E-5
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	24	1.0443313816305126	11.423013029179543	0.0028917944803794615
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	16	8.613577487627792	112.62270214989346	0.18431481902042934
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	71	42.30175534816027	19424.765807219388	0.12669961343697977
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	4	1.6584355241566628	12.554731884222072	0.13671301317878182
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	8	21.445530017028464	267.38231445143015	0.7653914684191976
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	6	73.22669763990042	2176.710990698891	0.9720843791718564
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	5	5.514195248283312	74.17900945281133	0.32667869348776224
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.0011853356900029587	0.0012067884790874484	1.121192494379919E-5
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	2.5385609780088675E-4	2.560436207008465E-4	1.1160630171147545E-6
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	390	532.4078082656066	63690.72420788143	0.6831212100866344
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	28	44.4909018579536	1457.6722806909913	0.5853621411666527
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2195	4960.400978125121	3771827.674528215	0.9440268831436567
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	1	1.7467149437768135	5.780886909488831	0.3881682125748108
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3259	8595.330062007371	1.2896793234000593E7	0.9559740234597143
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	42	1.6343204738087764	9.16855328217065	1.7924799365909294E-6
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	10	0.009804110014132268	0.011027827458960355	8.43769498715119E-15
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	15326	10211.278469602088	9304609.2072642	0.057647318548478044
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.001427089329574796	0.001624994611295244	8.731030104980331E-5
NP,UP,NP	(0,2,activation)(2,1,activation)	10360	4587.948049591649	1598896.183702927	1.0606976952276526E-4
NP,UP,NP	(0,2,activation)(2,1,inhibition)	13282	4236.949092926885	9925379.737300776	0.013468112066634785
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	9	2.2021742146693875	32.48884814624978	0.08508301879903146
PP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	12	11.53555169115468	2677.737985018886	0.08539839033007746
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	14	6.627184267771474	46.53126246421161	0.12530578678158877
NP,NP,PP	(0,2,activation)(2,1,inhibition)	593	358.8528509472128	30395.56271802078	0.09936504632509935
NP,NP,PP	(0,2,activation)(2,1,activation)	3406	2949.6705291884764	556036.4870497175	0.2572981778558653
UP,UP,NP	(0,2,activation)(2,1,activation)	23058	10267.43634605297	5842133.4720784575	9.185699040625828E-6
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1648	9481.93062407619	4.723436264154267E7	0.9067906362421327
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	17	35.53858947386841	16151.368887453971	0.13483501531923692
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2808	128.67748132555204	24566.562002087387	3.6648140078199276E-10
NP,NP,PP	(0,2,inhibition)(2,1,activation)	1022	1281.1006976433416	320721.91910210554	0.6422202724842647
