Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,inhibition)(2,1,activation)	177	143.52167657514667	3689.726908121349	0.26413587091193513
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.21198717066796036	0.7412559777232015	0.05181497656536571
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	124	1.1437965335344622	3.392205887542474	3.3306690738754696E-16
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	85	124.07753593025961	29252.36313493593	0.42696989995349865
UP,NP,NP	(0,2,inhibition)(2,1,activation)	16490	6301.313688429574	2380078.2711405605	1.7551007602811808E-7
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2360	1445.3252644374	1589519.5563681955	0.20182466628091766
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1096	51.66521046619836	1378.5600642513737	8.326672684688674E-15
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1638	4469.636222281766	1292789.8939633295	0.9987389145313946
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	163	1.1437965335344618	2.2432702987671855	1.1102230246251565E-16
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	7255	15389.364983994135	7.095921802256718E7	0.8359137310807289
PP,PP,UP	(0,2,activation)(2,1,activation)	354	289.79691466512105	15213.501952131322	0.27424888251695556
PP,PP,UP	(0,2,activation)(2,1,inhibition)	316	198.49853385412018	25135.852163694646	0.20065128084929817
PP,NP,UP	(0,2,activation)(2,1,activation)	2843	1121.3482580794291	158837.49811332766	3.32413135960663E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	5	70.39350669377595	464.019614695354	0.9999971197614466
NP,NP,UP	(0,2,activation)(1,2,activation)	11077	27730.074145939336	1.969785452370696E8	0.9020997291603992
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	29.881919731060723	652.697617018528	0.8209023477233606
PP,UP,NP	(0,2,activation)(2,1,activation)	2715	1580.8819279089703	152896.16725536482	0.005150082020240698
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	24	2.6822115300115104	17.605113023335555	0.002442583730764225
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	0.8577156517236001	9.978091044579353	0.09220587320237084
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.08963441454245046	2.123419586945723	0.006113860496864798
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	12	18.798883189615946	559.2085404535463	0.4626417777937236
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	209	16.429829413195048	76.68542982663683	7.771561172376096E-16
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	38	32.86871283167657	2161.915187456864	0.3105801629970787
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	0.7395270089825478	6.785305040919414	0.06035571627822012
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	3.864182286575541	19.713235064419564	0.6012291357413114
NP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	2	0.2292058033617421	0.35791654135562634	0.013253974942487257
NP,PP,PP	(0,2,activation)(2,1,inhibition)	236	145.4356920311676	11555.120895210264	0.18112114148219838
