Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	292	7.875886661848576	112.6708755292334	6.772360450213455E-15
PP,UP,UP	(2,1,activation)(2,0,activation)	14648	25863.773622232882	2.0109290530344963E7	0.9974778507649853
PP,UP,NP	(0,2,inhibition)(2,1,activation)	284	248.40178810176664	11154.160564884703	0.3322648737052638
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	329	3.813352676768902	47.63387370056456	2.220446049250313E-16
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	129	0.36404570823277116	0.8660105342416989	0.0
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	405	153.97265003530606	2607.236469736523	6.626972815237941E-5
PP,PP,PP	(0,2,activation)(1,2,activation)	7546	8405.238942357804	1.5980795364472777E7	0.5387233831012104
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	171	7.663603921316169	128.34777543082	9.600653161356831E-8
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	1	749.7042316417509	943304.0687813583	0.6954257242983881
NP,UP,NP	(0,2,inhibition)(2,1,activation)	38	631.954897108091	115418.23805487558	0.9944684314181234
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	369	16.397672333231835	210.71481628454228	0.0
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	0.10487435130990543	0.2133999659458136	4.440892098500626E-16
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	6	0.5242228718703623	51.92900669847129	0.009240215386294381
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	52	26.83223009225086	505.302845214184	0.1287242416064618
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	215	22.745175072419457	390.9375205177889	4.7480650411380054E-7
UP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	20	2.5941225941490034	16.583055600395074	0.005430312583909247
PP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.6303888317827874	40.60982860384685	0.010974811337532198
UP,UP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	75	5.991757389268602	596.9365560391184	0.02718654290670397
PP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.72633555937347	3.2509041945774206	0.10792524405287807
NP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	287	16.854168833497457	268.80799599969026	2.876121563133438E-11
NP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	48	42.172939853731165	19329.018606254547	0.13861156789622997
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	302	25.894661556839253	355.7195294005137	8.10496114667103E-12
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	448	1.6767868368031167	2.9079611643468777	2.220446049250313E-16
PP,NP,NP	(0,2,inhibition)(1,2,inhibition)	316	560.5941088000711	78336.268319397	0.8024532976144465
PP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	56	2.552549175014086	16.62240314400847	7.022025138025967E-7
NP,NP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	120	0.05634235155088884	0.08873006668121997	0.0
UP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	4	161.48403515446307	43380.7851260091	0.6874576905096095
PP,UP,PP	(0,2,inhibition)(2,1,activation)	419	456.07860521413636	20452.207924208546	0.5717164221720377
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	35	1.1068460024753177	1.5573462117402346	0.0
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	4197	3479.653775647211	924318.3851971459	0.2183575357150458
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	6	2.0709090809657695	9.102908333480848	0.08872988414149063
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)	1968	1261.8544303808233	219154.3730753886	0.07699638551791066
UP,UP,PP	(0,2,inhibition)(2,1,activation)	5571	3305.776247538197	725791.4211303573	0.008872083470608527
UP,PP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	10	5.1744826049535515	12.884787424851293	0.08442449346190084
PP,UP,PP	(0,2,activation)(1,2,activation)	27042	49398.34135543025	4.822712718548565E8	0.8508381039010239
PP,UP,PP	(0,2,activation)(1,2,inhibition)	11415	3914.460696760803	995309.594520852	1.0614189749347247E-8
PP,PP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	8	4.542444306508067	70.11628685225176	0.19592890092415804
UP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	180	0.4509667462483933	1.101471615546901	3.3306690738754696E-16
NP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	36	12.596128335564442	3059.5040642603312	0.07406940386858929
NP,PP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	3	34.80255811910543	2291.6119768492517	0.614474404065385
PP,PP,NP	(0,2,activation)(2,1,inhibition)	441	1641.6966095679722	1485681.547256194	0.8488261758028126
PP,PP,NP	(0,2,activation)(2,1,activation)	4157	2911.528123704798	538089.8890117072	0.05420713275024758
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	90	0.25034119747374256	0.47493766811132987	0.0
UP,UP,PP	(0,2,activation)(2,1,activation)	17349	7387.001239551106	3398020.1629318073	7.866654227028924E-6
UP,UP,PP	(0,2,activation)(2,1,inhibition)	1679	2819.706944260901	1134781.7640561992	0.8643782485359555
