Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.11902674032329555	0.3343473047391069	0.007171042695357843
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	26	4.599974001073484	35.12028423042523	0.008533920607667556
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	124	295.29605415983565	100845.11744216211	0.6135245584841716
UP,NP,NP	(0,2,inhibition)(2,1,activation)	19743	6279.126302054749	2084331.703139849	1.3766210393839629E-11
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3275	2354.6461090710777	3393808.34298745	0.2601472661912071
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	965	59.464736039934216	5638.236498742586	3.7814103570621427E-7
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	1.2826780533153932	3.067494625383473	0.060838654037143725
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1728	4706.579539501358	699466.5427238122	0.9999940052863412
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	68	12.203721147933239	312.46245411242035	0.01660754675800391
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	13986	6414.071774782324	1688359.0203161687	1.029358717041795E-6
PP,PP,UP	(0,2,activation)(2,1,activation)	1042	437.2095253031335	29564.34683383236	0.0022119716788929766
PP,PP,UP	(0,2,activation)(2,1,inhibition)	400	145.8380815878952	6621.4495475689	0.006874102572043239
PP,NP,UP	(0,2,activation)(2,1,activation)	3595	1348.762136522698	229592.10589883896	1.4110713364867689E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	8	81.39999482710031	1030.9463488755637	0.9994407511527215
PP,NP,UP	(0,2,activation)(2,1,inhibition)	689	399.59882168306046	39729.77121434774	0.08586352410626019
