Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	118	2.335773293980681	35.30053948873886	2.4429919642798836E-7
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	36	0.8315131797312069	8.878917583356571	2.474537967623869E-4
NP,UP,UP	(0,2,activation)(1,2,activation)	24164	89365.71377113099	1.9030569503693657E9	0.9638537726213312
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	26	0.3847368274456733	0.5659384057556203	1.1102230246251565E-16
NP,UP,PP	(0,2,inhibition)(2,1,activation)	202	792.2287663689457	113513.61025345407	0.9852381669487995
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.02968169434710022	0.03360339925788495	1.5277708599259476E-4
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	2.0567372493997267	35.18038780006913	0.01667718966253451
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.15389723308381	0.21139382871337822	0.025643274011855288
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	149	0.30897495489123533	0.49187478143814795	0.0
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	8301	2311.447094530753	2119914.286688919	0.001560221486837321
NP,NP,NP	(0,2,activation)(1,2,activation)	17839	16782.776933351553	4.945800904295033E7	0.4005640571691761
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	154	6.483600342521702	96.09112680031791	5.9319328005180694E-8
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	97	37.791431354420276	1097.2630367747033	0.05956134613866282
PP,UP,PP	(0,2,inhibition)(2,1,activation)	56	117.15726539027943	2709.4451071449093	0.892750857295239
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	25	10.651065629829777	113.17967327340911	0.09654423358340447
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	6.217973781370907E-5	6.255151914460743E-5	1.866942818118389E-7
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1183	90.09146206097414	17720.110990301913	9.233408793740683E-5
UP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	10	1.2135575538513723	3.6021233555217	0.003086319287405437
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.14823813740820369	0.6379061229158318	0.02180554743494445
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	224	5.523188918566597	42.0180031636582	0.0
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	39	10.242981615358866	134.91803597023556	0.02836999561832665
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	2.6316594774574433	11.875588300521603	0.3737272792021792
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	14	4.29591122297968	13.337745866415798	0.016167463244726954
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	412	24.90838692291085	294.48059992378614	3.1086244689504383E-15
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	0.6012432264885611	5.232942639745086	0.008769204532315666
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.26460890546834426	0.48468145320343853	0.060967710172128986
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	1	1.2196075616968327	4.159364373380891	0.2805567597668023
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	8	18.67221597914349	2791.4554109806536	0.1999847626052348
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.0012830480450339884	0.001307341018285507	1.2681511396550604E-9
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	368	387.12831245072493	33310.09700744599	0.4931560868399829
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	180	4.390663612446093	47.37289227885517	8.96949181594664E-13
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	23	11.094853486987564	62.27193610951721	0.0762784931572753
NP,UP,NP	(0,2,inhibition)(2,1,activation)	253	1761.700752023831	527753.316056177	0.9977899505904768
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	76	10.80018513859764	181.77109245506534	0.0021726799487381543
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3721	13047.933637124546	2.241974482330349E7	0.9927503713006106
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	118	1.2196543354297178	4.7004619826363285	0.0
UP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	1	3.6190000404048717	10.78325588999947	0.6894932382696325
UP,UP,NP	(0,2,inhibition)(2,1,inhibition)	3439	3507.9540126436295	7396731.39567396	0.4305844035326386
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	1.8506111862218267E-4	1.8710790635046944E-4	1.0289158998144643E-6
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	19	17.013671767584807	199.29127320048423	0.35339501068680945
NP,UP,NP	(0,2,activation)(2,1,activation)	10118	3946.492832632514	1295436.515496049	1.1896363386165731E-5
NP,UP,NP	(0,2,activation)(2,1,inhibition)	14842	4833.487843207824	1.1720231350606717E7	0.011965974904891707
NP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	21	4.163103048865603	41.18710826681517	0.02775469906652972
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	27	0.20800123110609225	0.3546869526290731	6.661338147750939E-16
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	14	8.993500143216966	70.02437147631632	0.2141606338492662
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	180	0.8997384951484121	1.8922753214877401	0.0
NP,NP,PP	(0,2,activation)(2,1,activation)	4344	4005.9916151940656	805629.821812328	0.3356046388297351
UP,UP,NP	(0,2,activation)(2,1,activation)	20886	8155.641262487481	4131060.270948291	5.67960108610599E-7
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1458	9988.664509876238	4.7601365280848384E7	0.9338641862071021
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	3165	139.5065082800702	17682.397963586303	2.0472512574087887E-13
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	0.0890522053939064	0.20341972931048302	0.0
UP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	6	1.5634741040949902	6.134802910334249	0.0540942853616051
NP,NP,PP	(0,2,inhibition)(2,1,activation)	630	1380.7633287695678	309787.52976085176	0.9313340920164359
NP,NP,PP	(0,2,inhibition)(1,2,inhibition)	376	1308.8995564110196	769776.0128819856	0.8749483064325236
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	90	1.1046557435245588	3.3781792457833135	0.0
PP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	4	0.435276625766402	2.119575356724454	0.03008021084003276
PP,PP,PP	(0,2,inhibition)(2,1,activation)	252	114.65640837906382	2515.365250584151	0.01064411073740823
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	45	10.408360946041812	103.80577000795287	0.008208512253401135
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	222	1.204298032506654	16.247200436280455	6.5503158452884236E-15
PP,NP,UP	(0,2,activation)(2,1,activation)	4770	1651.472048258112	342395.7976985276	2.955065735354978E-5
PP,NP,UP	(0,2,activation)(2,1,inhibition)	511	579.9862426781632	82517.54342468258	0.5464588187367798
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,inhibition)	1	0.3746707357203695	3.160321843446181	0.06079963984491854
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	149	18.249546351233672	396.2101874468285	1.7686144462769615E-4
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	0.024465196183448275	0.02719586789323282	1.1102230246251565E-16
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	219	57.0119467690461	8858.939280568467	0.0696673378117384
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	36	15.459687917234074	1946.8011496628033	0.13045437351816036
PP,NP,UP	(0,2,inhibition)(2,1,activation)	480	532.7155113904579	21991.451704259904	0.613919336390682
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	88	187.0862229812556	3749.3776101404437	0.9647707852943421
NP,PP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	5	0.5941599949753824	2.9919727656557242	0.02988800948227832
UP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	8	0.9987991084122986	14.055818183202376	0.04296857663843312
UP,PP,PP	(2,1,activation)(2,0,inhibition)	486	416.3027982085472	46207.86352323153	0.3302219655720844
PP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	45	3.0566550928810734E-4	3.446949834680721E-4	0.0
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	18	0.9755400092879065	10.531261694367092	0.007125853384137293
PP,PP,NP	(0,2,inhibition)(2,1,activation)	392	254.9645878065479	9609.890282907072	0.09031042365621322
PP,PP,NP	(0,2,inhibition)(1,2,inhibition)	334	87.75594363736779	2138.413332070785	1.0435758896842895E-4
NP,PP,UP	(0,1,inhibition)(1,0,activation)(2,1,inhibition)(2,0,activation)	4	0.14811513886798755	0.5158678088914993	0.0066676831145828785
PP,PP,PP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,activation)	1	0.004303394252310932	0.004395292564260297	5.383157989935494E-5
NP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	41	158.8242793698217	6790.036041942141	0.9556627837861065
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	10	10.004452643201823	57.74807329158928	0.39927249101598694
PP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	72	2.1537621746023743	11.83777627567156	3.037073925682421E-10
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	8	0.27084012006496394	3.6762893204098317	0.011466486104766527
UP,NP,UP	(0,2,activation)(2,1,activation)	22601	6078.189111168338	4336756.23098214	2.12694881707165E-8
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	104	13.691163036644882	190.94091611359383	1.3478608004580117E-4
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	103	3.0242728489195163	32.32021342621347	4.5818678406917E-8
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	285	39.20090031305965	1385.4717864842676	9.990466452058921E-5
UP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	9	2.224848864244286	5.193993015592043	0.010994375177418303
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	61	129.67862701045527	2610.8761346422616	0.9280034438170035
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	12.645038515344035	420.3218257998913	0.46263779615400324
