Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	126	2.7327807260635972	40.38895358670968	1.0270648642674018E-7
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	14	1.2676629529349583	16.20140328484802	0.02294477384617133
NP,UP,UP	(0,2,activation)(1,2,activation)	23851	83941.09555497416	1.6817959271715927E9	0.9594212949075526
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	26	0.46310823411348284	0.7107597283564973	9.992007221626409E-16
NP,UP,PP	(0,2,inhibition)(2,1,activation)	212	748.3144897336156	111940.15558842232	0.9736031728970324
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.043120232796689244	0.050891362280266327	3.8899592575392106E-4
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	36	3.992211026253066	82.3486534444681	0.016758703544465958
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	5	0.2775130053178078	0.40809269187093283	2.5741758976616236E-4
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	177	0.3059613075104263	0.47208490879404486	1.1102230246251565E-16
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	4081	1335.428692166987	908252.0199092056	0.012810257130716263
NP,NP,NP	(0,2,activation)(1,2,activation)	13023	12779.295371421964	3.618098502941844E7	0.43698081031355884
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	154	6.306544039839157	104.97581342163946	2.411309557581731E-7
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	154	50.665053442738795	1604.5785099752757	0.020775010240637215
PP,UP,PP	(0,2,inhibition)(2,1,activation)	90	159.82845795645338	4275.061897405583	0.8624716294256549
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	16	16.05382087190318	195.9796744392525	0.39920618371005
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1217	80.2062245142773	17820.978285062352	1.1543627831633874E-4
UP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	72	0.6106565474116072	5.705282145826767	5.079449594269647E-8
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.09788082463529454	0.37616095963322926	0.01403926294679314
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	6	0.03809324101390934	0.05406211861136014	1.2649931789843194E-6
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	218	5.560194434504504	44.093153958095	0.0
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	31	13.714283531874843	197.84248273541544	0.11138487275221087
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	3.3556269206421834	20.452427264557947	0.4199717193958493
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,inhibition)	1	1.307508382742325	14.025282810568905	0.16945201602439197
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	197	10.243356955447183	29.836104133746062	1.4432899320127035E-15
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	0.6292413248289315	5.916887057299988	0.01035798400624277
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	2	0.30324945476350695	0.6568537331631747	0.03157409049041138
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	31	87.71699809322284	2749.9594183402396	0.8738607368748309
