Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	159	3.33186025269073	40.80270729247326	1.1401535271460261E-10
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	2	2.753375121638424	95.21714511638952	0.12886440075431105
NP,UP,UP	(0,2,activation)(1,2,activation)	30996	119827.77849323004	3.3815308860889626E9	0.9682132641725761
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	36	0.3702290237095681	1.2488957340945857	2.84984480458661E-10
NP,UP,PP	(0,2,inhibition)(2,1,activation)	134	175.27264783961027	9163.899863100072	0.6202644600950558
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	28	2.575485137739791	18.033823176714556	0.0011432787746816775
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	12	1.514538846387978	24.812976366440743	0.04196058506215372
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	96	0.2994020132916577	1.516332379021835	0.0
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	3	0.5586972794100382	2.8935851316531385	0.0578052337695143
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	2731	1128.406222969641	627431.352655397	0.042239703533250794
NP,NP,PP	(0,2,activation)(1,2,activation)	2569	17108.427380323876	1.0904041365683407E8	0.9608969977344354
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	9.625304191934775	147.40796964404046	2.2608914740374075E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	13	6.364744932862879	177.69756900145904	0.1696844310043486
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	70	188.90892741449323	92054.11235782815	0.4448277971059521
PP,UP,PP	(0,2,inhibition)(2,1,activation)	86	84.57054808302011	3291.97805631156	0.41859656137750634
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	1	2.7438780076820306	56.815361883593326	0.2053010882463382
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	52	30.83749734361539	495.61225882612223	0.1575024738916777
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	181	280.7154073581778	10551.888753753577	0.8335339459970493
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	1.2852481987076763	87.71976962133282	0.02171419812569131
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.05546672586336346	0.11747627626148172	0.012929187778473294
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.13970079024811852	0.670281094435773	0.02069777997918054
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.44632507529425436	16.013841372649015	0.02142018644021293
UP,PP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	2	0.07615485023373422	0.3683976309651865	0.011280902724546182
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	180	1.0797379491568797	7.989745722895257	0.0
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.025826687392136873	0.03086629802638149	2.2704251529392927E-5
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	8	3.9930248135712576	46.37989322942623	0.17525242050534195
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	55	10.97195534939418	2725.16302911706	0.055143828123561556
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	187	8.00226082511395	266.42850528349936	3.373203534973168E-5
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	6.376262998123015	338.46455186359606	0.140739105123584
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	4	0.5521083534821715	2.2160221035787617	0.033606645121234235
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	454	152.08477434469737	13185.197083898787	0.01902612187227881
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	10	29.219452463620957	6646.5854238278735	0.20893581962611685
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	201	337.2018144317514	50204.766489633825	0.6879448808297199
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	36	0.13510406827592147	0.42091029617202136	6.460387780293786E-12
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	360	3.5207333957123277	65.29197897595427	4.440892098500626E-16
