Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	113	7.618919370577667	119.56245689537997	1.5842721963088557E-5
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	50	0.984601696650815	16.36353369380952	3.5664243218780367E-4
PP,UP,UP	(0,2,activation)(2,1,activation)	2143	707.0109292669757	100798.41441996262	3.5512700227358085E-4
PP,UP,NP	(0,2,inhibition)(2,1,activation)	205	1202.2340116700725	315798.4682902079	0.9901003779323532
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	16	0.42322384078833664	0.8499754169374374	1.0238741188217659E-7
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	47	23.018266007171036	884.820722466871	0.16841552368407742
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	272	7.1499513084360515	129.89080762255128	1.6010082148909532E-11
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	71	4.269958905534961	289.0495693651128	0.01628748728425511
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	14	0.10525657670524402	0.15185390161036905	2.3909429991419984E-11
PP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	2	0.010214820589159868	0.012043672487612919	6.970051079824291E-5
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	2448	813.3105590160626	447450.47677406576	0.025918867095480413
PP,PP,PP	(0,2,activation)(1,2,activation)	1790	1455.3086693496589	1201966.8672006573	0.3181715902449387
UP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	12	1.9253165055179255	18.445155487881646	0.03839792017559118
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	321	451.0555455304765	295170.34633688396	0.4598252710836329
NP,UP,NP	(0,2,inhibition)(2,1,activation)	362	897.1444760452545	167322.07218784443	0.9271004856415754
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	54	42.261655967091414	1044.5165759203833	0.29526305288799515
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	0.012903607261983816	0.016503420052690912	1.8259098453010658E-4
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	8	0.7689733369337188	126.87466764043343	0.008373810030604112
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	41	15.58813903575417	812.3125059083785	0.1372617120745544
UP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	1.6579047005552496	6.276898979299298	0.35502540409015926
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.012556399656057841	0.015798674538391885	0.0013189092406410419
PP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	50	0.5527880433631032	13.682058297240156	8.059022666272453E-4
NP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	320	22.08213717133838	387.13346463388706	6.981726308197267E-11
NP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	6.126178308234511	60.918369087540114	0.5453763713942805
PP,NP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	40	1.3524349942967278	29.51321395372753	0.0035362452509598574
PP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	810	56.836474587926986	2655.03556187493	2.264367582327509E-10
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	6	298.8083355081234	117572.42133496497	0.7700888397606742
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	103	288.7136259732808	27656.38634748824	0.8858759851900254
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	3	0.013062450940860657	0.014222960838513854	1.397986518769656E-6
PP,NP,NP	(0,2,inhibition)(1,2,inhibition)	653	2478.397957797338	2138120.783963915	0.9252640342082048
PP,NP,PP	(0,2,activation)(0,1,inhibition)(1,0,activation)(2,1,activation)	1	0.007676769419936506	0.009312115544092035	6.871698336804455E-4
PP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	16	2.044172036269005	25.464968706196597	0.029111926586145698
UP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	17	15.444976626738127	383.73297598403434	0.3317549948397881
PP,UP,PP	(0,2,inhibition)(1,2,activation)	637	1063.8828306863888	331345.4488064621	0.751515204030263
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	58	7.664524089892274	96.1753440469017	0.0016052335796270523
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	602	1248.489399235199	330747.06583014387	0.8822831339647762
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	30	7.93250986350944	541.3461832168796	0.09362659094002901
UP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,0,activation)(2,1,activation)	4	0.07118336025982333	0.22992373731812116	0.0027122773515992904
UP,NP,NP	(0,2,inhibition)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.0739541408882494	0.11077452998194168	0.002843384073944022
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)	1208	1523.6241843941236	1971246.9433199707	0.49290109565174534
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.00666607742854663	0.008952801898039564	8.444769178793665E-4
UP,PP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	4	1.1792557231268763	7.104770837838673	0.09474679110779871
PP,UP,PP	(0,2,activation)(1,2,activation)	6878	15963.542321827883	1.201237528781105E8	0.7834594199384001
PP,UP,PP	(0,2,activation)(2,1,inhibition)	4946	1116.2250351561295	1571566.3395663763	0.01528412255701772
UP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	101	0.7057769559560907	1.5071652162812277	0.0
NP,PP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	40	5.307637071337104	612.6904190074032	0.04495415909298883
NP,PP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	6.878526336143736	86.51444790020467	0.5325223520240807
PP,PP,NP	(0,2,activation)(2,1,inhibition)	304	157.0041074602017	16423.21679460434	0.1275561845850154
PP,PP,NP	(0,2,activation)(2,1,activation)	2308	1214.9091756166415	104794.99764211173	0.0018819607339031208
UP,UP,PP	(0,2,activation)(1,2,activation)	94599	43776.74111820366	8.54684669510612E8	0.06100912699165073
UP,UP,PP	(0,2,activation)(2,1,inhibition)	388	6122.036501494046	4.1928251937459424E7	0.7989525405708118
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	1898	8.58888321477687	681.9408443878573	2.7755575615628914E-15
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	14	3.8529177966487436	26.360902156055978	0.048615779458728525
PP,PP,NP	(0,2,inhibition)(2,1,activation)	424	812.8068081173517	148477.69291538477	0.8483439304876348
PP,PP,NP	(0,2,inhibition)(2,1,inhibition)	139	105.0399569015258	13073.08417344893	0.2923326992275038
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	10	3.1268913460697334	19.04983536916393	0.07180777112148429
NP,NP,NP	(0,2,inhibition)(2,1,activation)	2138	1786.9771225852119	607423.6556867636	0.2960510967881891
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	424	331.48973411780196	162165.93301188407	0.3007481340950168
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	2.974624102452715	33.57979763363325	0.3352075821854267
NP,PP,UP	(0,2,activation)(2,1,activation)	3936	1286.4421371430763	242316.81022468302	3.3322902650900765E-5
NP,PP,UP	(0,2,activation)(2,1,inhibition)	624	320.1637807119433	52486.382190484626	0.10351836359985367
