Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	75	3.2683465685055126	628.3841762011572	0.015444309474773488
NP,UP,UP	(0,2,activation)(1,2,activation)	27715	116485.54744306633	3.1998509046171E9	0.9735735898397057
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	54	0.3972432791231048	1.2598126817199091	9.992007221626409E-16
NP,UP,PP	(0,2,inhibition)(2,1,activation)	146	318.9590683600576	24682.634850221177	0.8765123049600901
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	12	3.28184393746576	91.7522373649283	0.09452315180063364
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	99	0.27672259051647646	1.2958275387474003	0.0
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	2734	1301.118011696246	729703.2369915836	0.06586515839297913
NP,NP,PP	(0,2,activation)(1,2,activation)	2778	17149.277401493135	9.851833711205894E7	0.9668743372931612
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	8.295932152275016	116.13661563677479	1.2784218128558678E-12
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	13	6.059583900409816	151.31687789248463	0.16466246617245228
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	70	192.17045321692405	125519.56538032499	0.37939943214898064
PP,UP,PP	(0,2,inhibition)(2,1,activation)	68	121.39959773100327	7229.714653666108	0.6926571306491407
UP,PP,PP	(0,1,activation)(1,2,inhibition)(2,0,inhibition)	4	0.5111790905985122	2.968615527779113	0.03904176264253223
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	40	26.02150885468112	368.3070538055845	0.20065891423506477
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	190	267.2902740874446	9706.430305094269	0.7716936551423869
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	1.2374812079351318	84.22526085090784	0.020940582827147725
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.1334691600237599	0.6650653658049228	0.01977010891400277
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.6707395685328879	34.13551475156517	0.023615021286112592
UP,PP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	2	0.06470946829258761	0.3381990326758765	0.009571175373271124
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	360	3.7155518802792193	62.73452670772997	0.0
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.0462805197780011	0.0597548608839109	1.1800836626596478E-4
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	8	4.842755685241477	57.13136676787825	0.21413589375631514
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	21	18.594274154126886	5230.060715701947	0.10734506137626831
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	198	10.051145318553756	349.51202513354406	4.55559566699959E-5
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	13.87713568737321	1403.2828100395645	0.19358966947205702
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	4	1.2519124215764614	7.004955203774939	0.09939031199057324
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	151.97884937974672	35982.79901762	0.7155406012304724
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	357	750.2823947615069	285180.3190450963	0.7422829080077606
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	36	0.20305686299511772	0.7816100920476583	9.60385770909511E-10
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	180	1.1135999160178642	7.422819631997649	1.4432899320127035E-15
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	24	60.18381382904562	10062.193575650454	0.41962347974316827
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2167	5015.851729071581	3198902.5019928925	0.9649903850106183
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	16	2.4209453973306587	20.267497178744012	0.021043867993192245
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3522	9317.29649782642	1.2773964737092182E7	0.9703362495503389
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	148	2.971123944034167	95.54371103553514	3.4377162477561285E-5
UP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	1	29.482790020899728	2518.404897469968	0.48657463844600957
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	5	0.006481318014049843	0.007350092360986647	7.343643471102723E-9
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	19980	10786.8899462321	7689703.207034633	0.002095336511287127
UP,UP,NP	(0,2,inhibition)(2,1,activation)	6850	3530.9077721742906	809313.0158340633	8.506164698021124E-4
UP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	8	3.284526383309646	48.84422705384446	0.1428064170021104
NP,UP,NP	(0,2,activation)(2,1,activation)	13701	6223.165564412531	2231484.988210179	2.2508810210153385E-5
NP,UP,NP	(0,2,activation)(2,1,inhibition)	11709	4545.576455004838	7761364.031046309	0.018069810665123587
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	15	2.4611619165476766	30.544051686778626	0.04151723529627449
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	0.14446244252903806	0.26638850792203833	0.0011479333146706683
PP,NP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	7	0.43367239787723977	1.4321111090140863	0.0039050445101161957
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	180	1.4629198736488052	5.208735014608853	0.0
NP,NP,PP	(0,2,activation)(2,1,activation)	3329	2330.089630658323	665595.905166313	0.11578995326369645
UP,UP,NP	(0,2,activation)(2,1,activation)	22967	10870.33465472059	5017636.290903702	4.400836679963049E-6
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1917	7940.000431144815	2.256604577747657E7	0.9312025405947298
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	38	33.51163641818941	2012.3372720798504	0.32198352428652066
