Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.006939211455724102	0.008683187281840398	8.037002813610084E-5
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	121	1.9409113225555195	21.678713729983734	1.2977421359749997E-9
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	193	192.54170603566234	54994.86942557346	0.36945243605640987
UP,NP,NP	(0,2,inhibition)(2,1,activation)	22188	8903.022008904809	3831315.6740805805	5.552715875989378E-8
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3084	2220.866278637158	3290223.711085992	0.2643762163249349
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1160	86.81988028190301	8674.478481539989	1.8405416457589752E-7
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	0.627341888391325	1.2386433508069827	0.013402145580761804
NP,NP,UP	(2,1,inhibition)(2,0,activation)	2046	6398.155003962006	1955446.320377633	0.999952609926306
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	76.21555210092664	48419.944906360986	0.21125122077299885
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	14677	16285.720263182173	9.465425510977253E7	0.5055107762949209
PP,PP,UP	(0,2,activation)(2,1,activation)	301	64.30758223362315	1026.176648577104	9.531064081302887E-7
PP,PP,UP	(0,2,activation)(2,1,inhibition)	133	57.82864297827774	2024.1271119816988	0.06748692045041615
PP,NP,UP	(0,2,activation)(2,1,activation)	1597	679.5890017309997	69054.52526041021	0.00228663577783883
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	14	102.04776778212691	1500.128630927551	0.9991239161820439
NP,NP,UP	(0,2,activation)(1,2,activation)	13864	35622.604892243784	3.2085533244432306E8	0.9091808363817689
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	3.7984047345009175	7.29794093775199	0.6342545958869052
PP,UP,NP	(0,2,activation)(2,1,activation)	1551	945.6469616122276	68855.95281076059	0.018496974553749546
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.4904684507285865	6.734044493907074	0.03668625724348851
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.008919618474527966	0.048490561460069755	9.08045438800964E-4
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	5.988679013732676	112.57959552103648	0.06831449441534321
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	210	22.023097865065115	133.6456139645777	2.886579864025407E-15
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	42	19.01494679803855	4477.641100055728	0.10692352960016493
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	2.6120281518943407	78.03421868382411	0.07455195482475463
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	6.226235542508169	41.7516304495074	0.7179704362475021
NP,PP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	6	55.42469200593333	1953.88494160461	0.9022057045013081
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	7	64.71738594694057	3103.3495510307375	0.8732774550553074
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.767289690075505	4.942102873690649	0.11345878504487172
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	22	6.49024522274285	28.612635813619136	0.012225530963684617
NP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	0.8843214387922483	4.759694979467532	0.1281599616462672
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4568	14083.90801690093	2.621810283712411E7	0.9877138458898941
NP,PP,PP	(0,2,activation)(2,1,activation)	307	83.21167912858658	1792.970868429872	1.0104866135007828E-4
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1666	313.0412406674824	40270.8466524621	1.4452475015080957E-5
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	69	151.0441121456609	5337.1477571866235	0.8814208341705572
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1510	148.1835882152626	24892.664567273318	1.0121296672660485E-5
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	51	1.9265283679473943	31.13285285556019	6.971808219409237E-4
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4858	2218.421481272383	538092.8277961006	0.0014873805897290815
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.15585199967332677	0.7569853906287276	0.015413708268820603
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	24	1.5724839795725698	26.17062525731951	0.01172620115178813
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2668	8155.972864109051	8130948.212505586	0.9901848713759792
NP,UP,UP	(0,2,activation)(1,2,activation)	32842	121600.84527570025	3.4818623473506527E9	0.964950134421323
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	18	1.0109669762553122	1.7520843955330347	3.356222799677511E-8
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	8	9.174815913975683	753.5757426563438	0.1664391034591607
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	91	10.45136323627291	139.0883512914387	1.3985811735572895E-4
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2513	502.8256334330095	206605.81259819816	0.0019643962756598077
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	52	125.43027437299459	131372.5908631485	0.19490214333067335
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	3	0.9373572509392946	5.123256031490058	0.09895722296484966
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.02409154924157416	0.030395103249277525	4.1019775834150174E-5
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	11	3.430475104145667	6.83571913552831	0.009138508729941042
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	13	0.12571541069102235	0.49907370535386303	7.548943811819253E-5
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	0.5577107389001392	1.0721075394337936	0.059375201978680514
UP,PP,PP	(0,1,inhibition)(1,2,activation)(2,0,activation)	2	0.04173268713168827	0.04507654648179099	1.260738157793373E-4
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	30	8.24514288339595	1278.5738651609022	0.06948221029437063
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.06112740316390962	0.13641797743655495	0.014580632951584405
PP,PP,NP	(0,2,activation)(2,1,activation)	352	218.21242932917735	4294.350071198052	0.030640880345588095
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	355	1192.0097585476128	1399434.997716196	0.709516495760111
UP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	8	0.37866101106201194	0.560412985920496	9.75244968193234E-6
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)	1689	3164.4809761840206	1489082.635009475	0.9003522776257599
UP,PP,UP	(0,2,activation)(2,1,activation)	3794	911.7784990721104	156471.45641156426	5.60431543950024E-7
NP,UP,PP	(0,2,inhibition)(1,2,activation)	987	971.9201706280797	158329.41188191797	0.44367218594638513
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	0.8776163237125585	1.4064183411347897	0.015281523011451359
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	14.916746172773315	74.12896763847738	0.9134377195014286
NP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	6	166.47032944602282	33473.1872415451	0.7887367734984116
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	21	1.2853634403176701	13.019878923733785	0.005158584607428018
PP,UP,PP	(0,2,activation)(2,1,activation)	45	43.40978073310262	670.2912809520292	0.40935360975588475
