Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	9	0.01747207913539859	0.020704815906134225	7.007727731433988E-12
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	121	1.332925768921	3.9640671484267433	0.0
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	196	192.29833212098492	53902.886985155965	0.3661073389965597
UP,NP,NP	(0,2,inhibition)(2,1,activation)	21623	8125.991008521294	3170478.825705573	3.1790388099750544E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3033	2212.208905128231	3140456.2721375637	0.2687846638891451
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1142	61.56763373543583	1802.8971746579782	7.216449660063518E-15
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	0.9944970877592351	2.4817566163211198	0.042753076486990005
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1946	5818.942322123752	1604721.4485829994	0.9999284125664127
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	92	1.128401966761963	9.635483050007641	6.661332596635816E-10
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	13795	15721.465892915958	8.81983716216766E7	0.5219057083486816
PP,PP,UP	(0,2,activation)(2,1,activation)	400	140.289717115069	4436.211485649845	0.0013674006194397403
PP,PP,UP	(0,2,activation)(2,1,inhibition)	248	80.38676173336388	3563.2784090485	0.014542156827446417
PP,NP,UP	(0,2,activation)(2,1,activation)	2043	813.4617969038326	89435.33495135384	5.670764504634995E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	15	72.25789839271577	399.9303061256751	0.9999148218930316
PP,NP,UP	(0,2,activation)(2,1,inhibition)	193	235.75852225425973	26760.011029538116	0.5337074172792926
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	31.42462116736852	859.1518986488613	0.8223372671463886
PP,UP,NP	(0,2,activation)(2,1,activation)	1901	1135.9767602926822	84323.64342159731	0.00926763373170525
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.136673786038838	13.077563024001805	0.12126713215670104
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.47119129569598944	6.025097088575648	0.036110783085983034
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.01259366888374743	0.08320935115748809	0.001798013251023023
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	47	7.570471268103668	161.31988761653892	0.019405775726386576
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	172	19.407376109505176	99.4877090166284	5.773159728050814E-15
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	1.3443224209149514	18.70058390745677	0.004180349752895496
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	2.4511102489377605	73.71369504343544	0.06993456580850277
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	5.916134067346586	36.71102725014074	0.556208244288315
NP,PP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	8	51.23641026415227	1893.500018846104	0.8520399501616579
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	15	57.02195838416562	2229.2109634271574	0.8041488875163894
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	6	3.5476642561870744	58.78351430076809	0.18525194881218687
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	16	6.2870999263341165	26.159098000277183	0.04554930497548437
NP,PP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	2	0.04704109971107752	0.09324655259224549	0.0035864039049633423
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4137	13483.473906722602	2.4260268153514564E7	0.9898310464309423
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1535	284.55040493418414	39763.62880372057	5.0445228393369845E-5
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	84	146.59652396784603	5091.191961581	0.801884036654534
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1510	107.61168579962263	5284.193965222545	0.0
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	30	2.6108799088089003	48.684365139910895	0.013955514503465327
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4778	2204.4318047221054	515905.924423852	0.0015083684940502273
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.1477461435137144	0.6851065141414601	0.014310364651768048
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	14	1.6234658898824004	31.28263892111441	0.038855859787562785
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2430	7633.0111585595305	6804065.799071878	0.9925932011112835
NP,UP,UP	(0,2,activation)(2,1,activation)	6356	2350.9234723454047	952966.3323595449	7.264781721526559E-4
NP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	152	162.68893296363024	25705.558840705748	0.42143166014115385
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	6	8.48876856962431	109.16857919237026	0.43731523767362546
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	109	9.63755695423377	53.65600481040926	1.008352290554626E-10
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2485	332.18184609146385	31471.54402205604	2.4138135934492766E-11
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	43	90.43274072969906	10048.116975202589	0.5750666794959987
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	81	18.978904688214193	277.06109641315277	0.004692814190066841
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	1.1496343774567106	5.29005134942866	0.2394463987929336
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.037875005362425614	0.05063907032199147	1.2486854070525855E-4
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	35	5.520893404039347	20.43462989763496	4.7293498429579195E-5
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	13	0.12814975054044503	0.5588814487678435	1.2887958864127302E-4
