Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	72	1.9994317061940743	38.42621289474585	1.958829561784503E-4
NP,UP,UP	(0,2,activation)(1,2,activation)	30711	102073.11063705156	2.467665330253952E9	0.9545548227664226
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	19	0.5592803229497166	2.173409631888472	3.0525746108511775E-5
NP,UP,PP	(0,2,inhibition)(2,1,activation)	156	646.4853908752413	85400.24538587371	0.9815633246751189
PP,NP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	19	1.3502214371580932	16.30656480643887	0.011005641334146832
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	5	0.1283352114004874	1.9054298170113795	0.008231652841900527
UP,PP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	3	1.0760583534062098	16.2148869489774	0.08649270623482974
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	115	0.47400704300438473	3.000975693973895	0.0
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1020	444.2653137236743	30328.44711058354	0.0033635442001570537
NP,NP,PP	(0,2,activation)(1,2,activation)	3023	11047.632457658381	5.259270244426015E7	0.8891402756901485
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	235	8.366340616322452	130.66929392436649	5.956313220423226E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	7.453627347755002	229.97651418799452	0.24911984234688644
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	130	51.00769606056866	1852.43467058666	0.05594534979510368
PP,UP,PP	(0,2,inhibition)(2,1,activation)	106	109.7436448026401	2583.4352819520445	0.4787131969586289
UP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	12	4.958582035070064	46.128315422432124	0.1261150438020625
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	4.178792681551372E-5	4.2333253060236235E-5	2.699900686353729E-7
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	50	28.986635609097554	569.9946791087934	0.16859255256124817
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	161	311.2255721696738	12461.095658542356	0.9269332493886772
UP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	3	0.3126793751894371	1.001755298113634	0.024024210782534028
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.09191208880187611	0.3546953927015214	0.013192460593754007
UP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.011395027792681344	0.014192201410592036	0.0011494696935115956
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.04614106431759536	0.20609932830361702	0.0027598971315299092
UP,PP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	2	0.02592574266044846	0.043314860849505074	0.0012833596335247721
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	190	1.487935583845489	12.127226204252928	0.0
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	4	0.07718510225844157	0.24744869014069387	0.0029102891315363477
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	33	6.767221556895196	87.34754064143362	0.022209565161431577
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	71	37.402332223749575	16190.50317167008	0.11724648202251287
NP,PP,PP	(0,2,activation)(2,1,activation)(2,0,inhibition)	2	0.3685459606619572	2.337645494678947	0.0524457814642586
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	500	21.5633196586824	1493.6607303391318	4.27178333906042E-6
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	0.8086864894855035	8.337979283598221	0.01535166744532257
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	2	0.14704348683131138	0.1732218929672144	0.002407901196656903
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	7	1.2177773747943839	3.9902017105182503	0.018455441301705955
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	1	5.911104698759871	89.76505436689699	0.47481018899750993
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	9.779235673390424E-4	9.954198355611554E-4	9.054791376028604E-6
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	405	406.02050211371164	39614.90077539574	0.45174970925685287
NP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	7	0.030315866008329546	0.048288419407178616	9.796663472672051E-7
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	229	4.576148448473729	85.519856558707	3.032806228375762E-10
UP,PP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	9	53.707990270727365	7417.329707828585	0.493439607884414
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2203	5477.851903763358	4141656.9551056884	0.9680157247107463
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	32	5.946213492181305	60.83491377671251	0.011991094767327848
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3867	9880.09771231499	1.602753398403418E7	0.9572335853201603
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	148	1.2339869194033193	6.449045892648849	4.440892098500626E-16
UP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	1	28.417022561182502	642.5347675373627	0.891558530594662
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	10	0.0061603668585862225	0.006815926307204727	1.1102230246251565E-15
UP,UP,NP	(0,2,inhibition)(2,1,inhibition)	3010	2806.744260473938	6010975.218086676	0.3806899270128936
UP,UP,NP	(0,2,inhibition)(2,1,activation)	4637	3150.436346016917	777613.1195360906	0.05620395992446847
NP,UP,NP	(0,2,activation)(2,1,activation)	12579	5254.648297364773	1724614.4904056452	4.727123674053146E-6
NP,UP,NP	(0,2,activation)(2,1,inhibition)	15406	4681.400393340474	8372406.086531118	0.002994080100665264
NP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	38	2.4217272075791954	18.059128881477083	1.4552144146773305E-4
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	4	0.09726281994170184	0.26307594918522775	0.002582220629757437
PP,NP,UP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	32	10.703003970591308	2483.4331938205382	0.06744757090180586
PP,NP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	9	0.6093743109959695	2.1452211183677043	0.002719026814595571
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	184	2.7628284596995587	13.909053860592774	1.3322676295501878E-15
NP,NP,PP	(0,2,activation)(2,1,activation)	4401	2796.9024951202455	981163.0720223635	0.06472161906255036
UP,UP,NP	(0,2,activation)(2,1,activation)	21581	10998.468057847584	5274217.671984553	5.161954958721182E-5
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1825	9798.606829304235	3.4404338310443655E7	0.9525514413509167
