Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	72	1.1236397988392959	20.53981954662333	6.447143312526826E-5
NP,UP,UP	(0,2,activation)(1,2,activation)	24557	110989.24033818832	2.8923880999369698E9	0.9777860314987258
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	36	0.11270566570260199	0.14280452620115536	0.0
NP,UP,PP	(2,1,inhibition)(2,0,activation)	183	476.8339237009267	101175.81240766632	0.8217336251653494
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	1.1861535920808237	28.630452138770167	0.013537145481901436
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	90	1.4063298874410977	4.261330347876612	0.0
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.10777772009575846	0.1968593505692592	0.023427081689173734
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	4284	1558.3552629023302	1060597.2831702032	0.016994863891366507
NP,NP,PP	(0,2,activation)(1,2,activation)	1536	2495.2519767369217	390087.10996622965	0.9504811292285288
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	9.7677907630382	152.18226119462972	3.522693248214637E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	8.193141601531696	289.85571519594566	0.2537284522133145
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	27	30.862695315115033	1147.1036266488618	0.4210811640026143
PP,UP,PP	(0,2,inhibition)(2,1,activation)	91	66.23391883400984	1240.1651617619073	0.21671023846942306
UP,PP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	8	0.23391713697801703	0.6569625802409893	4.846322095573008E-4
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	1	124.01553230623206	139473.12006717076	0.197444941436682
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1558	147.85021788316428	27132.11334504312	1.445088519824722E-5
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.007568248029291789	0.009942504325220114	2.3913662370311783E-6
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	181	0.33077592189131905	0.571665135964935	0.0
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,inhibition)	1	0.01267493318686659	0.013784573120709753	5.762503766473248E-4
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	10	3.9009776691727347	45.39466024397143	0.1327174471093645
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	0.973843741362517	2.419907072322513	0.1371695522933566
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	188	3.023261150026064	12.62965798091985	1.1102230246251565E-16
NP,UP,NP	(0,1,activation)(1,2,inhibition)(2,0,inhibition)	3	1.1638573984446925	6.341026323492301	0.12344403967676354
