Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	11	0.1204141748983302	0.18988359975338687	2.4977483525923105E-8
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	2.9556631341358854	29.655779786832962	0.35794144410529427
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.06252966621386745	0.15885515725937369	0.015445024205484992
UP,NP,NP	(0,2,inhibition)(2,1,activation)	15231	5192.280717357891	1660916.8466954008	3.5011591403844022E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	2718	1056.3258581712355	885343.1691206614	0.062401501297639994
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	973	42.98565138844412	1033.357138916985	2.4868995751603507E-14
NP,NP,UP	(2,1,inhibition)(2,0,activation)	717	3759.035618038539	720161.8387694769	0.9999995335324339
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	0.7920697074109881	5.452404748115463	1.991740106177531E-12
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	7569	9079.459660922943	3.011356312348953E7	0.5504622360724662
PP,PP,UP	(0,2,activation)(2,1,activation)	3428	650.6556629283695	63937.82970586477	8.114398042380344E-12
PP,PP,UP	(0,2,activation)(2,1,inhibition)	1616	327.2494000059178	50838.80233587389	1.2494454810474398E-4
PP,NP,UP	(0,2,activation)(2,1,activation)	5726	1651.8026359977102	333381.3896214352	2.9434930082228306E-7
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	3	66.66685424274617	352.9407822528574	0.9999999243844402
PP,NP,UP	(0,2,activation)(2,1,inhibition)	846	431.4831262630329	85031.16759386542	0.09177701476181888
UP,NP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	2	0.843618860589448	75.31564389193281	0.017712175725037804
PP,UP,NP	(0,2,activation)(2,1,activation)	3996	2281.6019445559605	309844.9044974176	0.003416835385712691
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	42	10.149654687766132	225.06014330117745	0.046145466285325565
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.3033764842120772	2.9691602510833124	0.024697957647730195
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.06841207376551456	1.4645767572184205	0.004602709693917295
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	36	14.98694937316724	546.6034817373921	0.14521534993148533
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	134	13.426795169920782	60.38755442278844	1.5432100042289676E-14
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	46	28.8448692869564	1854.026813954711	0.23362630698056375
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	19	4.346000687366389	265.6037181564089	0.07318959994650365
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	2	3.029173641371858	13.132966327267683	0.42740457035773627
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	7.025231820742	432.81674047958757	0.1897245462599101
NP,PP,PP	(0,2,activation)(2,1,inhibition)	202	578.0598501660515	611443.7781484844	0.5362945889188439
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	15	33.93209374409647	1068.1512136799395	0.6411787534728774
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	12	1.9174853707442139	26.112891940931945	0.04962767293106163
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	20	5.058837688960193	18.95281606546131	0.005896007514213597
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	54	0.4673465133179281	1.9433420215277855	4.66526817177737E-12
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3060	6198.6400070346635	6010097.608888201	0.9170025761435713
NP,PP,PP	(0,2,activation)(2,1,activation)	2545	1035.3192103755844	158851.7734173371	0.0012328610229620507
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1650	846.9385687391472	913348.2547742027	0.17093484474631016
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	32	464.4472303946122	58653.96405081544	0.9949968271008877
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1497	94.97078203605447	4754.139212592194	0.0
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	51	7.250326043263348	224.1748049914679	0.025755540807870125
NP,UP,UP	(0,2,activation)(1,2,inhibition)	3906	1710.512135281445	328030.18906313693	8.997624088850076E-4
PP,PP,NP	(0,2,activation)(0,1,inhibition)(1,0,activation)(2,1,activation)	1	0.002990849201019785	0.0038494373245514064	3.308450426440235E-4
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.13138759180308063	0.5674059732714121	0.012234307437603897
UP,UP,PP	(0,1,inhibition)(1,2,inhibition)(2,0,inhibition)	1	0.7757965360296002	1.8484349997184832	0.19646012963521653
NP,UP,NP	(0,2,inhibition)(2,1,activation)	296	952.5457696089071	183025.92789550067	0.9654876723789245
NP,UP,UP	(0,2,activation)(1,2,activation)	13712	92071.05615390024	2.0192695763721046E9	0.9899012884028328
