Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	182	5.94515693204677	91.42661267511663	3.226917399956619E-9
NP,UP,UP	(0,2,activation)(1,2,activation)	13771	86369.57606816852	1.7626014180090714E9	0.9887403735342716
NP,UP,PP	(0,2,activation)(1,2,inhibition)	2928	1728.3527986280678	332180.2536840923	0.02988286838262022
PP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	102	8.68883068784626	111.56016994281791	1.5523065204803288E-5
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	35	6.5804259496859725	426.31498351616403	0.06830112295601765
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	135	0.7361131503591615	23.48411965759508	1.1117780174263459E-5
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	400	137.020859840449	2185.949091141334	1.1933033309929897E-5
NP,NP,NP	(0,2,activation)(1,2,activation)	16828	12887.63701926221	5822540.31008774	0.05841463460944285
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	11	68.13683761093618	366.579203071502	0.9999752522127063
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	6.246467793674481	12.015312524362436	0.9453215972421556
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	75	1151.4524896638334	1607804.7399079686	0.7738673217567746
PP,UP,PP	(0,2,inhibition)(2,1,activation)	113	646.7401239477938	112286.32110038056	0.9795275150958574
UP,PP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	5	0.6198093435393037	6.770067897024815	0.04148643926441464
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	38	29.653882127318585	479.46121498640923	0.28975471965134736
UP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	373	25.752948503796418	423.6299134344291	5.094813460004843E-13
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.4380926249772355	29.28517487980439	0.007514310041036976
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.05496062603068977	0.11389787976632168	0.012673630404178349
NP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,0,inhibition)(2,1,activation)	2	0.0031172176117934994	0.003867891398351337	3.2831994615456495E-5
UP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.03469104827536962	0.042551549144199965	0.0035492764416270584
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	198	0.7993394658401985	4.9750539287016355	1.1102230246251565E-16
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	7	0.2826110653060769	1.5941504822383756	0.007512925554484795
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	9	7.786420650167101	104.5445688122467	0.3088639381946029
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	5	36.78999187600208	13137.43929602595	0.1811158357069752
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	12	16.35327909512163	9518.339121689305	0.05240822576972004
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	255	29.836685457860106	5166.322570505493	0.02385338460899833
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	2	1.0572829313840764	12.809526862873268	0.10998461670493487
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	202	0.8460146501049441	1.3113695907014884	0.0
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	44	309.78116744694415	25026.92248598834	0.9870286370151854
PP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	14	1.4867319306123568	22.86785373624221	0.031664770654562746
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	561	560.7974400153415	68088.81581806816	0.4522185804782223
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	72	0.005687387883848303	0.0060662825039555935	1.1102230246251565E-16
NP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	9	0.0832244082099933	0.11894798781067376	3.4963326789316795E-8
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	360	2.6221865525732446	47.01006039839244	2.7755575615628914E-15
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	31	141.6908105926028	28649.29298587573	0.6513693613690854
NP,UP,NP	(0,2,inhibition)(2,1,activation)	301	388.65507827790924	15316.511467074219	0.7465613762702142
NP,PP,PP	(0,1,inhibition)(1,2,activation)(2,0,activation)	3	0.48876094827893435	0.6645444637906548	0.008465074277722251
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	3618	3277.2970031578925	778436.2135579046	0.3288855359050964
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	154	1.1758190031907838	4.974339332951672	0.0
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	21244	11691.165380298256	8803008.863089383	0.0025774187182322494
PP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	5	0.22781663362890558	1.3761255770235101	0.01254782134602328
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	20	5.412236477559633	10.884952359716422	5.275240302403672E-4
NP,UP,NP	(0,2,activation)(1,2,activation)	46643	60447.78306109048	6.3049556900363445E7	0.9653122868131664
NP,UP,NP	(0,2,activation)(2,1,inhibition)	1186	1262.4851879585315	158329.073515262	0.5452064009643522
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	12	0.24814543263323632	0.40582780354377757	6.952127196147018E-8
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	5	40.72621735796927	2783.1143010933174	0.640003268128094
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	180	4.338435389344551	42.63207141143815	7.560618797697316E-14
NP,NP,PP	(0,2,activation)(2,1,activation)	5254	2907.9422608939385	1370744.1313848235	0.03617526031515139
UP,UP,NP	(0,2,activation)(2,1,activation)	17164	9220.436548318636	3572092.7136401087	1.5961159392519075E-4
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1828	2960.7611793184324	784473.4699755646	0.911027176513115
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1672	85.6501446133995	3168.4937784476615	0.0
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	0.041204954640219976	0.05535576659967506	2.220446049250313E-16
NP,NP,PP	(0,2,inhibition)(2,1,activation)	799	397.4265455604359	29110.771666350774	0.020720171135476306
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	269	217.82671632675408	57507.49230746469	0.315796275816455
PP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	165	0.7786654247146216	33.81127143112566	1.9662531244746262E-5
PP,PP,PP	(0,2,inhibition)(2,1,activation)	179	462.09904481611335	58637.1822754872	0.8980437367160046
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	77	350.1631874900952	154791.75984283705	0.6854503190527059
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	180	0.4981140281748356	0.8320175561664325	1.1102230246251565E-16
NP,UP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)(1,0,inhibition)	2	0.005975634563167387	0.006951989571562712	3.357066281073351E-5
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	38.59422433350689	1804.0702439805175	0.7746611315242918
PP,NP,UP	(0,2,activation)(2,1,activation)	6689	1921.0684677218658	480230.7387457774	5.668964524474518E-7
PP,NP,UP	(0,2,activation)(2,1,inhibition)	905	577.7337056666711	152849.46234016778	0.18460733563377285
PP,PP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.0029415870761946	3.6083475573914203	0.06231204254926559
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	759	11.136237086691438	573.2343342145924	2.369437979155009E-12
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	180	0.051731001943777444	0.23373004807789474	6.661338147750939E-16
PP,NP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	10	15.56088977209143	383.9976979316731	0.4592110072014782
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	20	15.687459067285998	2404.354093054404	0.14544840862034347
PP,NP,UP	(0,2,inhibition)(2,1,activation)	180	3420.2595263002227	1655629.7761898972	0.9999541425054462
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	18	1028.5938495541684	187871.17453686777	0.9999418079723073
NP,PP,UP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	3	0.32564367351961204	4.566616330305181	0.027911795967852537
UP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	3	3.714523120970184	790.8537440526138	0.03320155972650973
UP,PP,PP	(2,1,activation)(2,0,inhibition)	78996	1519.534647370218	2826184.363357735	0.0
PP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	60	0.004295627980133481	0.13445622887835476	5.747247869392069E-6
PP,PP,NP	(0,2,inhibition)(2,1,activation)	496	903.1067948069009	157647.78946628585	0.8525795693767165
PP,PP,NP	(0,2,inhibition)(1,2,inhibition)	191	2429.1414357586386	3463986.44415976	0.933836702729331
