Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.1157621183674204	0.18186362322067884	0.0014301521754068736
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.21077541612666859	0.6036129301016944	0.052724642175370984
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	125	0.8524688463753531	2.2975852621519137	0.0
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	98	133.3536999010782	29052.5992860108	0.4352410374471092
UP,NP,NP	(0,2,inhibition)(2,1,activation)	20224	7352.8341671480775	2434474.883937411	2.5190183272627564E-10
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3095	2611.758466974286	3669071.0173476376	0.3367213929216717
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1093	44.94702271498667	1231.1521667194072	3.885780586188048E-15
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	28	1.6009137581606425	4.465993899169472	1.6093014998386224E-7
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1581	4813.8784809058825	1107468.0769316927	0.9999368063048755
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	145	0.8524688463753529	1.5180978169029404	0.0
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	15387	17003.505074671004	1.0268271592713684E8	0.5032818037445282
PP,PP,UP	(0,2,activation)(2,1,activation)	414	423.7949607718987	30137.42123203262	0.48011040950600237
PP,PP,UP	(0,2,activation)(2,1,inhibition)	390	112.03530875517168	6920.378688964498	0.006742543630334885
PP,NP,UP	(0,2,activation)(2,1,activation)	3488	1059.4874019297474	147720.96320771147	2.5893305251045717E-6
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	15	49.87357763343667	217.40886572458385	0.9980063288637121
PP,NP,UP	(0,2,activation)(2,1,inhibition)	188	400.1261026970417	74350.38615864818	0.7611363218102112
PP,UP,NP	(0,2,activation)(2,1,activation)	2855	1618.2866267754262	163285.91070316313	0.0036365405567941878
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	12	1.7415821069072341	8.623561808884475	0.011895320675120336
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.0512370548754386	11.022634033207213	0.11838967435999781
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.020090800884649564	0.1792073969193079	0.0025793474291830876
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	47	9.703519446553118	249.31535950721963	0.037966178831016606
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	189	13.671987488382605	56.4791250408781	0.0
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	30	1.5931017798533784	22.346641532196017	0.00407898026523823
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	4	0.35431897141428853	2.834928246508844	0.028953278492880652
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	5.810531906209378	31.131632738218457	0.5719210572036809
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	3	6.354953051956743	228.28191434431392	0.25334304106400196
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	9	39.41325641177298	1144.0064548541636	0.8062455048232016
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.789644125278915	5.0222361571837855	0.11582581562460292
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	4.738769582613915	16.621735860476488	0.005286244779409532
NP,PP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.46413383199824737	2.185342713896191	0.06882113642520105
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	5171	14283.521747751707	2.551773452130407E7	0.9837686501232994
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1468	136.92113226504316	7180.672603473075	1.0647038806155251E-13
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	3	71.64853657869627	7500.138445661247	0.7225816671152498
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1471	75.38751507795514	3340.044655539993	1.0547118733938987E-14
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	25	3.5759057804531453	78.49216287723493	0.03824560947576583
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4803	2152.352782323891	501392.6766555896	0.0010715758002441955
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.1067503102055425	0.4175227622093141	0.009258512268904284
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	10	0.8295784305479305	16.559794846153025	0.029083071266069238
