Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
UP,PP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	12	0.534619789804365	1.2023250395582226	2.434114307370283E-5
UP,PP,NP	(0,1,activation)(1,2,inhibition)(2,0,inhibition)	4	1.0888972092166431	4.582811691523125	0.07620462560500696
UP,PP,PP	(2,1,activation)(2,0,activation)	2202	4715.227407793801	1394552.1438513063	0.9929032648957675
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	0.16630745286141363	0.20806596737986038	0.02411544022011125
UP,PP,NP	(0,2,inhibition)(2,1,activation)	4282	3574.1928654106027	765615.8513063863	0.20283202156875169
NP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	27	115.84523060488772	3695.7008985870034	0.9612968722751462
PP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	56	4.336884426994804	48.859728085841994	2.84065922866783E-4
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	6	1.555186503437941	21.439473395884693	0.08708249432872939
UP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	41	0.11475737413265777	0.20073236998354685	2.220446049250313E-16
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)	6928	4048.419897357926	1101382.5455567539	0.007456172615216916
UP,UP,UP	(0,2,activation)(1,2,activation)	228816	103959.60893293166	2.566351800295021E9	0.018542312435469666
PP,PP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	19	0.02332710601636838	0.025060022489767703	1.1102230246251565E-16
NP,PP,NP	(0,2,inhibition)(2,1,inhibition)	160	604.2762699262939	327816.15018241183	0.7483320638234743
NP,PP,NP	(0,2,inhibition)(2,1,activation)	403	2195.6224183301424	749949.7676818976	0.9970087618876249
PP,NP,NP	(0,1,activation)(1,2,activation)(2,0,inhibition)	22	2.6035042675056252	6.921253322272981	2.642277668296611E-5
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	8	0.07693268050166452	0.12256091120684612	8.611175035255769E-7
PP,PP,UP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	3	0.04134641779496261	0.08013175165402986	9.858175236605593E-4
PP,PP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	24	28.147464754408475	2066.1180677806346	0.3412525700395542
NP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,activation)	201	6.743192774797919	52.84564272298668	0.0
PP,NP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	40	4.958927933929455	60.78792104625343	0.004701627582854084
PP,NP,UP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,activation)	1	0.3185157300473688	1.221555753152783	0.07567025754839718
PP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	28	0.09434699747973468	0.3195123590226921	2.651692199151512E-9
PP,NP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	1	1.0765619116845726	7.070959170709688	0.19104198283173213
PP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	661	0.18403553851180315	0.5377338861643516	3.3306690738754696E-16
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	6	0.42406507618293837	2.047745282031517	0.013454404178596446
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	199	30.17734588550648	1442.4566433176517	0.0035532565275304684
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	9	5.4001991511423055	240.11684730889252	0.14780645630748745
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	158	52.44640262541873	1172.818631159233	0.008525253504864883
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	953	24.20360673540163	538.634455945739	0.0
UP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	80	89.19674358140306	5491.44747492537	0.46021982785828874
UP,NP,NP	(0,1,inhibition)(1,2,inhibition)(2,0,activation)	1	1.416958798931177	7.923975678617914	0.26456693572312484
NP,NP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.033809742024451896	0.04653644017441571	0.004777905318374964
UP,NP,NP	(0,2,inhibition)(1,2,inhibition)	3084	12333.235108060057	2.031222027353549E7	0.9954468552133763
UP,NP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	7	0.023404800855252775	0.027776675125103026	1.4057037756032287E-9
UP,NP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	38	6.2126974605827545	128.4606804616395	0.026540883622457212
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	3	1.159941469177899	14.57195316900903	0.10166076323755358
UP,PP,UP	(0,2,inhibition)(1,2,activation)	2232	712.8665662018143	58402.153257730184	2.0740212023362403E-6
UP,NP,NP	(0,1,inhibition)(1,2,activation)(2,0,activation)	3	2.669969022481892	6.268962507494181	0.29904225559830266
UP,PP,UP	(0,2,inhibition)(1,2,inhibition)	612	1112.3215386847962	75518.57404611749	0.9781224658692194
UP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	12	24.626684722150387	365.7794807148158	0.6925213171671881
PP,NP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	3	1.365120447766262	25.741282909348108	0.095544848460554
PP,NP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.15841039281948827	0.6969999967235423	0.023366196789302074
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	228	50.67129282551271	613.602989044326	1.4227804724376014E-6
PP,PP,UP	(0,2,inhibition)(2,1,activation)	186	394.69929997264046	13728.968222237338	0.9781279195819063
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	13	2.23150573997117	60.943949233126474	0.060637277372374565
UP,PP,UP	(0,2,activation)(2,1,activation)	12101	4860.504231117094	2862071.902152408	3.5003360735730293E-4
UP,PP,UP	(0,2,activation)(2,1,inhibition)	2170	990.8373325562626	263973.9548463869	0.025095730934229787
PP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	43	0.597972819610743	1.6487815754559871	1.318944953254686E-13
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	3	9.031299266824584	298.1469050067557	0.3592793868702152
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	4	50.33541280843578	2527.3895659366767	0.8170150234909779
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1781	8995.815687041097	2.8781523047216237E7	0.9491296504421282
UP,UP,NP	(0,2,activation)(1,2,activation)	44271	41928.96209014827	4.277580806725216E7	0.3476000258989045
PP,PP,UP	(0,2,activation)(2,1,activation)	2271	972.7659853587064	128965.04402033356	0.001665499623793032
