Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	196	7.241838997962707	78.22162811200788	1.091793322416379E-12
NP,UP,UP	(0,2,activation)(1,2,activation)	24867	94185.90613980181	2.1073452148711185E9	0.9659966154185861
NP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	38	6.843148553937388	63.808147345422014	0.005513305732706142
NP,UP,PP	(0,2,inhibition)(2,1,activation)	210	581.7658910969544	67513.90633585607	0.949499631308763
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	12	4.612404226953194	84.6957994234791	0.13663168319355357
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.14115817701529185	0.19082750659911402	0.022581202946821866
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	90	0.3130881723658971	0.49689730940992466	0.0
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	4217	1433.040896274476	971772.3889271624	0.013493762536763376
NP,NP,PP	(0,2,activation)(1,2,activation)	2252	7527.88943680696	2493881.1411914676	0.9999892461978086
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	6.734264371671352	100.77040877606855	2.0848878179435815E-12
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	6.0928530257108315	208.06495497578436	0.17964911274215256
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	95	226.5185476361495	112938.50353478146	0.4705148894261615
PP,UP,PP	(0,2,inhibition)(2,1,activation)	69	265.3205048790656	22068.364980421145	0.939058947489078
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	5	9.58646140581689	93.0483370305457	0.5694597787107363
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	64	22.79254608241641	211.43174994444814	0.01181327612912031
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1446	92.54774930342471	17977.12172742199	1.0676205124515725E-5
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.2121941347496426	1.1999741982801682	0.031049290438385446
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.5932714467681385	3.3077455563300595	0.0861381953234398
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	180	0.9576374313943652	2.011772017084626	0.0
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	8	10.051306784194875	132.3467133419324	0.4284212994136929
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	2.3034597861932937	9.214602559510126	0.34032187323358487
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	365	23.200390905171464	251.7665061369147	0.0
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	10.885747450715634	884.8806488941055	0.17965433633696826
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	14	1.976022943248439	11.98561030188499	0.01297636575237393
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	212.41255069085352	70881.63521151824	0.7147074085528393
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	266	619.7550223791851	151635.32661851868	0.8154750445773755
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	1.632862104901579	85.2209247037211	0.05327066193880681
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,0,activation)(2,1,activation)	1	0.010564024412504586	0.013415895267107727	0.0011397310574264852
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	180	4.712964632975032	52.436633517668	2.6203483827202945E-12
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	20	28.79438875986352	1108.4516075102883	0.4714103898278683
NP,UP,NP	(0,2,inhibition)(2,1,activation)	449	1477.9261619132776	406820.8698079223	0.9734073331788144
NP,PP,PP	(0,2,inhibition)(2,1,activation)(2,0,activation)	78	6.924834819427868	98.91787228772196	2.4370929681993836E-4
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4033	10821.313703053593	1.7278543216329083E7	0.9716115396480451
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	122	2.1102599878172645	38.06950358579022	9.309741697549612E-7
UP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	5	7.477123242376831	85.12372926492375	0.4461637033390785
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	5	0.012722958747095578	0.014330253111463846	1.3518998476236277E-8
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	21943	11188.172633516964	5783414.32927759	8.114958901006553E-5
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.001117712267785843	0.0011554036987560068	1.8809552762233395E-5
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	21	13.059483619176174	141.03417157253193	0.2036278564872288
NP,UP,NP	(0,2,activation)(2,1,activation)	11331	4367.377844811285	1517975.3489422277	5.792779216196031E-6
