Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,inhibition)(2,1,activation)	268	217.1850514495021	8927.72953598023	0.2682330711508689
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	1	4.0801203618988335	49.41297857117699	0.41239829890383517
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	168	193.3676292679574	54818.56638680305	0.40862028206061163
UP,NP,NP	(0,2,inhibition)(2,1,activation)	22652	8590.74393290355	3504497.7312614173	3.999718001246322E-9
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	3584	2146.3725768341196	3044391.2448499296	0.183624255511045
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1275	81.88431794492804	8017.570797813775	1.7062676604950866E-8
NP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	24	0.6143728740406532	1.295044818325188	5.24749244057432E-10
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1661	6453.016314362721	1983197.2967906818	0.9999954775469184
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	94	1.212484053687052	10.910063713109086	1.298379515013437E-9
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	14518	16439.389805962524	9.608174794944692E7	0.518253085568934
UP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	38	52.885278511674514	3646.2391791059176	0.4690814161919873
PP,PP,UP	(0,2,activation)(2,1,activation)	143	82.49622444975263	1623.2773656811778	0.07885747273669708
UP,NP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	28	102.6281989965539	12594.508230557552	0.6728264669909149
PP,NP,UP	(0,2,activation)(2,1,activation)	1469	860.1180205342248	107342.14186734881	0.04495813658649206
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	15	102.35303327798323	1505.4440528871764	0.9989347801617854
PP,NP,UP	(0,2,activation)(2,1,inhibition)	67	238.09442075776084	28667.55941050224	0.8566038142766925
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	5	3.1422860537854214	5.49061753839117	0.1513406234237601
PP,UP,NP	(0,2,activation)(2,1,activation)	1732	1145.0542361158004	94994.1234688384	0.03835626405871917
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	1.129442554389073	13.18359326564055	0.11957275231211695
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)(1,0,inhibition)	4	0.4537124838994907	5.94124985399962	0.034522857409036045
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.014694636835153438	0.10640773058319335	0.002043968340419089
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	45	8.96165750268482	242.16859015436515	0.04032288128142636
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	835	1506.513264027137	741487.12080683	0.7658359278163984
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	28	1.3379714251183765	18.934247742286765	0.004338178033357676
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	2.4931059863149057	74.28172922370364	0.07125483189138848
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	5.813064288297171	36.885558253325904	0.5452064218656286
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	15	62.85263870072732	3044.663654943896	0.7932529258392569
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.67550607376621	4.598797537524252	0.10359356975287015
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	17	6.0527792418415505	26.0975750625146	0.03381582685314877
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	4490	13341.46476888477	2.3638895731075197E7	0.9855521818688243
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	1375	327.119597402785	48423.63438991159	5.98472266822303E-4
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	100	160.92836421482713	5673.628582271322	0.7773886723000687
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1429	138.13319303250128	22487.68657850597	1.1694663225481072E-5
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	25	2.999352005756185	67.56018862916667	0.03201124010410117
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4521	2204.578142637399	539278.0979875289	0.003861647200466223
PP,PP,NP	(0,2,activation)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.0010404356588504813	0.0011059917523053408	3.128370785143719E-5
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.14916560464954703	0.7032622084714584	0.01455967033374772
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	24	2.0272663695966524	47.439125949107684	0.023258829586072838
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2450	7753.78829222453	7366676.069500677	0.9914708617487992
NP,UP,UP	(0,2,activation)(1,2,activation)	32563	118904.47687100661	3.3329639814171715E9	0.963725266893683
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	18	1.2463702128494527	2.2095522165356964	1.3777400820202956E-7
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	12	11.283610272832568	1161.1953216977415	0.1584465347090117
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	89	12.673431881637908	207.25141348952798	9.985037404567354E-4
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2434	457.2732435297877	177708.77910446384	0.001412086090112119
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	47	114.24840010341231	113308.22619269768	0.18897317688729054
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	26	0.36038360954083715	1.7614786418215962	4.834020458699406E-6
NP,NP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	16	4.125957978358484	8.213355929363217	0.001102489104442661
NP,PP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	13	0.14579531150018646	0.7165414279826272	2.6338129706071634E-4
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	1	11.874501698824893	1569.0663749287964	0.16113336365062203
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	28	10.608744627683603	1742.205334468661	0.08755214776755305
PP,PP,PP	(0,2,activation)(2,1,activation)	36	16.987376000092027	114.37256882432695	0.0534987810568468
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.061049360662481005	0.13459093467628583	0.014494398811624842
PP,PP,NP	(0,2,activation)(2,1,activation)	327	273.0937822035567	6090.793194370155	0.23149544550670753
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.0014650556815554625	0.0016050600556772956	6.465077895578819E-5
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)	2220	3832.497275327836	2550676.400499314	0.8475644400721578
UP,PP,UP	(0,2,activation)(2,1,activation)	1661	899.1618847047042	153738.78933847358	0.040767335561053275
NP,UP,PP	(0,2,inhibition)(1,2,activation)	667	964.6469218770034	157019.0977159317	0.7596979168061198
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	2	0.8859446259181487	1.464398620119411	0.10046887538753047
UP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	19.08845893013471	114.37263267438652	0.9031859018485606
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	1	1.7588139994952539	17.73801372978641	0.23022184858367367
PP,UP,PP	(0,2,activation)(2,1,activation)	106	71.22632632806949	1303.5287043303579	0.1599838234830796
PP,UP,PP	(0,2,activation)(2,1,inhibition)	5	48.141977239649684	1600.7029701567021	0.8883404546992058
PP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	0.1705536720958314	0.2151360054321572	0.025288867697298212
PP,UP,UP	(0,2,inhibition)(2,1,activation)	227	233.7931037610227	7758.083745217416	0.4906474199096884
PP,UP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	4	1.3201582308717612	38.894165069887755	0.06403848397473533
