Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	31	4.294881236214549	653.465386662062	0.03670346269087299
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	2	166.9591152325898	81564.72041698304	0.4916412137919416
NP,UP,UP	(0,2,inhibition)(2,1,activation)	3644	1275.7529889477735	267290.8021871804	2.4735227367544965E-4
NP,UP,PP	(0,2,inhibition)(2,1,activation)	179	294.6025466995504	19959.310296642958	0.7817472056839251
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	6	2.423152929128023	36.49759528775552	0.13212712289500173
UP,PP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	27	0.3675475623849566	1.1881140821865195	2.4774905793556457E-8
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	29	0.18375726406358986	0.302659071794565	0.0
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	1718	775.0932307837787	337428.7435394813	0.07212015938235417
NP,NP,PP	(0,2,activation)(1,2,activation)	3102	6250.5596469962775	2232782.039772168	0.991822968588257
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	174	9.91319847631935	176.8546634636235	4.3352904977034257E-7
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	4	225.01830168290405	107936.89456720001	0.6018147284592767
PP,UP,PP	(0,2,inhibition)(2,1,activation)	43	174.45567904453293	10465.071813044586	0.9329821138689847
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	161	3.1872935887555514	21.45579694052996	0.0
UP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	6	0.2962426252099393	18.09960771696705	0.007809825883273391
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	40	32.71033537736427	744.734158127497	0.31792646841228966
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1064	124.35889987336442	24294.147562759514	5.725012026812637E-4
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	66	1.0758610500407138	101.30038290172638	0.00559102692048008
UP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	9	0.13636645944698592	0.18838081442250657	4.977064238520512E-8
NP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	1.1446373759362467	78.39542205997432	0.019325934278972334
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.11223152496285982	0.5283858018918082	0.016616860144170853
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	1	0.33890545592383337	1.9543472851816281	0.06853104988535907
UP,PP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	2	0.023779573400100628	0.03462721607894837	7.182517678145928E-4
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	14	0.673176863708144	1.4454269454787436	5.54020663268151E-6
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	6	0.03889203512996257	0.04583742578141147	2.813936395007488E-8
PP,UP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	119	6.059522369054767	73.70397160535886	2.6077219494879955E-7
