Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
UP,NP,NP	(0,2,activation)(2,1,activation)	50407	22927.878422953476	2.135859806646484E7	6.793691040840599E-7
UP,NP,PP	(2,1,inhibition)(2,0,activation)	506	136.49329068387112	11349.44057308503	0.00597083533275844
PP,NP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	6	0.41838322113104764	3.6564756689405127	0.022116332432863484
UP,UP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	3	0.7192111594839716	9.684217270681533	0.062005491656448974
UP,UP,NP	(0,2,activation)(2,1,activation)	24417	11672.06076803915	6642441.436937273	2.169199453838644E-5
UP,UP,UP	(0,2,activation)(1,2,activation)	229250	102617.29462186614	2.4951327504806004E9	0.016502982702140567
NP,NP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	64	2.521458994515779	12.047784243030513	6.401771335262652E-10
NP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	12	0.992978574612767	3.4660135555340403	0.0014019699013492204
PP,NP,PP	(0,2,inhibition)(2,1,inhibition)	43	16.182159763946007	356.2935610864963	0.09150872988365999
PP,NP,PP	(0,2,inhibition)(2,1,activation)	189	105.49364060185877	3195.0607133433605	0.08279414196850632
NP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	37	53.80454663169801	604.3982502057124	0.7247300311351255
NP,NP,UP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,activation)	10	1.1854356213748327	22.314581839278375	0.04152815687269895
NP,NP,NP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	66	0.6141514587515302	3.1770368351695284	9.995337890700284E-12
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)(2,0,activation)	1	5.344262376673353E-6	5.354704524525402E-6	5.225112342799321E-9
NP,NP,UP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	3	0.5076928755171752	4.104708886340558	0.05250784560843558
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	26	21.18828361033113	365.61463100452045	0.3146525600261878
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	809	1299.8144728877512	568853.7106888227	0.7125328221734348
UP,NP,NP	(0,2,inhibition)(1,2,activation)(2,0,activation)	136	5.312339085292233	107.1467881294637	5.942269375336373E-6
NP,NP,UP	(0,1,activation)(1,0,inhibition)(2,1,inhibition)(2,0,activation)	1	0.019223339391733655	0.023516723936043323	0.001855088719560416
NP,NP,UP	(0,1,activation)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	2	1.0190153300282532	8.632869529985419	0.1272227171327509
UP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.010461673431019466	0.01544441518612482	3.2235835967286963E-4
NP,PP,UP	(0,2,activation)(0,1,inhibition)(1,0,activation)(2,1,inhibition)	2	0.006011992257076715	0.006781882747180117	2.2228084581299434E-5
NP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	904	2.1401893865875685	37.9053847167599	1.1102230246251565E-15
UP,PP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	13	2.2071019660498825	31.97489264480236	0.05277151558101012
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	37	38.65761137073621	3155.6497686079965	0.3467898265269217
PP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	26	13.14129844885523	2554.707097367062	0.09802612693388191
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	1	2.3639853348066344	12.610332649138801	0.41420767881891407
UP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	3	11.286322752942077	144.55998349172657	0.6703199726209104
UP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	17	13.618295535123188	112.7801041069608	0.2982145321427404
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)	805	474.58181285495357	41444.589929042384	0.06603022028464
NP,PP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	6	42.905102920158555	1351.5523206351957	0.8560920859125274
UP,NP,UP	(0,2,inhibition)(1,2,activation)	4171	2224.442248110322	531311.4577194145	0.010044589360157619
UP,PP,PP	(0,2,inhibition)(1,2,activation)(2,0,activation)	5	0.25059059880283746	0.9896255548985684	0.008513695396426213
UP,NP,UP	(0,2,inhibition)(2,1,inhibition)	1240	2638.6924177180317	581530.4347820105	0.9816124744556969
UP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	4	1.0337338785998853	2.0773568143478833	0.0334492758748991
NP,PP,PP	(0,2,inhibition)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.006252342524390757	0.007184264385962477	4.1808882644989165E-4
NP,NP,UP	(0,2,inhibition)(1,2,inhibition)	4360	1568.1433338539207	1064100.0673091407	0.015502255473577198
PP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.005288530871831866	0.007698203197682465	8.050196113211783E-4
NP,UP,NP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	1	1.7121178402142543	39.850834807283036	0.12146687777425547
UP,NP,UP	(0,2,activation)(2,1,activation)	26522	7970.523341962118	6907101.870963283	2.10456168603379E-7
UP,NP,UP	(0,2,activation)(2,1,inhibition)	2798	2619.1128279573963	3777369.5995949535	0.3906457185518952
UP,UP,UP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	4	1.9830491435793471	21.041736053392036	0.15468993506119788
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	14	0.3500263009682895	0.5357283017485469	3.9840891696840686E-9
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	4.583754816578592	22.225882441749036	0.5760914972546101
UP,UP,PP	(0,2,activation)(2,1,inhibition)	256	1060.4163875248732	420751.5796372241	0.9252295158540833
UP,UP,PP	(0,2,activation)(1,2,activation)	43875	21989.06050451094	1.420641241586274E7	6.182517680031197E-7
NP,NP,UP	(0,2,activation)(2,1,activation)	13876	4337.134632713816	2118825.8823551945	9.581553466198045E-7
NP,NP,UP	(0,2,activation)(2,1,inhibition)	2111	1425.1818187791262	1143969.8908756454	0.22596735772312315
NP,NP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)(1,0,activation)	2	0.03846977682270203	2.2497925007275823	0.001207243501730182
UP,UP,PP	(0,2,inhibition)(2,1,activation)	2325	936.5746547671699	97921.7896406838	2.2187526094552545E-4
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)	487	440.4735119573558	84875.40257490147	0.37391371948019103
PP,PP,PP	(0,2,inhibition)(2,1,activation)	152	32.83590036229432	365.2987267477615	2.360631686304515E-5
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	16	6.3670041116319815	64.42918189628396	0.11003589962263483
UP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	2	0.04064591342150041	0.045840067500174254	2.2350973943974228E-4
PP,UP,NP	(0,2,activation)(2,1,activation)	2148	1433.7461155331068	141242.19574630633	0.03840898154493311
PP,UP,NP	(0,2,activation)(2,1,inhibition)	158	1182.1340098785686	810170.4718592626	0.9099344688815749
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,inhibition)	1	0.06500340933247932	0.31682633548240496	0.014518637556848235
PP,PP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	20	1.794749279355211	20.11530557328281	0.011764275059989782
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	1	26.243018138444548	794.0431674382678	0.7934284105254052
PP,UP,NP	(0,2,activation)(2,1,activation)(2,0,inhibition)	32	1.5546544624093976	24.71019082575439	0.004277995481797636
