Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	1.200317348854971	3.35049186824309	0.178374306841257
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	13.653970428174762	488.9089524014897	0.4180695674907893
NP,UP,NP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	32	6.3685117203804085	93.4371061969619	0.02751388115832132
NP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.05376102140557696	0.06538279959993218	7.7847582525159E-5
UP,PP,PP	(0,2,inhibition)(2,1,activation)	672	363.00003185819344	20343.778593836963	0.02728030138522064
UP,PP,PP	(0,2,inhibition)(2,1,inhibition)	64	392.2615444612923	231985.15799885814	0.6606487932843511
UP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	1	0.7305058053825366	2.710095155353928	0.17010776648684056
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	4	0.8456368817199622	3.0831440766234577	0.05101028959902365
PP,PP,UP	(2,1,inhibition)(2,0,activation)	112	443.18196297433775	16311.624162328546	0.9995855020430872
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	42	3.849847172796568	22.90361458688396	4.5593005407962295E-5
PP,PP,UP	(2,1,inhibition)(2,0,inhibition)	3512	2872.7536003631926	3309797.9133829493	0.3131607582771473
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	3	13.854914959384681	199.14191803380078	0.7207699871381954
NP,NP,UP	(0,2,activation)(2,1,activation)	14379	5010.553753370655	2782778.4824849144	1.1539864235854402E-5
UP,PP,UP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	21	45.15106228522702	4657.204126690207	0.4480047272703078
NP,PP,UP	(0,2,activation)(2,1,activation)	1538	896.2825766834735	119136.2868780262	0.0450289492096011
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	12	7.809047708907175	14.85882973056755	0.11738633879310723
PP,PP,UP	(0,2,activation)(1,2,activation)	781	1221.3519219719815	508496.481169285	0.6983103963065794
NP,UP,PP	(0,2,activation)(2,1,activation)	1059	734.1241997000761	61079.26718424971	0.10148576990977576
UP,NP,NP	(0,1,activation)(1,2,activation)(2,0,inhibition)	51	13.927905303608984	130.4643084785731	0.0081927210410212
NP,NP,UP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,activation)	8	0.3139001219474283	0.5393183624556148	2.9243929575595295E-5
NP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	55	0.3004988776784038	21.993393171882204	0.0018058605808430883
PP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	7.437223115082554	244.86853056293808	0.11049719702584049
UP,PP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	1	0.2287959122221274	0.7288435670228033	0.05673244971347635
UP,PP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	2	0.5773755378533555	1.2815037963908282	0.06943835774580254
PP,NP,UP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	4	1.0383086125328393	5.658845366129776	0.08068112077735945
NP,PP,UP	(0,2,inhibition)(2,1,activation)	635	657.0162656634561	54748.17078514886	0.5009815658502612
NP,NP,NP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,inhibition)	66	0.4672400780733682	1.8817328969591278	7.66053886991358E-15
PP,PP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	6	0.26600888030588055	0.9912087455264192	0.0049419126742155095
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	216	62.40723742848771	2329.9398526227515	0.008845487640945171
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)	318	1762.7282465709686	1128869.9978200025	0.953078425686753
PP,NP,NP	(0,2,activation)(2,1,activation)	7541	2996.4636998499727	562930.8112413269	1.1030209646767375E-6
UP,PP,NP	(0,2,inhibition)(2,1,inhibition)	1861	690.8128329430134	358824.2033816031	0.0493915972985296
NP,PP,UP	(0,2,inhibition)(2,1,inhibition)	57	458.43284856546086	34318.71963050237	0.9987818531994016
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	16	6.716611084904576	168.18697264935858	0.15122740425823933
UP,UP,NP	(0,2,inhibition)(2,1,inhibition)(2,0,activation)	8	1.6529828792652137	237.5099317728468	0.020235478184159605
PP,UP,UP	(0,2,activation)(1,2,inhibition)	948	425.16786991562714	23440.706844684464	0.002438679097979235
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	14	10.926069207271372	726.2919361097651	0.19369004524537825
PP,UP,PP	(0,2,inhibition)(1,2,activation)	218	562.1809517180294	117998.48407145683	0.8499009102053977
PP,UP,UP	(0,2,activation)(1,2,activation)	7220	22459.35842601759	1.2905751055329645E8	0.9386220222180636
PP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	215	63.20952280309014	1150.726582510485	5.710215704098909E-4
PP,UP,NP	(0,2,activation)(1,2,activation)	9964	22748.087995385176	5.468267760021472E7	0.9761861314857587
UP,NP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	2	8.081378340048484	215.2255750364124	0.39688400786070954
PP,UP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	61	4.987571668338769	12.143385312265377	5.3512749786932545E-14
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	6	0.723935679144367	5.045025672260811	0.03480045634259088
PP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	0.17819612378798166	0.26065013808664383	0.03304066874665701
NP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	37	49.090706639390284	2099.443487339826	0.5033875970967814
NP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	854	2.6547939430363168	47.84899979561404	8.881784197001252E-16
NP,UP,UP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	8.574546261587018	109.34167204850974	0.611267310676576
NP,PP,UP	(0,2,activation)(2,1,activation)(2,0,activation)	58	11.392710063279644	94.18494629393484	9.169771272306004E-4
PP,NP,UP	(0,1,inhibition)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	9	0.34253716347578617	2.588761129071211	0.007793714504433669
NP,NP,NP	(0,2,activation)(2,1,activation)	39683	15292.624226269902	1.2998732717886358E7	8.544008667232816E-8
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.013884169271166216	0.017704800008731394	0.001532131426315142
PP,NP,PP	(0,1,activation)(1,0,activation)(2,1,inhibition)(2,0,activation)	1	0.0020165950143458847	0.002089722055432001	3.716200731629371E-5
PP,NP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	44	0.5604967385890266	3.332870667666678	1.551503351349126E-7
PP,UP,NP	(0,2,inhibition)(1,2,inhibition)	898	3640.463037029794	4554926.798035698	0.9341009547427966
NP,NP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	6	0.16255131784029928	0.41088099944457634	8.091370725628044E-4
PP,UP,NP	(0,2,inhibition)(1,2,activation)	992	2181.922500984546	1592951.61955434	0.828178892680522
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	235	483.508034599988	48778.752293357975	0.8820065514356441
