Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	3	0.029064439809494337	0.0364893505115904	4.8871641660230836E-5
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.23699960561714828	0.8764582536496514	0.05714076914647559
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	30	4.476323041277571	26.338924060565013	0.0013866472216522707
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	166	194.90574938629547	59521.57711604104	0.40663160852869495
UP,NP,NP	(0,2,inhibition)(2,1,activation)	17459	7050.556252948016	2702801.5394738317	3.411615081549968E-7
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	1605	1407.3006735432114	1586985.4452240737	0.3533293067488129
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1146	58.85886056270173	1629.7075327231923	1.9984014443252818E-15
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1738	4927.574895146181	1542504.0795304067	0.9991570477803353
NP,NP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	145	1.3462710816695878	2.6992112321051227	1.1102230246251565E-16
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	9257	16355.630309072263	7.939431266173857E7	0.7734003762148481
PP,PP,UP	(0,2,activation)(2,1,activation)	379	184.8013342602889	7349.681662407609	0.024770148924528224
PP,PP,UP	(0,2,activation)(2,1,inhibition)	409	165.1499443226492	17859.140819461165	0.05667999679399738
PP,NP,UP	(0,2,activation)(2,1,activation)	2754	1045.4044767728149	142493.8796048623	2.1386130621170452E-4
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	76.49286060588568	531.4700021910276	0.9999971518114559
NP,NP,UP	(0,2,activation)(1,2,activation)	11636	29589.611938112517	2.2303040942151785E8	0.9060980177752797
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	10	26.46253518399127	669.5426901901485	0.665514542671817
PP,UP,NP	(0,2,activation)(2,1,activation)	2325	1495.8033571099597	140801.59357297467	0.021465987957406396
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	58	2.5305046864627356	23.524963962770205	1.4269266230160227E-5
NP,UP,NP	(0,2,activation)(0,1,activation)(1,0,inhibition)(2,1,activation)	2	0.9577718467474969	12.080820303087712	0.09779366817521729
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	2	0.06892425849812041	1.3360088071533613	0.005486178109701978
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	33	17.689941323270833	594.712182429353	0.19459774109422812
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	189	19.354013184574807	98.614006891791	1.3322676295501878E-15
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	46	28.694216644198214	1797.1047265846655	0.23272040829295826
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	2.961527305143646	84.49232200009834	0.08513340382549239
NP,PP,PP	(0,2,activation)(2,1,inhibition)	300	183.84272415160075	33173.26958413078	0.2150983127582129
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	4	50.22027502244432	1975.7613293821719	0.875422067987419
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,inhibition)	4	2.658920114690174	43.598618233835815	0.17400842895861668
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	6.286446404027107	25.890689887224156	0.020641304033661045
NP,PP,UP	(0,1,activation)(1,0,inhibition)(2,1,inhibition)(2,0,inhibition)	6	0.1261889419852306	0.6070926650401366	0.003615587370724316
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	2824	8781.617499589842	1.3089615472529173E7	0.9752800921887891
NP,PP,PP	(0,2,activation)(2,1,activation)	633	310.346874419959	48465.801315279285	0.08711771757475884
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	2641	494.6172548939821	66689.21712089877	1.6482182918498012E-7
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	124	171.90014495207632	6267.45183413284	0.6988023360125555
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1506	111.13482224668016	5544.416743295198	1.412203687323199E-13
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	25	7.251073673902006	208.5398099042082	0.09901021774854168
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4686	2203.9372627778166	514838.31712456327	0.0019746440318858527
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.1417757793729584	0.6560160089540856	0.013709591472919724
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	14	4.733571602326676	126.78765079207672	0.12018174086064393
PP,PP,NP	(0,1,activation)(1,0,inhibition)(2,1,activation)(2,0,inhibition)	4	0.022342825976428882	0.05797961436132557	4.936577069571957E-4
NP,UP,UP	(0,2,activation)(1,2,activation)	28606	111739.71876629324	2.936625390960062E9	0.9690506071776424
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	36	2.292017042629812	5.988299023307018	2.6967980071290754E-9
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	4	9.972438186535184	159.1640202048725	0.5326793360396085
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	141	12.778568411639176	88.52198549200602	6.223388471227054E-11
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2504	342.1495510802021	33135.97455933347	4.322919799903957E-11
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	11	27.74213779635685	555.7869272023019	0.7128107366172254
NP,UP,UP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	25	12.757371575664301	353.71075421281097	0.18468096576475024
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	42	0.49084587139877295	1.1779294484130427	1.6653345369377348E-15
