Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	34	9.226375147198269	176.82337497715443	0.058774868544236414
NP,UP,UP	(0,2,activation)(2,1,activation)	6183	2049.21914347622	706268.2956937216	1.2043035649278444E-4
NP,UP,PP	(0,2,inhibition)(2,1,activation)	181	615.0497900702737	88895.88117761188	0.9572621006242494
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	48	3.851477679108307	121.23203013801195	0.014030330514719469
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.08242802202257202	0.10951066427879601	0.01169769864857706
NP,NP,PP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	346	1.4363053368659255	14.456092999351144	7.771561172376096E-16
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1876	463.41776065912825	28169.74165008866	7.890517572661793E-9
NP,NP,PP	(0,2,activation)(1,2,activation)	2317	7370.615277344293	2387622.521649055	0.9999811687457538
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	7.9117321645230305	110.48738957543145	9.2192919964873E-13
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	6.76638112864421	221.31993610486427	0.2224235989045067
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	67	62.48173873490964	2495.603820311957	0.3820595177002666
PP,UP,PP	(0,2,inhibition)(2,1,activation)	89	122.91485947674204	3407.5180170675267	0.6872058977806209
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	76	127.27192429100747	1779.5750323409939	0.8964152586458619
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	58	26.509328671289534	497.72679028989614	0.09188505991214835
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	164	383.46834881349923	39357.8143797316	0.8795063925567081
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.08498650060607561	0.25501184875463906	0.010844194941584728
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.029042214998870285	0.04060230376889282	2.2842283623591975E-5
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.968312647156946	10.437630291551482	0.10793055197331636
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	72	97.80839649298498	5210.543446434807	0.5684811344160838
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	71	35.827802937113894	15072.8011941221	0.11464523220843914
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	2	12.74004475371523	102.86367095574809	0.861680032006233
UP,NP,PP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	24	0.2261823101537332	0.3667193667484508	7.549516567451064E-15
