Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(1,2,inhibition)(2,0,activation)	178	10.03558839152466	174.67564949277258	2.347691675508301E-7
NP,UP,UP	(0,2,activation)(1,2,activation)	27415	97085.64018269899	2.221123098821823E9	0.9611318009911087
NP,PP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	36	5.923595232484757	58.67330098145122	0.006215491925071759
NP,UP,PP	(0,2,inhibition)(2,1,activation)	289	679.9186579093622	102532.36735132721	0.9080713228135118
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	4.222172487787995	92.33823383182272	0.04993480082312163
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.19244551285266817	0.5994187112036677	0.0478923982589593
NP,NP,PP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	90	0.5037146283116252	2.73012225609184	4.107825191113079E-15
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	4	0.4601792620887554	2.5751684755506554	0.03445097550147924
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1560	493.5976219405431	30347.431438674626	3.826302503950885E-6
NP,NP,NP	(0,2,inhibition)(2,1,inhibition)	93	558.9341279302901	415975.2932455735	0.6960122332714518
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	7.405821896504226	113.53743840108169	5.845213202348987E-12
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	6.4030442435314185	198.89304700400146	0.21680593140910553
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	188	87.64932021642215	3350.2424839295527	0.06054782759066335
PP,UP,PP	(0,2,inhibition)(2,1,activation)	120	166.29927077975572	4951.906077610885	0.7216063988953365
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	429	263.0349204306841	33410.40221847064	0.16964846482675633
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	58	25.095055537785317	425.44703872799334	0.07346063467427744
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	121	262.21075586875736	8950.746871346753	0.9515706301549379
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.061810295347037504	0.2287329749726292	0.0029386199601046936
NP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	180	1.3441419885802273	8.637548841585165	2.220446049250313E-16
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	97	119.37506875979818	7700.693821623847	0.52529907308225
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	71	41.08344377950427	18560.074242359155	0.12459114481958322
NP,PP,PP	(0,1,activation)(1,2,activation)(2,0,inhibition)	3	0.7708075912860258	1.2240125985920844	0.03042863335056345
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	366	26.560991947287324	1814.654055535852	1.679011297894828E-4
NP,PP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	18	0.9373228705337442	9.71832828929648	0.006256628461279834
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	37	82.1337620633621	2840.8978306601357	0.7875892423817694
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	0.002464558444423304	0.002531531770520009	3.546709315083163E-5
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	686	581.9435466470926	73337.46532837418	0.3146509401372718
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,0,activation)(2,1,activation)	1	0.013505631091841792	0.01918189538567531	0.0019783265203933142
NP,PP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	180	4.411171971048267	67.32096417439814	1.1826083445853897E-9
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	34	59.11536729497645	2121.5758656700186	0.6464387302519458
NP,UP,NP	(0,2,inhibition)(1,2,activation)	1130	4423.227888319515	3035834.3339610323	0.9911769054219239
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	26	2.160034312067443	9.071891392678687	7.455810408174557E-5
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	2316	8676.1582257055	1.3813142251438484E7	0.9824852102449176
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	192	2.09976999055269	12.486936456478382	0.0
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	10	0.012939163174428394	0.014748869914339454	3.5860203695392556E-14
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	17391	10782.57915820938	1.0175602982843742E7	0.029309150672229167
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.0022595629996210436	0.002656082597965435	1.6937153492291301E-4
UP,NP,UP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	19	15.528450722407307	250.3858337532975	0.3127531486955514
NP,UP,NP	(0,2,activation)(2,1,activation)	11614	4427.401332322053	1284495.1390891373	5.008536470008096E-7
NP,UP,NP	(0,2,activation)(2,1,inhibition)	15844	3827.91363482689	6726539.371389108	7.59022380863672E-4
NP,NP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	10	1.8696394251418287	23.36879739295685	0.06067506074334328
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	0.14130720051199766	0.23958161346967527	0.002547021043811548
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,activation)	12	8.11981223458415	58.86369384533906	0.23332441817373606
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	181	3.1978462365478157	16.110883550665836	0.0
NP,NP,PP	(0,2,activation)(1,2,activation)	2062	12231.777922539442	4.476176598504263E7	0.973958159265661
UP,UP,NP	(0,2,activation)(2,1,activation)	21245	9703.94963387706	4290014.003418237	2.8385148685972084E-6
UP,UP,NP	(0,2,activation)(1,2,inhibition)	16168	10994.222004688318	4482671.698576286	0.012139817170543132
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	16	22.153673133780934	1079.8233298286716	0.3906879810241466
NP,NP,NP	(0,2,activation)(2,1,activation)(2,0,activation)	3681	147.9476234085536	15909.972503637106	2.808864252301646E-14
