Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
NP,UP,PP	(0,2,activation)(2,1,inhibition)(2,0,activation)	6	1.7505725254281088	27.242729814255245	0.09560933007618677
NP,UP,UP	(0,2,activation)(2,1,activation)	6649	2104.00527850896	743287.4444852797	5.392457689057384E-5
NP,UP,PP	(0,2,inhibition)(2,1,activation)	251	632.5421127600132	88658.39049976686	0.9222910558644042
PP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	24	2.179920702867235	47.46720398475339	0.02359435303261881
NP,NP,PP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	2	1.3996763303649424	4.603889758822625	0.21220984251567754
PP,NP,NP	(0,2,inhibition)(2,1,activation)	1448	580.8639561644741	44364.24647192232	5.451853240525661E-4
NP,NP,PP	(0,2,activation)(1,2,activation)	1742	2431.848131437767	409806.9223235445	0.8631704750954217
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	247	9.038243691845768	138.4534994731294	1.6141976644235E-11
UP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	8	7.444141459168811	272.8942479287401	0.22896514821442204
PP,UP,PP	(0,2,inhibition)(2,1,inhibition)	108	78.74371513847957	3228.116786704648	0.2573659209973127
PP,UP,PP	(0,2,inhibition)(2,1,activation)	56	135.01485284087863	3670.4425949534707	0.9241575022646304
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	2	2.8732848612922828	5.808521907360861	0.48094012077690296
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	58	30.643612615932003	647.1965440877237	0.13579578956895533
UP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)	131	484.45633516148104	48746.82064177084	0.9740827342166218
NP,PP,NP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	2	0.09830699941767412	0.4044188071789661	0.014328922586128723
UP,PP,PP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.01112582880239824	0.014505361515793375	3.2860146348401287E-6
NP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	2	0.7864966482708767	5.692539400544081	0.10563401073563417
PP,UP,UP	(0,2,activation)(0,1,activation)(1,2,activation)	85	87.6466120888558	4198.843327090777	0.43751419141595893
PP,UP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	37	37.26449461154826	15982.380851809381	0.13590624524771988
NP,PP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	2	4.478042825571647	26.429011658956384	0.531831653532093
NP,PP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	7	41.54488146323609	800.3683971868193	0.9226623925280341
PP,NP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	2	5.8669771338911865	81.91196612085992	0.4517304550425226
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	1	6.846688237880278E-4	6.9391991306223E-4	4.791716170626792E-6
NP,PP,PP	(0,2,inhibition)(1,2,inhibition)	472	546.1768293840212	66788.9840258208	0.5680937248447161
NP,PP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)(1,0,activation)	1	0.34337658743625216	1.4289079739486674	0.079449259007224
NP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	3.2496320524218767	21.696954093447687	0.47654389911602646
UP,PP,NP	(0,2,inhibition)(0,1,inhibition)(1,2,inhibition)	26	58.43160423413972	2201.9187793031015	0.7120737602395527
NP,UP,NP	(0,2,inhibition)(2,1,activation)	278	1302.9748241648867	324919.9416937779	0.98923687267519
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	24	0.5879035764538725	1.1918741997246087	1.9097345926866183E-10
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	2540	8763.436238424752	1.3590304620719433E7	0.9798955162194829
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,inhibition)	56	1.159821163042232	5.8169852457692475	1.2799481474701224E-9
UP,PP,PP	(0,2,inhibition)(1,2,inhibition)(2,1,activation)(2,0,activation)	10	0.006063812325459741	0.00667058513799081	8.881784197001252E-16
UP,UP,NP	(0,2,inhibition)(1,2,inhibition)	16915	10618.557709537743	9847257.605772287	0.03288971476167857
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)(2,1,inhibition)(2,0,inhibition)	1	0.0022763211669971192	0.0026780337400280534	1.7143511155592872E-4
NP,UP,NP	(0,2,activation)(2,1,activation)	12490	6046.041268462827	2455525.489715919	3.034296206475551E-4
NP,UP,NP	(0,2,activation)(2,1,inhibition)	16232	4979.682779632863	1.2875556438582476E7	0.00890540162292397
NP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	15	2.3096817880133025	17.517112562833056	0.020240489940073547
PP,NP,UP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	3	0.11960656289211073	0.1923896515444992	0.0016582848667335837
PP,NP,UP	(0,2,activation)(1,2,inhibition)(2,0,activation)	4	0.3960341244800988	1.2938753957192868	0.018137674960347905
NP,NP,PP	(0,2,activation)(2,1,inhibition)	767	313.2039846142456	20931.261385560836	0.005540371146619982
NP,NP,PP	(0,2,activation)(2,1,activation)	3829	2052.383801562504	302758.5279680602	0.0026565573513438467
UP,UP,NP	(0,2,activation)(2,1,activation)	25344	12307.900875013567	7437364.813760459	3.557718851154856E-5
UP,UP,NP	(0,2,activation)(2,1,inhibition)	1353	10137.119367747195	5.104737320993905E7	0.9337003419379347
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	23	43.468538583992924	19740.258155090098	0.1586105982192968
NP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	3105	201.7019617604921	42354.63873482161	2.4295701006593617E-9
NP,NP,PP	(0,2,inhibition)(2,1,activation)	1025	1321.1001633482638	352545.29114010767	0.6585634824334449
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)	241	201.60646118927474	15705.22600655791	0.324632169811385
PP,PP,PP	(0,2,inhibition)(2,1,activation)	373	59.09359994967027	778.9900177244608	4.3725911780256865E-11
PP,PP,PP	(0,2,inhibition)(2,1,inhibition)	26	26.935274057721905	460.1831025372767	0.42652927374672356
PP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	2	9.570554129903066	52.02178918477051	0.8473278681762173
PP,NP,UP	(0,2,activation)(2,1,activation)	2512	1324.5899206875238	214985.40351633634	0.012874513687260225
PP,NP,UP	(0,2,activation)(2,1,inhibition)	173	339.8244140850205	69757.2570234606	0.6903955244337805
PP,PP,PP	(0,2,activation)(1,2,activation)(2,0,inhibition)	12	0.33174956589811705	1.6036482494356585	9.687903010046073E-4
PP,PP,PP	(0,2,activation)(0,1,activation)(1,2,activation)	71	3.877378118522003	8.337894339539137	0.0
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,activation)	2	23.888945050369376	3039.6572354958557	0.30307816238766006
PP,NP,UP	(0,2,activation)(1,2,activation)(2,0,inhibition)	62	18.30553191464365	3876.178594475655	0.09242120560994693
PP,NP,UP	(0,2,inhibition)(2,1,activation)	774	772.5307934294151	42945.72987494734	0.46942615632979956
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	113	198.19328241870085	7341.984267647043	0.8413855023282211
NP,PP,UP	(0,2,activation)(0,1,inhibition)(1,0,activation)(2,1,inhibition)	2	0.01275156488859998	0.015599300884159182	1.270720073229814E-4
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	9.66987268637063	22.352542691788216	0.7276342385300654
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	2.1738148433959115	3.4575973541196996	0.5714000927980751
PP,PP,NP	(0,2,inhibition)(2,1,activation)	251	121.72703042288138	2272.8864656346796	0.01029406266084687
PP,PP,NP	(0,2,inhibition)(1,2,inhibition)	277	82.37729828975154	1973.8314931535006	6.942819443458426E-4
NP,NP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	24	1.5324044503972214	23.701905438220543	0.010094233010868203
NP,NP,PP	(0,1,inhibition)(1,2,inhibition)(2,0,activation)	3	1.121258040368997	4.424429489027346	0.11324544115498358
UP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	6	4.439584651405065	118.40590556885938	0.18767961274500966
UP,NP,UP	(0,2,activation)(2,1,activation)	24469	8945.528611965801	8362373.52035892	1.995844781232936E-5
UP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	3	0.9788472404628173	1.6337749647189512	0.050883530759385454
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	1	5.564552126861113	66.59746765770979	0.5199615154236412
